r_points,r_text,place
20,Big portions.nothing to do with meze.dishes should be smaller so that customers can taste more.the orzo tasted only ouzo seafood was completely uncooked.sardines overcooked and tasteless.salad and tarama were good.this is not the mezedopolio concept as in greece.sorry .,To Elliniko Ouzomezedopoleio
50,"Staff was really friendly and helpful.. I went with friends and we had some great dishes to share.. e.g. zucchini balls, aubergine with tahini was exceptional!! Cold beers and cheers to that place!!",To Elliniko Ouzomezedopoleio
40,"Located within the Hilton park hotel Nicosia. The food was well presented and tasty mainly the chicken with bulgur. The desert was just ok(ekmek kadyifi). The service was average, should be much better!",To Elliniko Ouzomezedopoleio
40,"The restaurant was located in our hotel and I was pleasantly surprised to see locals also eating here. The dishes were all served very quickly, and all tasted super fresh. The eggplant dishes were quirky and well presented.",To Elliniko Ouzomezedopoleio
50,"I went with a friend for lunch and for dinner. Ouzomezedopouleio means a place serving ouzo and mezedes (a series of portions of a variety of foods such as cold meats, kebabs, salads etc) but in fact they serve a la carte meals too. Here you will find some authentic Cyprus cuisine expertly cooked, including some lesser known dishes such pastirma (cured, spiced beef). There is a wide choice of meats, fish, and salads. Unusually for restaurants in Nicosia, they also offered low alcohol beer. And of course, there is ouzo. It is situated away from the center, so it is a place to go searching for (and worth the search) or to drop in if staying in one of the nearby hotels.",To Elliniko Ouzomezedopoleio
40,"The portions were big with a good tasteWe ordered zucchini balls, Greek salad, chips, feta pie and octopus plate.Tasteful and delicious.",To Elliniko Ouzomezedopoleio
30,The food was nice but the one of our dishes never arrived. No one noticed until we asked for them to remove it from the bill.They could improve a bit on the service.,To Elliniko Ouzomezedopoleio
40,"Staying at the hotel next door on business and for a few cold days, we had no incentive to go anywhere else. Everything we tried was good, and even on a busy night when they were fully booked later on they fitted us in. The atmosphere of a Cypriot taverna with no frills, really good food (fish or meat), generous portions, pleasant English-speaking service and reasonable prices.",To Elliniko Ouzomezedopoleio
40,Casual night out with some friends. I've been at this place a couple of times and what has made an impression to us is the consistency of the quality and flavors. Definitely recommended,To Elliniko Ouzomezedopoleio
40,"Very nice place to have dinner or lunch with family or friends, with very nice Greek food, meat or fish. Mussels saganaki was not my favorite.Good selection of wine, I recommend agiorgitiko reserve.",To Elliniko Ouzomezedopoleio
40,Very good food and service with a warm atmosphere. The place are very welcome to the public and nice to visit them.,To Elliniko Ouzomezedopoleio
30,"We visited one Friday evening for dinner with friends. Although such restaurants are known for offering mezedes in their menu, this one didn’t. What a disappointment!!!! We spent considerable time deciphering the dishes from a menu packed with un-necessary info.The staff was friendly and fast, but the quality of food was average. Will not visit again.",To Elliniko Ouzomezedopoleio
40,"Very busy restaurant, full of Greek people must be good and sitting and eating in or outside. Great selection of food",To Elliniko Ouzomezedopoleio
50,Visited because it was close to place we stayed. Food quality was outstanding. Friendly staff. Nice decorations. Prices very reasonable. Cyprus coffie is not worth to try on other hand.,To Elliniko Ouzomezedopoleio
50,"Tried this place a few times, quality is always the same, both service and food. Knowledgeable, English-speaking Staff is looking after you, my favorite is the minced meat kebab with excellent seasoning.",To Elliniko Ouzomezedopoleio
40,"Nice place, good atmosphere, well decorated, the staff is friendly and helpful, they offer variety of dishes and good prices!",To Elliniko Ouzomezedopoleio
40,"Love both the meat and fish dishes here. Very well-made, good presentation and perfect seasoning. Service is prompt and efficient. One of my favorites in Nicosia.",To Elliniko Ouzomezedopoleio
50,"Visited the place quite a few times, the food is exceptional the service is good and the prices quite reasonable",To Elliniko Ouzomezedopoleio
40,Been here with a friend. Good place and staff. The food was nicely cooked. Prices were like 12-15 per person without drinks as far as I remember.,To Elliniko Ouzomezedopoleio
50,"Great food,amazing atmosphere,excelend service,tasty food,perfect place to be with friends to spent time",To Elliniko Ouzomezedopoleio
30,Food was ok and service was ok if a little disinterested. Portions are large. Right next to a Hilton hotel so convenient if staying there. Parking tricky. Doubt we will be returning.,To Elliniko Ouzomezedopoleio
40,"Located in the Hilton Park in engomi, this restaurant serves the best Greek Food, food market or mezze, had the best Greek food so far, friendly service and great for large group of people …..",To Elliniko Ouzomezedopoleio
40,"If you want to taste Greek food this place is ideal. The quality of most of the dishes that we ordered ranged from very good to excellent and the prices were, on the whole, reasonable. However, the ventilation of the place needs to be looked at, as one's clothes are left with a not so pleasant smell of food.",To Elliniko Ouzomezedopoleio
40,The place was good. I would have preferred more herbs and/or spices in the dishes. Meze selection impressed more than the main courses.,To Elliniko Ouzomezedopoleio
50,Excellent food . The staff was very friendly and the food was very fresh. The music was pleasant. Looking forward to comeback.,To Elliniko Ouzomezedopoleio
50,"Lunch for 2 people (starter, main dishes, coffee) with excellent quality at a very reasonable price of 27 EUR. Ask for the special lunch card.",To Elliniko Ouzomezedopoleio
40,"i went to this place three times and each time i visited, i see it always improves. the food was nicely cooked, the quantities were decent, i wish the prices were better, as more or less , you could say it a bit of a fast food restaurant",To Elliniko Ouzomezedopoleio
40,"Come in for dinner with few friends, restaurant with nice atmosphere and music (local) starters were great and wine was nice. Mains were huge and generous, had a great smoked pork chops. Desert was ok. Very nice and fast service Good coffee",To Elliniko Ouzomezedopoleio
50,My husband and I were in Nicosia for business and stayed at the Hilton Park Hotel. This restaurant is connected to the Hilton Park and was fabulous! The food was so wonderful that we ate there four different times. The staff was very friendly and our meals arrived in a timely manner.,To Elliniko Ouzomezedopoleio
40,"The food was tasty and came on time. The ambience was good and the staff was very helpful. The only negative is that the ventilation was not good enough and when we left, our clothes smelled like food.",To Elliniko Ouzomezedopoleio
40,"Excellent food but a few setbacks. Waiters in a hurry to serve , as a result no time left between starters and main dish, like they wanted us to eat as fast as possible and get out of there. ThEy should be mor3 careful with their timing. Food quality was excellent and highly recommended. On a busy night it can be crowded and noisy",To Elliniko Ouzomezedopoleio
50,"Had dinner here with family and friends. Interesting menu, excellent and attentive service, very tasty food, good portions, comfortable seating, pleasant atmosphere, reasonable prices. An enjoyable evening and would gladly return.",To Elliniko Ouzomezedopoleio
50,Once again after some months we have visited this nice restaurant. We enjoyed greek meze along with european specialities in a lovely place. The service was very good and the staff vwry well mannered. We also enjoyed nice sweets from the Yiagia Victoria .,To Elliniko Ouzomezedopoleio
20,People are trying to pass it as traditional greek ouzeri but all they do are serving low quality fried dishes. Sometimes i wonder if the chef is tasting the food. The atmosphere is nice though despite the heavy smell pf burned oil.,To Elliniko Ouzomezedopoleio
40,Excellent interior design and excellent quality. Very good service. Absolute Greek culture fusion!!!,To Elliniko Ouzomezedopoleio
50,The food was very nice and the service very good. The staff was friendly and the food was served on time.,To Elliniko Ouzomezedopoleio
40,"This restaurant serve a wide variety of authentic greek cuisine, which I find delicious as a foreigner, I do love all their dishes, But I personally find the goat cheese salad, chicken thighs dish, potatoes parcels. IS A MUST.....",To Elliniko Ouzomezedopoleio
50,The food was perfect and the portion are huge and is value for money. The staff are very friendly and professional,To Elliniko Ouzomezedopoleio
40,"Visited on a Sunday for lunch with friends, we ordered four different main courses, that were all delicious and good portions! We had also 2 small side dishes and a salad! Only the portion of the salad was small! In general everything were excellent!!",To Elliniko Ouzomezedopoleio
40,"I visited the place for lunch, It was my third visit. Just like the previous two times, we ordered several starters and salads, as well as a couple of main dishes to share. I quite liked the starters and the salads who were innovative and tasty, but the main dishes were average or sub par. And especially taking into account the price of each dish, I find that there are better options out there with more reasonable prices, given the large number of places offering these type of cuisine.",To Elliniko Ouzomezedopoleio
30,I 've heard a lot about this place so I decided to visit it...the atmosphere and the decor are great so as the service. We try different starters and all were delicious. The main plate was just good,To Elliniko Ouzomezedopoleio
50,"Since the first time we visited the restaurant, we always stop by the Elliniko for dinner when in Cyprus and Nicosia for either a holiday or a business trip.Once again, we enjoyed our dinner with a good selection of amazing appertizers and salads and great tasty main courses. Friendly, polite and lovely staff; especially Savvas, he is a truly professional! We do like the modern with the traditional ‘Greek Style’ decoration of the place. Until next time...the Elliniko is an excellent choice with a majority of Greek dishes! Thank you for taking care of us!",To Elliniko Ouzomezedopoleio
50,"You will not be let down ... if you are after very good service and consistently good food. It's not off the charts by Michelin standards (unlike say Pyragmena which by Cypriot standards is unique) - but I've never having now gone many times been disappointed, and the food has a certain high consistency. If I had an important business lunch in Nicosia other than Skinny Fox and Pyxida, it's where I most obviously would head to just for its very good service and food quality which never disappoints.",To Elliniko Ouzomezedopoleio
30,Had a business dinner Good choice of food. We shared a few dishes and wine. All well cooked and very tasty but all seemed to sort of taste the same. I would go again but not a gourmet type Greek restaurant.,To Elliniko Ouzomezedopoleio
50,"All what we have ordered was exceptional, nice atmosphere , waiter was very friendly , all was perfect",To Elliniko Ouzomezedopoleio
40,"Went here for a business dinner. Service good, setting casual and food was quite good. The mezedes were fresh and well done and the mains were delicious. Perhaps not very Cypriot but certainly quite Greek. Good ouzo selection.",To Elliniko Ouzomezedopoleio
40,some foods were excellent but some others seemed they were not freshly made . generally it was ok.the service was very good.,To Elliniko Ouzomezedopoleio
20,"We have visited the restaurant with friends. The place looks nice. The menu was not very exciting, we had a difficulty to choose from the menu. We ordered 4 different dishes from classic calamari dish to some new combinations. The taste was disappointing, all 4 of us agreed we would not visit the place again. There is just nothing special or even satisfying about this place.",To Elliniko Ouzomezedopoleio
40,"I’ve eaten at this place and ordered it home. There location is nice but there isn’t much of a view. The food takes a good 15-20 minutes to be served depending on your order. The the fish and meat portions were smaller than I expected, but the taste is there. Overall I do recommend.",To Elliniko Ouzomezedopoleio
40,"Very good food. Selection of salads, hot and cold appetisers and different meat dishes. Friendly service and very good value.",To Elliniko Ouzomezedopoleio
40,It gives me another dimension to Greek crusine. Love the fried goat cheese and the grilled sardine fillets. Wish I had more companion to share the food with as there are so many more dishes which I love to try.,To Elliniko Ouzomezedopoleio
10,Waiter suggested because we were with our child we should be placed at the back of the restaurant so as not to bother anybody.,To Elliniko Ouzomezedopoleio
50,We had an occasional visit to this establishment and we really enjoyed our time here. The service was great and the food very delicious,To Elliniko Ouzomezedopoleio
50,"The restaurant is very well located near big hotels, coffee shops and other restaurants. The service is top class with gentle and quick waiters. Whatever we tried was really good. Prices are a little bit to the high side but affordable. The decoration is cost and exactly what you expect from a taverna. The food selection is big and varies to suit all tastes. Highly recommended",To Elliniko Ouzomezedopoleio
