r_points,r_text,place
50,"Our last meal in Cyprus and it was delicious. Sat outside, great for people watching, and o ordered the Imam Bayilai which means the Imam fainted. While I didn’t faint I was so impressed I asked for the recipe. Andreas told me how to make it and it was almost as good! Thank you to Andreas we had a little piece of Cyprus here in a very Autumnal England.",To Steki tis Loxandras
50,"We visited this restaurant while in Nicosia after a long day of work and it literally saved the day. Great food, great atmosphere, friendly staff. Will definitely revisit.",To Steki tis Loxandras
10,Completely disorganised waiters. They keep on running but mostly in a non efficient way. You have to harass them to be served....a genuine nightmare. A shame as the food is ok,To Steki tis Loxandras
50,"We visited this restaurant on the occasion of my birthday. Food was delicious, the best we tried for a long time, staff was friendly. The atmosphere is extraordinary. We really loved the pork kontosougli, recommended!!!",To Steki tis Loxandras
50,"Excellent food, nice and friendly service at reasonable prices!I totally recommend visiting this place!",To Steki tis Loxandras
40,"Tasty very tasty food, traditional flavours, surely one to take guests to experience real Greek kitchen. So why 4/5? Because of parking nightmare. Absolutely NO parking anywhere even a bit near. Not good for drunken raki drinkers or old people. Otherwise perfect",To Steki tis Loxandras
50,"Great food, Great service. Located in a prime location. definetely recommended. P.s try pork kontosougli!!!",To Steki tis Loxandras
50,Τhe restaurant was really busy!We had beer to start with on the house which was a nice touch! We had halloumi and souvlakia which was excellent. The meat in this place are amazing perfectly cooked! Excellent service and friendly staff. We enjoyed all so much. Highly recommended,To Steki tis Loxandras
50,"Best food in town. Wonderful location and best service. Traditional food from polis, definitely will visit again",To Steki tis Loxandras
50,Amazing delicious food at an extraordinary location. The place is really warm and cosy with super friendly staff that helped us with anything we needed. Pro tip: Try the chicken souvlaki- you can thank me later!,To Steki tis Loxandras
50,The food was absolutely amazing very delicious. The restaurant is very clean and cozy. Woild definently recommend it!!,To Steki tis Loxandras
50,We visited this location for a family dinner and we were all amazed by the selection of foods and excellent service. I mentioned my son and wife have nut allergies and they went above and beyond ensuring everything was prepared separately. Portions were very generous and delicious! Make sure you go here when in Cyprus.,To Steki tis Loxandras
50,"My favorite place in Nicosia, highly recommended. Delicious food, good atmosphere and friendly staff.",To Steki tis Loxandras
50,"I got this place recommended by two different people, so I decided to give it a try. I have to say I ordered way too much food compared to what I was expecting, which means the dishes are huge. The staff is super nice and will advise you what's the best to order, and even modifying some things in the menu to fit exactly your needs. I'm happy I went there.",To Steki tis Loxandras
50,"One of the best restaurant in Cyprus. Tasty food, nice atmosphere and very good service. Totally recommended !!",To Steki tis Loxandras
50,"Food is delicious, staff is very friendly. You have to try traditional 'kontosouvli' which is the best I've ever tried. We also ordered pork meat, kolokithokeftedes, saganaki cheese which were very well cooked, actually the best food in Nicosia so far.",To Steki tis Loxandras
30,"Average food quality, central location, reasonable prices and great service. We had a nice time at this restaurant but we expected a bit more in terms of the quality of the food served.",To Steki tis Loxandras
50,A really good restaurant with great food at reasonable price. If you are going to the old part of Nicosia then it is highly recommended to visit,To Steki tis Loxandras
50,"Just had lunch here, small meze for 2 with drinks and extra sides all for below 40 euro. Taste was spot on and service very friendly. Location is not on the main street so more quiet. Will definitely go again.",To Steki tis Loxandras
50,This is our favorite place after two weeks of traveling in cyprus. The food is fresh and delicious. There are also a lot of vegetarian options. We felt very welcome with our two little girls. As we ate quite early with the kids the service took time to play and draw a bit with them. And the next day we came back and enjoyed our last dinner in cyprus. The girls were so happy they had to cry when we left :-( Thanks a lot for that great evening.,To Steki tis Loxandras
50,One of the best places to visit and have a wonderful-lunch or dinner! Warm atmosphere perfect menu and a friendly staff. See you soon again!,To Steki tis Loxandras
40,Had dinner here last nice. Food was very good as was the service. Reasonable prices. Convenient location. Can be on the noisy side if guests are rowdy. Nevertheless recommended!,To Steki tis Loxandras
50,"I've been to this place 2 times during my stay at Nicosia. I was totally impressed by the Cypriot food and by the caring atmosphere the personnel creates. I was served like a dear friend with lots of attention, advises and small talks, which felt fantastic as I was sitting alone.",To Steki tis Loxandras
50,"Great authentic greek food, prompt service, reasonable prices. Free Greek desert at the end. Need I say more?",To Steki tis Loxandras
40,"Located in Nicosia’s old city center, is a tavern with Greek and Cypriot style food. Food is good, atmosphere is pleasant. Worth a visit!",To Steki tis Loxandras
40,The location in old Nicosia and atmosphere are great - so was the food! Traditional Cypriot food with many interesting menu variations. Super service and good value. Can't wait to go again!,To Steki tis Loxandras
30,Food was decent but nothing spectacular. Fast service. Good place if you like to sit by the busy street.,To Steki tis Loxandras
50,"Very nice location in the city center, service is fast, menu has a wide choice with many dishes that you cannot often find in other restaurants.We were two people and we spent less than 25 euros in total, ordering many dishes and beers.Definitely recommended.",To Steki tis Loxandras
50,"Sourrounded by old city buildings, in a pedestrian area, you can relax and enjoy your lunch or dinner.",To Steki tis Loxandras
40,A classic greek-cypriot tavern. Food is excellent and with nice service. Try out the live music nights to enjoy your food with great music.,To Steki tis Loxandras
50,"Cyprus is a place with rich historical heritage, and also a place with a very tasty and healthy food, for vegetarians as well. Highly recommend)",To Steki tis Loxandras
50,"We sat in the outer space. The food was delicious and the service was excellent. Nice restaurant for business, family or friends. The price is also very competitive.",To Steki tis Loxandras
40,"Good variety of Greek dishes, fresh salads , good and friendly service, Interesting and delicious side dishes!!",To Steki tis Loxandras
50,"A very exiting evening at Loxandras restaurant in Nicosia. The food was perfect cooked and the tasted was magnificens. The staff was very helpful and fast with a big smile during there work. You have the feeling like you was at home. The atmosfere was warm and nice to see the evening life in the Old City in Lefcosia. At last I must say is this, the owner Andreas Ioannou is a very good host with a very big heart. This was our second visit in Loxandras restaurant, but not our last visit.",To Steki tis Loxandras
50,This is a great Cypriot taverna with splendid local specialties and the unparalleled kontosouvli (meat on the skewer). Every time I visit Nicosia I make a point of eating there. Unmistakable choice.,To Steki tis Loxandras
50,"Best place to try national dishes, including sibling big, Meze was just perfect. Highly recommended!",To Steki tis Loxandras
50,"I had a good meal here, which came with large portions for a good price. There were many different options, unlike the other restaurants in the neighborhood. The interior is well furnished and comfortable, with a tavern-feel to it. I enjoyed my meal.",To Steki tis Loxandras
50,Great food. We love going there. Clean and in the heart of downtown. You can seat outside and enjoy the pedestrians go by.,To Steki tis Loxandras
40,"One of my favorite places to eat traditional Cypriot - Greek food. A little more expensive compared to other places, but offers amazing food.",To Steki tis Loxandras
50,"It’s the kind of restaurant where you feel sure that you will get a nice dinner and where you go when you don’t want to experiment. The food is very good, the service is great and the environment is beautiful. Prices are reasonable.",To Steki tis Loxandras
50,Very tasty food. You should try Kontosouvli. Staff are helpful and friendly. Nice atmosphere. Good value for money.,To Steki tis Loxandras
40,"I'm in Nicosia several times each year and eat here at least once each time.The food is great - the menu is extensive, although their Meze is worth trying if you can't decide! The portions are on the large size so be prepared!The staff are helpful and friendly and there is always a nice atmosphere. It can get busy although I've never experienced a problem getting a table.",To Steki tis Loxandras
50,"The tables outside, the food and the whole atmosphere makes you feel you are in the scenic corners of Athens. You can take the set menu or choose from the many and of every kind of plates of greek specialities. Very tasty food. And at a very good price!!",To Steki tis Loxandras
50,"I would reccomend to anyone to try the ""kontosouvli"" it is a really tasty greek pork dish. Also, this restaurant is great for dinner in summertime! Totally would revisit again!",To Steki tis Loxandras
50,"This was not my 1st time at Loxandras but it's becoming a regular stop on all my visits to Nicosia. Everything is served hot and fresh. Try any of the starters from the grilled halumi to the Saganaki Cheese. For main course go for the Kebab Giaourtlou (kebab with yogurt on pitta bread) or any of the nicely-seasoned chicken dishes. Any of the desserts are killers (I prefer the ""kalvas"" - ask for it!) and make sure to wash everything down with ouzo. Marios and Andreas are also great hosts and know every nook and crannie in Nicosia.",To Steki tis Loxandras
40,"We visited the place, which is in old town Nicosia, on a Sunday for lunch....everything was nice! The food, the service, the location! Will definitely visit again! But would probably go at night when its cooler!",To Steki tis Loxandras
40,We enjoyed a nice lunch at a busy day / sunday/ at the center of the old Nicosia city. The service was very good and the quality of the food very good. The local food is served at this restaurant in the form of Meze.,To Steki tis Loxandras
50,"Fabulous food, great service, friendly prices.Highly recommended.Greetings at the door,smiling people,and good tradional music.Portions where more than enough ,most plates where amazingly delicious and on top of that the second wine was on the house.We were also told that a few times a week ,there is also Greek live music.At an easy to find road in the heart of Nicosia ,where you can also walk by beautiful old buildings stores shops and many more.Must visit.",To Steki tis Loxandras
50,Value for money. Small greek salad for €4 was enough for 2 people.zivania 200 ml only €9. tasty chiken kebab and souxoukakia. Prompt service.,To Steki tis Loxandras
10,"Visited loxandras restaraunt today, for lunch. The place was busy, but one of the owners found a table for us. After we sat down on our table, they brought us a menu after 15 minutes of waiting time.We ordered our food at 14:30 and the salads came quife fast together with our drinks. Half an hour later one of our starters arrived and we politely asked when our food will come. Their reply was, that they will check and get back to us. An hour later 15:30, the waiter served the table next us (even if they came 10minutes later than us) and they brought one of our starters to our table. At this point we were furious, no one came to us to explain why the huge delay of our food and no explanation at all. We went to the manager and asked what was happening, and he said that the grill was out of order. We asked for the bill and left without eating. Noone apologised, no one informed us about this huge delay. Very un professional behaviour, very cold enviroment as the doors are open and is freezing inside. I would not go back to this place.",To Steki tis Loxandras
50,I took a guest of mine there and the staff was very friendly and professional. I have celiac so they took good care of me and my colleague wanted to try Cypriot food so they brought him Cypriot dishes. The ambiance was simple but nice and relatively quiet.,To Steki tis Loxandras
50,The location is great right in the heart of old Town near the Phaneromeni Church. The meze served is genuine Greek recipes may be the best in Town. Consistency in cuisine's quality every time.,To Steki tis Loxandras
50,Number one in Cyprus for gourounia (small pig) and kontosouvli (marinated pork) along with freshly cut potato fries...,To Steki tis Loxandras
50,"The food was great! A nice choice to taste the cypriot cuisine. We order a fixed menu called ""chic menu"", and some desserts, the prices was good comparing to the quality and quantity of food.",To Steki tis Loxandras
30,"Located on one of the most popular paved streets of old town, in an area full of bars and food corners, a very pleasant and ambient atmosphere. Although we had a variety of dishes, starters and main courses, I can't say I was thrilled. Quality was good, portions were average and tastes were too normal, nothing special, nothing out of the ordinary. Prices were above average, probably due to the central location.",To Steki tis Loxandras
40,"The restaurant is nice and the staff is great but there aren't many options for vegetarians. Nevertheless, we enjoyed most of what we got and the price was reasonable.",To Steki tis Loxandras
50,"Excellent food, good quality, generous portions, could not fault it. Tzatziki was spot on, fried kefalotyri, peppers stuffed with fetta, salad, meats all were great. Authentic greek/cypriot cuisine.",To Steki tis Loxandras
50,"We found this restaurant by accident and like their mezze menu, all for €12. The courses just keep coming until we were over eaten. The local rose wine €18 is not bad either. Go there early if you haven't reserved a table as it is also very popular with the local. Can't recommend highly.",To Steki tis Loxandras
50,"Great overall, on the pedestrian street off of Ledra's, great food, great service, romantic and airy, this place offers a really nice meal experience.",To Steki tis Loxandras
50,"We have been going to this restaurant since year 2000. The people are very friendly and they manage to keep a high quality of food and service over the years. Highly recommended for any occasion! And it is right in the heart of the old city, and safe for your children to play outside!",To Steki tis Loxandras
40,"We visited the restauranted yesterday.Fortunately we were lucky and found a place to sit, so before you go just make a reservation especially if its weekemds. Food and service was 10/10.Also the prices are logical .we spend a great night :)",To Steki tis Loxandras
40,"One of the best places to eat in Nicosia. Traditional food, good quantity and fast service. However, it's a bit overpriced",To Steki tis Loxandras
40,"Located in the heart of Nicosia near the church of Faneromeni, this restaurant is my favorite when I invite guests for dinner because of the quality of its food. It's not the cheaper in the area but the quality is guaranteed.The food is a mixture of Cypriot and Greek tastes.This period the narrow street is busy and the environment is quite noisy until late night.",To Steki tis Loxandras
50,"I have visited this restaurant being invited by a friend and I must recognize that he was very inspired. They have a wonderful selection of traditional meals and I must advice as the best the sheftalia, the grilled haloumi and some traditional saussages. Sure a place to take a mezze with friends enjoying also a zivania or a Babadzim tsipouro.",To Steki tis Loxandras
40,Great food and a variety of many to choose from! The food is delicious but a bit pricy for that kind of a restaurant! You could easily find cheaper restaurants near with the same good quality but for less money,To Steki tis Loxandras
50,An excellent dinner for 2 on Saturday night. Perfect quantities and quality with smiling staff and responsible management! For sure will visit again soon with all family!,To Steki tis Loxandras
50,Went here with a large group and we ordered the group meal. The food kept coming! It was all delicious. When I mentioned I didn't like seafood the server even substituted a delicious eggplant dish for me without me asking. It's in a cute location in the pedestrian area so it feels very European.,To Steki tis Loxandras
40,"A restaurant in the centre of the old town of Nicosia,that offers great food mainly Greek cuisine. Excellent meze,tasty and you can choose within a big variety of dishes.We went there with another couple and we enjoyed every single dish. The quantity was more than enough and at the end the remaining food was given to us to take it home.",To Steki tis Loxandras
50,"We decided to go there for dinner, about 9 people and since October is still warm we sat outside. The food was delicious and we really enjoyed sitting outside and eating, drinking, talking. It is totally worth a visit and the money!",To Steki tis Loxandras
50,Down to the old town of Nicosia enjoying and combining walk and food. Great food with Greek cuisine. Quality always high staff very helpful,To Steki tis Loxandras
50,Excellent dinner!One of the best meze restaurants of the old town of Nicosia! An equalised small place with good prices and an extraordinary clean spaces and toilets. Happy staff and a very good boss willing to Help! For sure they will see as very soon!,To Steki tis Loxandras
50,You can choose within a big variety of different cypriot and greek dishes. The best kebab 'mezes' in town and make sure you don't miss saganaki cheese and chicken kebab.,To Steki tis Loxandras
50,"Excellent food, excellent service... Very good price with great atmosphere. We had the best KONTOSOUVLI and GOUROUNIA we never had before.....I love the Restaurant and I strongly suggest it to everyone....Was a business dinner and everybody love it.... Thank you LOXANDRA .",To Steki tis Loxandras
10,"We was here Sunday 27 March, the restaurant is located in the best part of Nicosia, when we arrived a woman from staff welcomed us in very exhausted smile ( was about 3 PM , but this is not a justification ) we ordered main dishes each ( 4 persons ) all was terrific, the most important plate was beefsteak of Loxandras , we remain surprised when this plate arrived, this was not a steak, this was a horrific kebab in fully of species onion and garlic... Also the other dishes were not as we expected and we are people that loves Greek-Cypriot cousin. Other question is the toilet ... near the kitchen ( not very hygienic ) . only a young boy has a smile in is face serving the dishes. Definitively junk food.",To Steki tis Loxandras
30,"As it is a popular restaurant, I end up having gatherings at here at least once or twice a year. I have had good experience and bad experience with their food. Their food is generally salty. Grilled stuffs are sometimes excellent, sometimes far from good. So I must say I have very mixed feelings about this place.",To Steki tis Loxandras
40,"In the heart of Nicosia, it has friendly and helpful waiters, good food overall but the variety and quantity is very little when you order the normal Meze. In the end you can choose a traditional sweet dish.",To Steki tis Loxandras
