r_points,r_text,place
50,I cannot fault this place since all plates are excellent. Many thanks again and again. I will definitely recommend them and will most certainly go back.,Valtou Rigani
50,"I visited Vatlou Rigani last week for a post-conference informal dinner. This restaurant was highly recommended and did not disappoint. On the night, despite the restaurant being completely booked out, the staff were extremely attentive and welcoming to our large group. A special mention to our waiter, Bianca, for being so great and the Manager, Marios for making it a stress-free evening.We had an array of dishes, with many of my colleagues commenting on how delicious they were. The feta covered in filo pasty and honey was a crowd favourite. It was a first visit to Cyprus for many of the dinner guests and I felt that this was the perfect restaurant to introduce them to traditional Cypriot food in a relaxed environment after a busy day.",Valtou Rigani
20,"Overall the food is nice, service was great,i've visited the place many times but,my last experience wasn't as pleasant as i found a massive long hair tangled up in my food.There was nothing complimentary offered by the restaurant which we found poor of them not to do,considering I did not finish my lunch after the insident.",Valtou Rigani
50,"My biggest problem was that i did not know what to order...as everything was simply appetizing and promising!So, i went for 1 fig salad with manouri cheese, 1 wrapped fetta with drilled honey on top, 2 chicken mpifteki and 1 soutzoukakia (dish of the day).Every single thing was delicious and freshly made!My favorite (hard to chose from all these goodies) was the soutzoukakia (beef kiofte in tomatoe sauce and cumin served with pilau rice).We paid EUR 22 (incl water)?!!! Cannot believe it! Definitely going back again...sooner than soon!",Valtou Rigani
40,Very nice food. Well cooked and you are served dishes you did not try before. Decent pricing and great quality. Also lovely staff and atmosphere.,Valtou Rigani
50,"The food is amazing, the stuff is friendly. You should visit this small restaurant in Larnaca. Visit it and enjoy! :)",Valtou Rigani
50,Perfect for an urban night out meze with great variety. The meat was perfectly cooked and the salads and dips were great as well. Also very cheap taking into account the great variety,Valtou Rigani
50,"Me and my husband have visited many times and the quality of food and service is consistent. Love the Apple, Carrot and Cabbage salad, Halloumi with Pomegranate and sauce, Chicken liver....Food is always very nicely cooked and presented, staff very polite, friendly and helpful, value for money.",Valtou Rigani
50,"Really really pleased we found this restaurant which is sort of tucked away and suffered from current roadworks outside at the moment. It’s traditional Greek cuisine in an atmospheric environment and lots of nice touches and although it was empty when we arrived in a Tuesday night it started to fill as the evening progressed.We order a platter and some sides and the food came well presented, delicious in and on fun crockery. Really liked the place and good service and nice music being played. Definitely recommended.",Valtou Rigani
40,I quite liked the layout and the design of Valtou Rigani. It really puts you in an appetizing mood. The food is quite good and the service is very fast. Prices are reasonable. Overall very good.,Valtou Rigani
30,"Good Greek food, friendly staff ready to help you. We did not like the way you order, Good but not something very special",Valtou Rigani
40,"We went on a weekday afternoon. The place is nicely decorated, and the service is very attentive. Food is good; they ingredients they used are of fine quality. Had kebab with yogurt sauce which was nice.",Valtou Rigani
10,Intimidating to customer Never had such a bad eating experience. The food was so bad i could not believe it. Had lamb chops the worst ever. Kebab definitely frozen and the worst of a kind literally dog food and so the pork souvlaki.,Valtou Rigani
50,"The service is great, fast, tasty always With a smile. Very good prices. Lemonate With ginger is reccomented. Inspiring place. The food is served in traditional full of history plates. The personel makes you feel like home. Just in love With it",Valtou Rigani
40,Small restaurant Tasty kitchen mostly greek plates. Everything was tasty and fresh. You may order sticks of kebab and small dishes of what ever you like. The prices are moderate and quality very good indeed. We will go again,Valtou Rigani
