r_points,r_text,place
50,"Dear friends, Back again after a short while this time. Still out of this world. There steak was delightful, along with the rest. Will most definitely return. Thanks Costas.",Vino Cultura
50,"Dear friends, I am back. I have not visited this place for a few years and I am kicking myself for this. This place is unbelievable as well as perfect. Food was sensational, service was faultless and I am definitely coming back. Enough said. UNBELIEVABLE!!!!!!!",Vino Cultura
40,Great food to share and an extensive wine list to match. It’s always busy at the weekends with a great atmosphere making it the perfect place for a small group of friends to gather.,Vino Cultura
50,"Love this place, really delicious wine and great tapas. The halloumi croquettes are amazing! Service is friendly and welcoming.",Vino Cultura
40,"It has been several years since I have visited this place. It was Saturday night and therefore very busy, but the service was very good, fast and attentive. The food is good - there is some innovation here that I particularly liked. Very extensive wine list although I would have liked to see few more quality Cyprus wines there.",Vino Cultura
50,"Consistent, food is always good and has a nice selection, service friendly and attentive, nice setting with nice people around, always busy. Good for any day of the week.",Vino Cultura
30,"Setting is nice, good for drinks and snacks, disappointing on food which comes over-priced, low on variety, average on quality",Vino Cultura
50,Visited when they had a wine tasting event with Greek wines followed by a dinner for which booking was required and I was thrilled. The wine tasting event was wonderfully organized and everyone was kind and willing to help. Also wines could be found at very good prices during the event. The dinner was just superb and only for 30 euro per person. Lived everything in the set menu but the ravioli and the bon-filet were simply amazing!,Vino Cultura
40,"This was a night out with family, and one we wanted to be special. The restaurant is very nicely decorated and the staff attentive and professional. In addition to courteous service, they are open to share insights on wines and food, a nice treat for people who enjoy this sort of think.Overall a very enjoyable experience and evening but it is fair to say that this is not for the budget conscious!",Vino Cultura
50,"Excellent food and wine selection, yet service is where they stand out the most. Very knowledgeable service staff when it comes to wine suggestions and they have a wine shop where you can buy the same wine straight after dinner for a very reasonable price. After living in Nicosia for a year now and testing many places, we keep coming back here - indeed #1 in the city.",Vino Cultura
40,"I visited Vino Cultura with friends a lot of times over the years. Always the wine list is great, with a lot of choices for wines in reasonable prises. The food is very good, especially the tappas.",Vino Cultura
40,"Good food coupled with an extensive range of wines. My only concern is that there are wines from certain countries that are not included in the extensive list available and there are certainly cheaper wines that are also very good, but that are not present on the wine list.",Vino Cultura
50,"A place that has been here for many years and not only keeps its quality but also improves. Has a large variety of wines and the food which is mainly for sharing concept is fantastic. I would definately recommend for friends,couples or business meetings",Vino Cultura
30,"The food and wine were really good, but the man at the entry was so pretentious it was insulting. The music is super loud, making it hard to have a conversation. It's a pity as this place has a great potential. Maybe they are a bit too snobby as a result of their success, but things change... careful not to scare the customers away!",Vino Cultura
50,Great food in good prices and the best live music accompanying... Suggested to everybody who wants a night out drinking good quality wine. Will visit it again for sure!,Vino Cultura
40,Very good choices of wine and nice finger food.Just be aware that if you are looking for a place to have a “normal” dinner (I mean in quantity and choice) this is not the place. You go here for enjoying good wine accompanied with good choice of finger/tapas food.,Vino Cultura
50,"Visited with some friends for an early apéro and ended up drinking cocktails, getting not just a tasting menu but a selection of other dishes and continuing with wine.Staff is very well trained, very good selection of wines and food is very good too. Will be back",Vino Cultura
50,Very good value for money✔️We tried the Tasting menu for 2. This included 7 amazing dishes with dessert as well. The lobster ravioli was absolutely delicious and the chicken with vegetables was perfection! We had the chocolate moose as a dessert which was simply splendid Truly good quality of food! However there was no AC inside which made the experience a little uncomfortable as it was quite hot... Nevertheless would definitely come back!!,Vino Cultura
50,I recommend this fine establishment which has a lovely ambiance and a wonderful tapas and wine selection!,Vino Cultura
50,"Slightly out of the centre of Nicosia, near the old English cemetery, this is a local gem that combines wine bar with tapas. A superb range of wines is available & the nibbles complement the drink well. This is a very popular haunt with limited space, so booking or going early is recommended. The atmosphere is friendly and relaxing and the music great. Break away from the usual touristy routine and enjoy a local experience.",Vino Cultura
50,"One of the best Cava in Nicosia . Wide selection of drinks in the right temperature ( rare for Nicosia ). Also the food , tapas type is of high quality . Price is reasonable but not cheap .Highly recommended",Vino Cultura
50,Nice place to meet up for dinner and enjoy some great wine. They have a great wine selection and their menu lives up for it! It has a lovely atmosphere so you can relax after a hard day.,Vino Cultura
50,"Absolutely loved it! Girls night out, 15 ladies! We had so much fun! The atmosphere was lovely and loooved the finger food/tapas!!",Vino Cultura
50,"Girls night out, 15 ladies! We had so much fun! The atmosphere was lovely and loooved the finger food/tapas!!",Vino Cultura
50,Night out with friends. Great environment very relaxing music. Nice place for meeting and great food exceptional service and very good prices for the quality of the food. this restaurant has also very good choices for wine.,Vino Cultura
40,Nice place if you like modern place. If you look for cyprus food it s not the place but it’s good for Mediterranean food. They got nice wine selection for good price. The service is nice,Vino Cultura
40,"The atmosphere was great mainly for couples ... I liked the ambiance. The food was ok, we ordered different kind of tapas and tacos. The salad with halloumi cheese (local geese) was good. The prices comparing to quality are regular. They have large wine list too. The service was ok too. Nice place to be With friends, couples etc",Vino Cultura
50,"You simply can't fail with this place. The variety of wines and delis, the cuisine, the ambiance and the most of the times jazzy music, make it worth every single dime. Just excellent! Keep it up!",Vino Cultura
50,Vino Cultura is a very trendy place popular for both friendly gatherings and informal business dinners. It has an amazing selection of top class wines from around the world at very resonable prices ! As it operates as a wine shop the dring- in wines are only slightly marked up as compared with the take out price. The food is mainly tapas with a Cypriot twist as well as having other options such as very nice steaks.,Vino Cultura
50,"Excellent service, wide range of wine list, and very nice food. The night we visited it had live jazz band, just the right music , to enjoy a good class (or bottle) of wine",Vino Cultura
40,Nice wine and tapas place. Relaxed environment pleasant staff. Crowded at weekends you need to make s reservation,Vino Cultura
40,The wine-bar is always very busy and crowded and the table arrangement is not ideal. The food is good. The wine list is very long. The service is so-so. Prices are from medium to high.,Vino Cultura
50,"Great ambience, pleasant music, excellent service Fantastic selection of wines and other drinks. Cozy and well decorated.",Vino Cultura
50,"This wine bar + restaurant keeps me coming back for great food and a huge variation of spirits with great service Vino it's a unique place worth to visit! for making Sundays, FUNdays - YOU ROCK! :) If…” read more Offers reservations",Vino Cultura
40,"Busy, had to book a week in advance, very good wine selection and atmosphere, service good, food good, no parking.",Vino Cultura
50,"Enjoyed a wonderful afternoon at Vino Culture with colleagues, experienced great Wine & Tapas. Highly recommended!",Vino Cultura
50,"I would happily recommend this wine bar as I myself I comeback every time at any occasionYou will find a delicious tapas menu and great wine list I’m a lover of red Italian wines and I was really happy with the selection offered, not that the rest are notThere is some evenings that play live music what make the atmosphere even better! Reservations highly recommend as the place is busy all times...",Vino Cultura
30,"Good service, friendly staff, very big variety of wines. Food is also nice including some unusual plates, however everything is on the expensive side and portions are quite small.",Vino Cultura
40,"Wine prices are rather expensive for the type of restaurant. Service is excellent despite the place is so busy, every time we visit. Food... portions could be bigger.",Vino Cultura
50,"Nice tapas, nice atmosphere and the best of all a big variety of good wines!!! Sommelier has always something good to suggest. Definitely is the place to be to enjoy a good wine with friends after work...!",Vino Cultura
