r_points,r_text,place
50,"Without a doubt, this is one of the best taverns in the old town of Nicosia. Friendly staff and owner, very good service, food was absolutely amazing and the quantity was way more than what we could handle. we actually took the rest home :). We were a group of 10, and the bill was about 25 euros per person which in my opinion is absolutely fine. Everyone was happy with their food and service and top it all, the owner bought us a couple of rounds of drinks.A+++ strongly recommend this place.And I will definitely visit this place when i am in Cyprus again",Zanettos
30,"Just ok. Friendly staff, good and fast service but not much variety of food and definitely not delicious. The price it was good, I won't say that is cheap, for the quality of food that I ate. I will not chose this place for food.",Zanettos
30,Meze is definitely well cooked and quantity is a lot but variety is basic. For meat Meze the price is on the end. You can get very good fish Meze at a better rate.,Zanettos
50,"This place is legendary. The food is just great both in quality and quantity. Actually, the servings were so big that we ended up taking away food for a week. Trust me, it’s tasty and it’s never ending so if you want to try it all, keep that in mind.",Zanettos
50,"Great food, plenty of food, all is food there. Nice place to visit when being in Lefkosia...don't miss it...",Zanettos
30,We were three people and wanted to order meze for two. They said meze is fixed according to number of people and cannot change. So we had to order meze for three that was too much food. Also the food was not as tasty as we had expected.. Good thing they make homemade koumantaria.,Zanettos
50,"Located in the heart of the old city of nicosia. It is the oldest taverna in the city. The old building preserves the tradition and culture of old Cyprus. Serves local and traditional dishes, meze type. Music on weekends. Can accommodate groups and individuals. Can prepare vegetarian meals.",Zanettos
40,"Good meze, rip off tourist prices, extremely small interior but looks very retro inside, if it was bigger it'd be great",Zanettos
50,"I visit the place quite often. Very friendly atmosphere, attentive staff. The food is more than enough, big variety. Alway a lovely experience to visit.",Zanettos
40,"So much food, youll have to be really hungry or 4people.I felt bad i was not able to eat more and they brought more and more food.(i was not aware of the concept, so my fault not the restaurant)Autentisk food and Great service and Great prices, Just not to my taste.",Zanettos
50,"Went on the recommendations of several........ not at all disappointed, well, except that we were beaten and could not manage all the 21 courses - about 5 courses shy of completion!! The food was excellent, service was faultless and atmosphere superb. The place filled quickly, so we are lucky to have gone early....would love to go again when in the area, but will need to starve for a week first....what an outstanding meze.",Zanettos
50,"Cyprus Meze!! the best place, good quality of food and a huge variety of cypriot dishes!! the stuff amazing and really friendly!!",Zanettos
50,"This is the place to go if you want to experience Cypriot food. Book ahead as it is usually packed with people and very lively. They keep bring out meze, until you are fit to burst. Highly recommended, all the food is fresh and very very tasty,",Zanettos
50,"The only thing you have to do is to order what you want to drink!!!! everything else is at zanetos hand..... great dishes, original cyprus cuisine. I count 24 dishes.... Just great!!!!",Zanettos
40,Huge meze selection Liked the service and quality of food Priced above average for such places Felt welcome,Zanettos
50,"It is the perfect place to go for a person who has never tried the Cypriot or Greek cuisine in the past. The meze of Zannettos includes pretty much everything, and in good amount. We were five people and were served enough food to eat twice. The food was well cooked and tasted the way it should. The staff was very friendly and always very close to us and ready to provide what we needed. We were served traditional desert and drinks after the meal, which were also great. The environment in the restaurant was great. It was not a surprise that it was full.",Zanettos
30,"Here you are definitely going to eat a lot and many different small dishes. There are plenty of dishes made of vegetables like green salads of different types, mushrooms, fried zucchini stripes. One can also find dairy dishes, ravioles, grilled halloumi and definitely meat dishes (souvlaki,shieftalia, pork in wine, sausage etc). If you are visiting the place be advised to eat light meals during the day. The food is cooked in the old traditional way which make it a bit heavy. We visit the restaurant once a year just to remind us how it is.",Zanettos
30,"This is typical meze place where you don't order your food but the menu is fixed and you pay per person + drinks.The first time I've visited this place I felt like I was being punished and I had to eat more than I could.When my family visited they wanted to visit zanetos to see what is the fuss about.We were welcomed by the owner with a drop of rose water on our hands. If someone is allergic to rose, like my sister, don't hand your hand!The food they serve is in great quantity but it is very heavy and I don't think they ever even wondered if the dishes match the previous one in any way.First they bring yogurt and some salds, then different types of meat and halumi and at the very end, just before sweet, a huge plate of snails.This place is ideal for those who enjoy eating big quantities but a person who seeks flavours and quality will be disappointed.I don't think I will ever visit again, only if anyone else is visiting us again and insist on going.",Zanettos
50,Propably the best tavern in cyprus i am visiting this tavern for many years and is always perfect... It offers a perfect selection of plates (meze)... The plates nevers stops coming... Only wow can discripe it,Zanettos
50,"What a great quirky restaurant , the food just keeps coming and it is all fantastic. The setting is not fancy but for an experience of old Cyprus with great vast quantities of food , you can’t miss this place , great prices too 👍",Zanettos
50,"If you are going to zanettos make sure to be very very hungry. The diversity of food is great, there are meny options for vegetarians and even vegans (both me and my husband are). For meat eaters, the options are endless. The food is delicious and the atmosphere could not be more authentic. The place goes back for at least two generations. The owner is almost always there with a kind smile to supervise the best quality service. It is the most generous and friendly tavern we've been to to. If you are looking for an experience that you'll never foget, that the place to go!!",Zanettos
