r_points,r_text,place
40,"Fresh and delicious sushi . It was very tasty and fresh food. We ordered sushi, asian beer, chicken teriyaki and duck rice bowl. The staff was very kind. The restaurant itself clean.",wagamama nicosia
20,Disappointing. If you like this place... you probably never left Nicosia. Sushi rather sad... cold inside and probably made long before. Pad thai ok though. Don’t even get me started on the staff... some true drones in action there!,wagamama nicosia
30,"Wagamama is an internationally based Japanese fusion restaurant which serves good food, but pretty expensive. This place always has reservation problems and is treated as fancier than it actually is",wagamama nicosia
10,We had it delivered. Very low quality of food and way overpriced! The grilled duck ramen had barely any duck inside and the duck wraps were awful. The only thing we consumed were the edamame.,wagamama nicosia
50,"If you into Asian cousin you like this place. There is something for every test. Food is good, friendly staff and nice atmospheric.",wagamama nicosia
30,The menu is diverse and has options for most tastes.The service is often reliable and friendly. The salad selection is not too diverse though and the salmon is prepared in a way that is not to my liking.Sushi is passable and alright for a chain restaurant.,wagamama nicosia
50,"We go there 2-3 ti,es a month. Good food, great service. And you always have some thing good to chose from.",wagamama nicosia
40,"The restaurant is in a good location. Staff is friendly. Unfortunately they don’t have Miso soup at all! Almost for a year! I was disappointed, as I came specially to have this soup as a part of my meal. I end up taken a big ramen dish, what I couldn’t finish in two days. Food is fresh and tasty.",wagamama nicosia
40,"We had sushi, 2 different curries and a pad thai. The pad thai was a miss (bland) but the rest was nice and the staff friendly. Being adked why I did not finish my pad thai, I answered it wasn't to my taste. Upon receiving the bill, the waitress let us know my dish hadn't been counted for as it did not meet my expectations. That's a first and definitely a good point for them.",wagamama nicosia
30,"We go there very often! We love wagamama food. However so many times they made mistakes with our vegan orders and after waiting we eventually received other plates. This also happened with delivery three times! So foos is amazing but make sure you repeat your order twice!!!! This goes strictly for the shop at Themistokli Dervi! All others are excellent! (Mall of cyprus, paphos, larnaca)!!!",wagamama nicosia
40,"This is a well known Nicosia restaurant with variety of dishes mainly from southeastern Asia and Japan. The dishes are well-served and tasty. The environment is casual but nice. The staff is competent despite the rush. Both me and my family including kids enjoy dining there. Nevertheless, the prices for this kind of restaurant could have been better.",wagamama nicosia
50,"Loved the service! And a shout out to the best waitress Eleni! She was on the top of her game! Great night out, great food! Really happy.",wagamama nicosia
50,"""Wagamama"" is an all-time favourite chain of restaurants around the country and it is always enjoyable to visit both with friends and family. I would strongly recommend the grilled duck ramen, the chicken & shrimp cha-han donburi, any type of gyoza and the salmon & avocado salad. For vegeterians, vegatsu (vegan katsu curry) is great.",wagamama nicosia
50,"This is a great chain, you pretty much know what you’re going to get. However this trip we had a server named Maria, and she was awesome. Very attentive and fast.",wagamama nicosia
30,We order from wagamama regurarly. Sushi is fresh and food is always consistently decent. Take away takes a long time about 40 mins to an hour.,wagamama nicosia
40,I went to wagamama twice. Fresh sushi and very nice soups. Service was fast but the portions were small. Quality was great though. Prices are good.,wagamama nicosia
40,Took my guests from abroad here for a dinner. Quite nice place with good food and service. Will definitely come back.,wagamama nicosia
10,"I’ve been going to wagamama Nicosia for a long time and always had the impression that the waiters were a bit rude but I would still continue to go because I liked the food. But today the waitress almost had a fight with my girlfriend who asked her in a nice way something about the bill, by talking to her in an aggressive way, and on top of that the sushi was terrible. I understand that the job of a waiter is difficult as I have worked as a waiter for 7 years, but this is unacceptable, especially in a Thursday afternoon with ONE TABLE IN THE WHOLE RESTAURANT. Seems like some of your staff need to work on their behavior. It’s a shame because the guy who gave us our table (the manager I suppose) was very polite and helpful.",wagamama nicosia
40,I have been there and order food from it a few times always satisfied with the food and service. A big variety of dishes all of them tasty and good portions.,wagamama nicosia
40,have been there a few times always satisfied from the food and service. A big variety of dishes all of them tatesty and good portions,wagamama nicosia
50,"Amazing healthy food, friendly staff, nice atmosphere, decent prices (drinks and deserts a bit expensive, main courses ok). My favourite dishes are the tuna and salmon. From starters the chilly squid. From sushi the popcorn prawn roll. Highly recommended!",wagamama nicosia
50,"Wagamamas ist nice because apart from their ever changing menu, their ingredients are fresh, their food tastes good and they are very child friendly (both in good options and setting).Their edemame is always exquisite, as are their dumplings. Their noodle dishes as well as curry dishes are also very tasty and never dissappoint. My personal favourites include the seafood coconut soup, salmon soba noodles and their sushi.This is a place I often revisit.Would highly recommend, especially if you're looking for a family friendly restaurant, but not only.",wagamama nicosia
50,I cannot decide what i love more wagamama food or their service thanks natasha for making wagamama worth while,wagamama nicosia
50,Good food and excellent service love the sushi everything comes on time. All waitresses were very helpful especially the manager who is very friendly and great with kids,wagamama nicosia
50,A standard place for us for usual dining. The food is great comparing to prise and the the manager Natasha knows her job well.,wagamama nicosia
10,"Been going for years. Used to be the usual nice wagamama tastes with truly excellent service. Seems for sone reason their staff changed and now the service is truly terrible. No smiles, borderline aggressive and making us feel uncomfortable to ask for service. Remember? Service? Half the job of a waiter? Manager needs to get their act together.",wagamama nicosia
50,"AMAZING! Our order was 30min to 1hr late, so we called them back. Straight away, without questions they apologized, told us that the order would be here at 20min and that we would have a 30% discount at our order.",wagamama nicosia
30,Enjoyable dining and nice food. Strange that they can't seem to serve dishes at the same time. We now will order appetizers before the main meal as we've had the appetizers served after the main course in the past.,wagamama nicosia
50,Best sushi and chinese kitchen meets high class service and menu selections. Still the best since they founded.,wagamama nicosia
50,"Serving nice Japanese food. The menu of around 11 eur is a good idea. We had several menu and share it . THe curry chicken, the ramen chicken and the noodles were tasty in addition to several appetizers. The service was excellent. I like this place",wagamama nicosia
10,"Absolute disappointment.We placed an order at 21:15 and we got a feedback response that we will receive the order at 22:07.We dared to call to ask the status of our order at 22:32 since it was long overdue. It was confirmed by the call center that our order failed to reach the restaurant due to a technical error. We we're assured that we will receive our order in half hour with a discount. ( 35 euros instead of 50).We were surprised when we got a call from the delivery person that presumably he was outside our house door. It seemed though that he was outside a house at an address in Limassol (our house is in Nicosia).When we finally managed to get through the phone of the Nicosia restaurant, we requested to talk to the manager.We ""tried"" to explain that we had been waiting for our order for over 2 hours, with the mere response that there was nothing that she could do.Needless to say that we ended up (ourselves a a friend of ours) with no food on a Sunday evening at 23:20.It came as a huge surprise that the manager's sole response was that ""there was nothing she could do"", hence we ended up searching to find something to eat.It's beyond me that, there was no alternative solution being offered to us by the restaurant.It comes with so say that there no chance whatsoever to order again from this restaurant nor from any other restaurants of the same group.Huge dissappoitemt......",wagamama nicosia
50,"Gabi is the best!!She gave us very good service,iffering us food that she thoght was appropriate for us.Defunately would come again",wagamama nicosia
50,"Wagamama serves healthy food. I really enjoy eating wagamama as they taste really good. It a place where you can go with your other half, family, friends and you will enjoy the food equally! Moreover you can buy food with low and/or average prices!!",wagamama nicosia
50,High Quality food and excellent service. Value for money for sure and 5 🌟 taste. Very friendly environment. Highly recommend for business lunch or dinner also,wagamama nicosia
50,Excellent! Value for money Good service Friendly staff Good quality Fresh food Excellent!! I recommend it !,wagamama nicosia
50,"Quick, delicious, value for money. The service is always excellent, and we come regularly for lunch breaks. The quality is always the same, reliable.",wagamama nicosia
10,Delivery arrived one hour after the order and one of four mains was missing. Had to wait 10 minutes on the line to talk to customer care. Waited another 10 minutes to receive a call back confirming that a new main would be delivered to our house in 20 minutes. Our family dinner turned into installments of eating...Apparently phc customer care felt that this was sufficient resolution to the problem caused by the negligence ....it all went very corporate for this restaurant group for some time now...,wagamama nicosia
50,They had a vegan menu. Sake was warming and the cocktail list was interesting. Surprised to see sushi on the menu. Main dishes were as tasty as the U.K. but portions seemed a bit larger.,wagamama nicosia
50,"Always a nice choice for asian food, although a bit expensive for the portions. Very tasty food in a nice minimal environment.",wagamama nicosia
50,Very good and always satisfied. Service is great. Food is always kept the same. Same layout and presentation as well as taste and ingredients. Good work,wagamama nicosia
50,The best sushi and best service in town I would recommend for romantic lunch or dinner and the chocolate layer is amazing,wagamama nicosia
10,"All restaurants must offer a certain service such as pouring wine in glasses as soon as its almost gone, or at least when asked, while wagamama staff were rude enough to decline our request. It was a Monday evening so refusing this request was unheard of. The grilled duck donburi, was smelly. It reeked of rotten meat.Overall the experience was bad even though we had a nice company.",wagamama nicosia
50,"There is very good place , foods always fresh and so nice and services is perfect..........ı tecomend ıt",wagamama nicosia
40,The service was great. Friendly staff that knows the menu and helps you choose according to your taste buds :) My samla curry tasted exactly like the description!,wagamama nicosia
50,"Very well made food,very organised,lots of things to choose from its just PURFECT for a Friday night with friends!!!!!!",wagamama nicosia
50,"I love Wagamama.The food is so good,I always get the same food.Natasha is my favorite waiter.Nicolas",wagamama nicosia
50,I went to wagamama with a few friends.i didn’t expect much but was surprised to how helpful and friendly the staff were.They explained the dishes very well and even suggested food for me.the squid was lovely and the sushi was just as good.I had noodles with salmon and it was delicious.I will go again for sure.Even the juice I had was great.Thank you to everybody and continue doing such a great job,wagamama nicosia
50,High class service and menu selections. Be ready to wait for a free table if on Saturdays and other busy week days because of the many people who appreciate the quality offered here. I am going again each time I am in Cyprus.,wagamama nicosia
40,"Good place to eat with a good variety to choose from. Open during the day whereas other nearby restaurants are closed, Wagamama is probably the best place to dine-in early evening hours.Family friendly with choices for kids meals, good variety of sushi and nice tasty Asian dishes.",wagamama nicosia
40,My favorite place to eat! Plenty of menu options and the food is always prepared well. Highly suggest for others to eat there.,wagamama nicosia
