,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
0,30,"the hotel is under re-makingthe room ( what we get for 150 € per night ) were sort of apartment , very clean , very big, and just brand new ... bed very comfortablethe interior design is ok .. they need to reset the elevator and the floor hall cos is not clean and old... but it is okbreakfast? no sense.. coffe machine for caffe and cappuccino wasn't working..staff : very nice and friendly..",Almond Business Hotel,,,"{'neg': 0.082, 'neu': 0.843, 'pos': 0.075, 'compound': -0.3675}",-0.3675,neg
1,20,"Hotel has large rooms, old furniture back from Seventies, I had the misfortune to have the room very close to a new building under construction and there was a lot of noise.The reception was kind of ""I-don't-care"" people, not smiling and neither saying hello when we entered in the hotel.Breakfast is very very cheap, not at business level at all.The zone is full of empty shops and very very shabby, far from the center.I don't recommend it for a business trip",Almond Business Hotel,,,"{'neg': 0.049, 'neu': 0.925, 'pos': 0.026, 'compound': -0.2059}",-0.2059,neg
8,30,"My travel agent booked this room for me but this was a mistake. This is a hotel for families on holidays – I really do not understand the word “business” in their name. Very spacious suite with a full kitchen BUT an empty fridge, a closed bar in the lobby and an automated vending machine for water and minerals are not what you need if you overnight on a business trip. You should watch it if you expect a normal “business” hotel.",Almond Business Hotel,,,"{'neg': 0.051, 'neu': 0.911, 'pos': 0.038, 'compound': -0.2382}",-0.2382,neg
30,40,"Spacious appartment well equipped and clean.A little bit outside of thevery city center and not so easy to find, taxi is strictly necessary.Typical neighborhood (Nicosia style 80ies and 90ies) but quiet.",Almond Business Hotel,,,"{'neg': 0.062, 'neu': 0.891, 'pos': 0.048, 'compound': -0.119}",-0.119,neg
54,30,"Booked the Almond having previously not stayed here before primarily to keep the cost down of a recent trip. Located reasonably close to Nicosia but probably a 20min walk to the old town. Room is spacious with a small kitchen facility and whilst the lounge and bedroom area were well laid out there were a few drawbacks - No TV in the bedroom area, poor lighting, power going off at night (even when key card left in power switch by the door) meaning gadgets etc were not charging over night. Breakfast was brought to the room but for three days was a little repetitive. The plus side though is the cost at 80 Euro a night that needs to be balanced against the overall facilities.",Almond Business Hotel,,,"{'neg': 0.072, 'neu': 0.907, 'pos': 0.021, 'compound': -0.7477}",-0.7477,neg
68,20,"Eventually this concept did not work out for me.First, I did not like the fact that I had to be served breakfast only in my appartment.Second, I stayed there during winter period, and the heating system was terrible. Actually there were two airconditions, very difficult to be regulated. When I was in the room it was very warm, when I was out they were off together with the electricity!Third, the place has no character and gives an unfriendly feeling. The very modern decoration of the reception room just made this place show colder and more remote.When you are in Cyprus you do not expect to get such a dull stay!",Almond Business Hotel,,,"{'neg': 0.138, 'neu': 0.83, 'pos': 0.032, 'compound': -0.9061}",-0.9061,neg
77,10,Booked this hotel for 5 people in 5 seperate rooms. Hotel was booked for a 5.5 week stay per person. Unfortunately all persons on the eigth floor had roaches in their rooms and one person had to be moved. Any requests to speak to the hotel manager were not honoured and staff was terribly rude to the point where one guest was told that they didn't believe that he had roaches in his room and if he did they were probably from his collection????. Fortunately(or unfortunately) the night that one guest was moved he had CAUGHT 4 roaches under glasses to show the management......still has received apology! Totally unacceptable for a business suite hotel which caters to the business proffessional traveller. Left the hotel and found another for all people staying there two weeks into the 5.5 week stay.Will never stay there again and feel sorry for those who do!,Almond Business Hotel,,,"{'neg': 0.113, 'neu': 0.879, 'pos': 0.008, 'compound': -0.9482}",-0.9482,neg
89,10,"My husband took me here for our anniversary, and unfortunately it was terrible from the beginning till the end. We had a reservation, but when we arrived there was no one to serve us. After a while someone from the kitchen came to give us some menus, and told us we had to wait for the waitress. No problem there except that we had to wait for the waitress to return from Carrefour with the steaks “imported from France!”The menu was just plain white printed A4 paper where a lot of liquid had been spilled over so it was very difficult to read. The waitress tried very hard, maybe even too hard as she had clearly no experience whatsoever, but ok, everybody has to learn. But explaining us every dish on the menu (what we don’t need since we are from Belgium and we don’t eat anything else but the French kitchen) and explaining it wrong as she did not know where she was talking about, was quit annoying.So far the service… unfortunately it didn’t stop there…The salad with warm goat cheese was just 2 leaves of lettuce with 4 small bolls what you can get from the freezer in a store (probably also Carrefour) as a party snack!The main dish was not properly cooked and the sauce was shifted…Last but not least, the bill was way too high even if the food would have been good.Carrefour may be a French chain; it is still no excuse to say that the food is imported from France!",Brasserie Au Bon Plaisir,Review 219 Similarity,0.493914581,"{'neg': 0.132, 'neu': 0.819, 'pos': 0.049, 'compound': -0.9702}",-0.9702,neg
137,20,"I have been to this place many times over the past few years and I have to admit that quality was good, but it seems that things changed..The waitress presented the specialities of the day and I ordered one Quiche (with 4 cheeses) and mussels (with blue cheese).Quiche was microwaved (or something like that), it was cold in the middle and warm at the edge, was oily (greasy) and gave you the impression of sommething that was made few days ago...Mussels were fine but definetely not something special. Average quality that you get at lower budget restaurants. Fries were great.Wine (a French Riesling) was served at the wrong temperature. I know is difficult to keep wines cold enough during summer (especially in Nicosia) but at least you need to have the right tools to do this, I would suggest to get proper ice buckets with water.Overall service was ok but slow... the poor girl was running up and down to serve 7 tables (around 20 people).For 1 Quiche, 1 Onion soup, 2 portions (750gr) mussels and a bottle of wine we paid 90 euro which I believe is not value for money if I take into account food quality and service.Things to consider:- Chairs are not comfortable. You go there for a dinner and not for a quick coffee.- Use of table clothe is recommended. Wood on the tables has worn.",Brasserie Au Bon Plaisir,Review 148 Similarity,0.374502943,"{'neg': 0.107, 'neu': 0.818, 'pos': 0.076, 'compound': -0.892}",-0.892,neg
143,10,"expensive restaurant for mussel and wine, quality 'mediocre, mediocre service, not up to the real French cuisine, especially the seafood, not recommended.",Brasserie Au Bon Plaisir,Review 154 Similarity,0.359210604,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.1511}",-0.1511,neg
