,r_points,r_text,place,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
0,40,"Great collection of paintings and artifacts from the Leventis family, a famous Cypriot trading family - mainly Africa.",A G Leventis Gallery,Review 1 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6249}",0.6249,pos
1,50,"We really enjoyed the Cypriot collection and were keen to view. The Greek art too was very interesting. The Leventi also has a European collection of art with many impressionist paintingsThe gallery is a beautiful modern space down town. We had a coffee but would love to had dinner in their restaurant But night it was not open todayThe location is down town and easy to get to, we walked from our hotel.We also visited the Leventi museum a 5 min walk away in the old town",A G Leventis Gallery,Review 14 Similarity,1.0,,,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.9561}",0.9561,pos
2,50,"A stone's throw away from the old city centre, this lovely relatively new entry in the cultural scene of Nicosia, hosts permanent as well as temporary exhibitions. A visionary, Anastasios Leventis, donated valuable works of art to be included In the permanent collection at the Museum. Among the exhibits there are important paintings of Cypriot artist but also of internationally acclaimed painters such as El Greco, Monet and Signac. Make sure to include it in your sightseeing plans when in Nicosia!",A G Leventis Gallery,Review 93 Similarity,0.489897949,,,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.8805}",0.8805,pos
3,50,"It was about time Nicosia got its own international standards art gallery. Beautifully designed and laid-out, with truly magnificent pieces of art, the Leventis Gallery is a must for every visitor of the 1000 year-old capital.",A G Leventis Gallery,Review 105 Similarity,0.489897949,,,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.8885}",0.8885,pos
4,50,"Great art, great events for kids - unmissable! The collections are very broad- from Greek and Cypriot painting to the Old masters - Canaletto to Chagall. There is a lot of digital technology to make things really easy-access for those of us who don't know that much about art - plus a digital wall when you go in so you can pick your way to what you want to see. Sculptural lights by Michael Anastassiades and Louis Xv furniture if you are into design design. Overall fun, very kids friendly - highly recommended.",A G Leventis Gallery,Review 134 Similarity,0.489897949,,,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.9563}",0.9563,pos
5,50,Visited the gallery on recommendation by a local friend. Worth the three hours I spent there. The collection is varied with paintings from different periods. On exhibit is also a collection of period pieces of porcelain.,A G Leventis Gallery,Review 15 Similarity,0.48795003600000003,,,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.6249}",0.6249,pos
6,50,"A wonderful art gallery with Cypriot artists and famous artists around the world from a personal collection of Mr. Leventi. It is very cheap to enter and worth the visit, a beautiful modern building and a very nice souvenir shop. It will be a pleasant afternoon experience for someone visiting Nicosia. There is always a new expedition that changes every month, also there are frequent events for kids.",A G Leventis Gallery,Review 146 Similarity,0.48304589200000003,,,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.9422}",0.9422,pos
7,50,"We visited Leventis Gallery,that is of great standards, in June for only 2 euro per person.The building is very modern and has all facilities a Gallery must have. All collections, Greek, Cyprus and French are interesting but the French collection is the best, I liked it a lot. After our tour we had coffee at the café of the Gallery that is very nice.There is also a shop for those who are interested about paintings.Worthwhile to be visited by everyone.",A G Leventis Gallery,Review 177 Similarity,0.47387910200000005,,,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.9549}",0.9549,pos
8,40,"Visited in September and were the only people in the gallery. It meant we had a guard each as we walked around - they were very attentive!! Good selection across 3 floors, Cypriot art is worth seeing as it is not often you see it. Lovely building also.",A G Leventis Gallery,Review 43 Similarity,0.461880215,,,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.8578}",0.8578,pos
9,50,"The collection is not very large, compared with others in large European or American metropoles.However, it is very well organized, with English-language detailed explanations.The collection is hosted in a modern building, that is well adapted for its purposes.Well worth one hour or so that the visit takes.",A G Leventis Gallery,Review 119 Similarity,0.456435465,,,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6894}",0.6894,pos
10,50,"On my last two visits to Nicosia I visited the Leventis Gallery.Outstanding collection of European paintings with a lots of surprises. The Greek Cypriot rooms I particularly enjoyed.The whole exhibition space is extremely well mounted and would not look out of place in NY, London or Paris.An absolute must visit.",A G Leventis Gallery,Review 133 Similarity,0.456435465,,,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.5095}",0.5095,pos
11,50,"What I most enjoyed about this museum is the extensive collection of Cypriot (and Greek) artists. You realise that for an Island so small, there have been more than a few world class artists",A G Leventis Gallery,Review 164 Similarity,0.456435465,,,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5563}",0.5563,pos
12,50,"A very interesting place, many good exhibits to see and admire, three floors full of history, a great collection in general..",A G Leventis Gallery,Review 38 Similarity,0.447213595,,,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.92}",0.92,pos
13,40,The museum tells the history of Nicosia. There are a lot of traditional costumes and a large collection of postcards,A G Leventis Gallery,Review 85 Similarity,0.447213595,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
14,50,Beautiful gallery... love the space...strongly suggest you start at the top and work your way to the bottom... loved mostly Cyprus art.... and do not miss having lunch at their trendy cafe/bistro you will enjoy every bite.,A G Leventis Gallery,Review 138 Similarity,0.447213595,,,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.9548}",0.9548,pos
15,50,"Firstly, this gallery is not listed on the standard tourist map provided by hotels. It is easy to find - leave the bus station by the Dionysios Solomos Statue entrance. With the bus station behind you cross the road (there's a light controlled crossing). Keep going straight and you are in AG Leventis Street (formerly Leonidou Street). The AG Leventis Gallery is on the right less than 100m along the road. It is just round a bend and back from the road so not visible from the street entrance.The building itself is stunning from the outside and spacious, light and airy inside.The entrance fee is an incredibly low 2Eur. I also opted for the audio guide for an extra 3Eur. It was well worth the money. The system worked perfectly and allows you to go at your own pace. The information provided is excellent.The reception and security staff are friendly and helpful.As for the collection - all I can say is go to see it. Fabulous, superb. One very unusual aspect is that you can get close enough to the artwork to see the brushwork. Also, there are white glass panels with silver buttons at the side - the art that requires special care is hung there. Press the button and the glass slides open to allow viewing. It then closes automatically.The cafe is pleasant and not overly expensive. The outside area benefits from shade and shelter from the wind.Highly recommended to while away a few hours. Not recommended for small children.",A G Leventis Gallery,Review 161 Similarity,0.447213595,,,"{'neg': 0.013, 'neu': 0.819, 'pos': 0.168, 'compound': 0.9902}",0.9902,pos
16,50,"Incredible Gallery. Even if you don't know anything about art, the ""automated guides"" will help you to learn many things about the many different culrtures that are represented in the paintings! Some of them are very famous!",A G Leventis Gallery,Review 181 Similarity,0.447213595,,,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.508}",0.508,pos
17,30,at the ground floor there is a very big painting of Diamandis cypriot painter interesting named the wold of cyprus.upstairs there are paintings of europian artists THere is one Elgreco The building is very modern and according to my oppinion not suitable for a gallery.The entrance fee is cheep but the restaurant expensive,A G Leventis Gallery,Review 77 Similarity,0.43033148299999996,,,"{'neg': 0.0, 'neu': 0.964, 'pos': 0.036, 'compound': 0.2144}",0.2144,pos
18,50,"New gallery which opened in Nicosia a couple of years ago. Easy to find, near Solomou bus station in city centre. Beautiful,building ,fantastic archetures .The collections are art and exhibitions from the Leventis foundation and their own private collections. Fabulous period furniture , fro. Paris. Avenue Foche, old masters paintings, also have other exhibitions. I feel that the department For the 'souvenir, are very overpriced , however I visited on Museum day in May, and bought two books on Cypriot history for ten euros each , instead of probably 25. Nice trendy cafe , nouvelle cuisine ! Again expensive , snacks food .",A G Leventis Gallery,Review 104 Similarity,0.43033148299999996,,,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.9184}",0.9184,pos
19,40,"At the time of visit, I was the only visitor. It felt a little bit strange, but I enjoyed the rich collection from Mr. Leventis in a new modern museum building. It is a compact museum and I spent about 1,5 h for only 2 euros",A G Leventis Gallery,Review 157 Similarity,0.43033148299999996,,,"{'neg': 0.028, 'neu': 0.767, 'pos': 0.205, 'compound': 0.8776}",0.8776,pos
20,50,"The gallery is located in the heart of Nicosia, capital of Cyprus. It's a new gallery so it's has been purpose built , using the latest technology for exhibiting the paintings. Engravings or other sensitive pieces of art, are in concealed placards which become visible when pressing a button.The gallery hosts art by the best known Cypriot artists including the painting "" The world of Cyprus "" by Diamantis. Apart from Cypriot artists it even hosts one painting by El Greco . Visiting the gallery is a lovely way to spend some time in Nicosia , specially during the hot summer months .",A G Leventis Gallery,Review 102 Similarity,0.42447636,,,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.8402}",0.8402,pos
21,50,Big collection of paintings and artefacts from European and local artists. The collection is impressive and is of the same level as other main european galleries,A G Leventis Gallery,Review 9 Similarity,0.421637021,,,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5106}",0.5106,pos
22,50,"If you are a lover of art, you will enjoy every piece of art from local and international artists.A must go place in Nicosia",A G Leventis Gallery,Review 30 Similarity,0.421637021,,,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.7906}",0.7906,pos
23,50,"If you are in Nicosia and an art lover, you MUST visit this place. The entrance fee is ok, for the art selection you are seeing.",A G Leventis Gallery,Review 50 Similarity,0.421637021,,,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.7184}",0.7184,pos
