,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
0,10,I do not recommend this restaurant. food not good and very slow service. we ordered tuna sashimi and we got sashimi I don't know what fish. we just got cheated. service very rude. we waited 20 minutes for the bill to be settled. horror!,Akakiko,Review 18 Similarity,1.0,,,,,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.9337}",-0.9337,neg
7,10,"I have been in the restaurant twice since it opened in its new location near Hilton Park, the design, atmosphere and location is very good and it has also parking. It also has a outside seating for smokers. BUT when it comes to food it´s realy very much bellow average. The sushi is so bad, that i dont recomend trying it, the rice is extremely overcooked and too thick compare to the fish other ingredients and salats are tasteless. I didntbtry any cooked meals or meat, those could be better but japaneese cousine is definitelly a No go. I wont come back!",Akakiko,Review 274 Similarity,0.507092553,,,,,"{'neg': 0.057, 'neu': 0.903, 'pos': 0.04, 'compound': -0.4198}",-0.4198,neg
35,20,"We used to go to Akakiko or take away food quite often in the last. It was the first time we visited the new Akakiko. Nice place, quite modern, easy to reach, park etc.Service is quite good but not on busy nights. During popular Friday Saturday nights the place loses its food quality, gets too noisy and dinner is not fun anymore.Food is really poor. I don't know what has changed and why food now tastes bad.Badly cooked starters and really flat mains. We even hated the noodles...Food is really overpriced for no apparent reason. Even vegetable dishes are quite pricey.Not going back for sure. Really disappointed that the relocation has changed Akakiko to the worse. Used to be a favorite, we used to enjoy sushi, Maki and food there. Not any more.",Akakiko,Review 285 Similarity,0.454568645,,,,,"{'neg': 0.184, 'neu': 0.685, 'pos': 0.131, 'compound': -0.9151}",-0.9151,neg
42,30,"The service can definitely improve, since the waitresses were not paying much attention. It was very cold and we asked them to fix the a/c three times but nothing happened, even though they were telling us that they were changing the temperature of the a/c every time. It took them literally an hour to serve us the edamame and the sushi - we ordered them as starters. My main dish had too much sauce and as a result I couldn't eat it. Thankfully, they didn't charge us for that plate",Akakiko,Review 108 Similarity,0.43643578,,,,,"{'neg': 0.033, 'neu': 0.925, 'pos': 0.042, 'compound': -0.0511}",-0.0511,neg
44,30,The food was good but I think the waitress was not happy at work or probably it was her first time taking orders and serving.,Akakiko,Review 116 Similarity,0.43643578,,,,,"{'neg': 0.143, 'neu': 0.787, 'pos': 0.07, 'compound': -0.4673}",-0.4673,neg
57,20,"I went to Akakiko for dinner with friends but left very disappointed with the food and the service. The place was very noisy as well with no music playing on the background.We ordered starters and as main dishes calamari, mango beef and duck with ananas sauce . The calamari was quite good but the other dishes very very disappointing. The beef had a smell and there were more onions than all the other ingredients.The cocktails we got were very sweet.I have been a lot of times for sushi to this place but definitely not going again.",Akakiko,Review 105 Similarity,0.419313935,,,,,"{'neg': 0.133, 'neu': 0.733, 'pos': 0.134, 'compound': -0.2266}",-0.2266,neg
61,20,"I have been to akakiko Restaurant before for sushi dishes. This time my daughter and me wanted to try Chinese dishes. The taste was very normal, does not reflect the reputation that akakiko have nor does it reflect the sushi standards.Sorry, but the food was average.The service was very slow, we had to call the waitress every time we needed something. Food was delayed in which we had to remind them to bring the starters and again reminded them to bring the main course",Akakiko,Review 81 Similarity,0.40291148200000004,,,,,"{'neg': 0.028, 'neu': 0.972, 'pos': 0.0, 'compound': -0.3291}",-0.3291,neg
78,10,"The only thing that it's not fried or dipped in mayonnaise sauce is the sashimi at Akakiko. I order a ramen soup for a light lunch. The first attempt was a bowl with deep fried duck, extra boiled noodles, vegetables and no liquid, so no soup. I sent it back and they just added broth or something. If the menu stated that the duck was deep fried for this dish, I wouldn't order it at the first place. The service was nothing special.",Akakiko,Review 199 Similarity,0.37796447299999997,,,,,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.6866}",-0.6866,neg
94,20,"Used to love the food but through the past year they seem not to care of the quality! Delivery is alwas late, and alwys mess up the order... food wasnt fresh last 3 times i ordered. Especially the salads, were rotten...",Akakiko,Review 39 Similarity,0.338061702,,,,,"{'neg': 0.2, 'neu': 0.744, 'pos': 0.055, 'compound': -0.78}",-0.78,neg
96,10,"I believe food quality should be the first criterion in evaluating any restaurants. It was one of the worst Japanese restaurants in my life and I doubt the ingredients are fresh. I ordered seafood ramen and prawn dumplings, and as soon as they brought the food, it was hard to breath because of fishy smell. I barely had one third of the ramen. The best choice I had was grapefruit juice. Hard to believe it's ranked at top level.",Akakiko,Review 137 Similarity,0.338061702,,,,,"{'neg': 0.126, 'neu': 0.776, 'pos': 0.098, 'compound': -0.1027}",-0.1027,neg
138,20,"We had ordered delivery from Akakiko, Nicosia for Valentine's day for the whole family. We knew the food was expensive but we expected that the quality would be at least comparable. We were disappointed to find out a much lower quality in the food, especially the raw fish. It was clear that the fish was old and frozen and they defrosted it, not to mention the smell. I would not recommend it!",Akakiko,Review 315 Similarity,0.251976315,,,,,"{'neg': 0.125, 'neu': 0.832, 'pos': 0.043, 'compound': -0.7584}",-0.7584,neg
148,30,None of the dishes ordered impressed us. The tofu soup was mediocre and the sushi lacked finesse or an interesting twist. It was priced as a high-end Japanese restaurant but failed to deliver.,Akakiko,Review 136 Similarity,0.21821789,,,,,"{'neg': 0.119, 'neu': 0.776, 'pos': 0.104, 'compound': -0.3716}",-0.3716,neg
165,30,"This time we left Akakiko unsatisfied and disappointed. The sesame chicken (which so far was my favourite) was tasteless, and the stuffed beef with mushrooms was just mushrooms covered with a thin layer of meat and tasted like...mushrooms! Moreover, they forgot to bring our wine, and the desserts menu were definitely not Asian - no banana tempura, just desserts similar to those of any restaurant.",Akakiko,Review 161 Similarity,0.188982237,,,,,"{'neg': 0.087, 'neu': 0.847, 'pos': 0.066, 'compound': -0.362}",-0.362,neg
183,50,"If you want good sushi, simple.....go here. You wont find any better in Cyprus. Avoid Sushi LA, it is low end and doesnt even compare. Sushi LA has a buffet, in the sushi world if the restaurant offers a buffet you should usually look elsewhere. The dishes and variety at Akakiko are plentiful and flavourful. the variety is crazy. check it out. waiting for the one in Engomi to open up!",Akakiko,Review 314 Similarity,0.169030851,,,,,"{'neg': 0.123, 'neu': 0.822, 'pos': 0.055, 'compound': -0.6367}",-0.6367,neg
201,30,"I am a frequent visitor of Akakiko. The last time I visited, though, proved to be the last!! We arrived fairly early, around 7.30, and we were the only table of two besides another table inside. The two waitresses were actually playing with the computer and we had to call them to take our order!!! Also, it would be nice when you order water for the waiter/waitress to actually tell you that you have the choice of whether to order local bottled water or imported water rather than assuming you would prefer the imported bottled priced at EUR4 per bottle!!! Our starter of kamo maki was very good, as always... But the sesame chicken was a tragedy!!! Although, Akakiko has not increased its prices, the quantity in each dish has reduced. The sesame chicken lacked taste and was just thrown on the plate with no sauce on top, although it was on the side. Generally, I did not enjoy my meal... Probably the last time I visit!!",Akakiko,Review 323 Similarity,0.113960576,,,,,"{'neg': 0.07, 'neu': 0.875, 'pos': 0.055, 'compound': -0.5599}",-0.5599,neg
202,30,"After 45 minutes of waiting for the starters (medium sushi platter and edamame) and a comment for the delay with no apology, the experience has as follow.Large sushi pieces (but of good quality), overcooked edamame and below average main coursesNot a place that I would reccommend for main course, just sushi and drinks",Akakiko,Review 297 Similarity,0.109108945,,,,,"{'neg': 0.082, 'neu': 0.842, 'pos': 0.075, 'compound': -0.1027}",-0.1027,neg
204,10,"wanted to visit akakiko for a long time, having heard very good comments about their sushi. fortunately apart from our main dishes that were tasteless we had one portion of 8 sushi so at least we ate something. Sushi was also basic. Quality was very bad, fried duck was almost not eatable. We left very disappointed.",Akakiko,Review 80 Similarity,0.101015254,,,,,"{'neg': 0.117, 'neu': 0.831, 'pos': 0.052, 'compound': -0.6115}",-0.6115,neg
205,30,"Nice and modern, nice and polite waiter services, very big menu. Some of the dishes are not up to the standar. Not good quality of meat, very bad quality of beef dishes, trying thai beef was full of veg, no sauce, rice very cold.",Akakiko,Review 215 Similarity,0.101015254,,,,,"{'neg': 0.158, 'neu': 0.736, 'pos': 0.106, 'compound': -0.4213}",-0.4213,neg
210,10,"I place my order through foody, which has my address saved. The delivery man was given the wrong house number. He called me numerous times because he was at the wrong house and hung up the phone three times. Also he couldn’t speak any english so i couldn’t explain to him where the house is. After 10-15 min he finally understood where the house was and when he came he was very upset and rude, blaming me that i gave the wrong address.",Akakiko,Review 22 Similarity,0.0,,,,,"{'neg': 0.197, 'neu': 0.76, 'pos': 0.043, 'compound': -0.9388}",-0.9388,neg
213,10,"We’ve ordered next things:Tom Yum - why the hell you call it Tom Yum if you don’t use coconut milk? Seriously...Ramen soup - please, please, PLEASE, don’t use sodium glutamate is such amounts. It kills the taste first of all, and it’s not healthy. And why the hell do you use korean instant noodles? They are disgusting.Tuna sashimi... sahsimi suppose to be made of fresh fish? Why it is half frozen then?Never ever coming back.P.S. drinks and cocktails are fine!",Akakiko,Review 43 Similarity,0.0,,,,,"{'neg': 0.167, 'neu': 0.712, 'pos': 0.121, 'compound': -0.8165}",-0.8165,neg
214,10,"Ordered the yasai teppan for takeaway, as listed on the vegan menu. When the dish arrived, I found it contained pieces of chicken. Completely unacceptable.",Akakiko,Review 50 Similarity,0.0,,,,,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.5095}",-0.5095,neg
217,10,Quality has deteriorated and the menu has changed to offer cheaper dishes of worse quality. sushi is disappointing,Akakiko,Review 73 Similarity,0.0,,,,,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.743}",-0.743,neg
224,10,"The order taking was disjointed and we had more than one waiter taking the order, our soup did not appear until after the sushi starter was finished and the main course was on the table, and then only because we pointed it out, instead of an apology all we got was a muttered ""it's on the house"". One of our 4 main courses was completely forgotten and by the time it came the other 3 were almost cold (we wished to eat together). my Szechuan chicken was a few tiny pieces of chicken deep fried in batter, it had the taste and consistency of soggy cardboard, I needed to smother it in soy sauce to get any flavour at all...It was Sunday lunch but at 2.30pm getting quiet and there was no reason, apart from complete apathy on the part of management and staff, for such a dismal and pretty expensive meal.",Akakiko,Review 141 Similarity,0.0,,,,,"{'neg': 0.102, 'neu': 0.864, 'pos': 0.034, 'compound': -0.8704}",-0.8704,neg
232,40,"we really enjoy our sushi selections. there are plenty of choices in sushi menu but it was reaaaalllyy expensive.!! the hot dishes were terrible . each and every plate was ""with sauce"" but actually were untasted. only for sushi !!!!",Akakiko,Review 221 Similarity,0.0,,,,,"{'neg': 0.119, 'neu': 0.83, 'pos': 0.05, 'compound': -0.6214}",-0.6214,neg
233,20,The prawn Tempura was the worst I've ever had. There were huge batter shapes which poured out grease when squeezed with the tiniest prawn strips inside. The tom yum soup was missing the correct ingredient but still served without comment. When I asked why it contained no lemongrass I was told they didn't have any. The sushi was nice though. The wine waiter kept spilling the wine all over the table.,Akakiko,Review 229 Similarity,0.0,,,,,"{'neg': 0.091, 'neu': 0.839, 'pos': 0.07, 'compound': -0.1531}",-0.1531,neg
274,20,"We were very disappointed with this hotel! It may be OK for a 1-night stopover but even then, being located between two streets, the traffic noise is really annoying and will prevent you from having a decent sleep!Breakfast was edible but kept at minimal standard... The family room itself was ok, but aircon had to stay on all night, wifi didn't work properly throughout the room, very slow, but seemed to work properly in the lobby.PS what is ""boutique"" about this hotel??",Altius Boutique Hotel,,,Review 149 Similarity,0.387298335,Review 23 Similarity,0.4,"{'neg': 0.081, 'neu': 0.852, 'pos': 0.067, 'compound': -0.4962}",-0.4962,neg
276,10,"My stay in thus hotel was terrible experience. My room was stinky. Some lights didn't work. Aircondition, what is that?!?! Wifi, what is that?!?! Breakfast, no comment!!! Uncompetent staff at the reception! I could go on and on! How come this kind of ""hotels"" have permition to accept any guests? I am trying to find any good reason!",Altius Boutique Hotel,,,Review 34 Similarity,0.37796447299999997,Review 26 Similarity,0.390360029,"{'neg': 0.149, 'neu': 0.768, 'pos': 0.083, 'compound': -0.6628}",-0.6628,neg
294,30,"Room, staff and ambiance very lovely. Food dreadful, under cooked, over cooked and insufficient. Ignore the extensive menu on their website. It does not exist. Menu is limited to very simple snack food which is not cooked properly. On one occasion we had to lay our own table with no napkins available amidst the staff noisily cleaning the tables around us.We booked a twin bedded room with terrace and was given a double bed. Though relocated to a twin bedded room there was no terrace.It is a 52 room hotel but only 4 car parking spaces.Overall we could not fault the helpfulness of the staff (though not adequately trained to carry out their duties in bar or restaurant), the spaciousness and cleanliness of the room.",Altius Boutique Hotel,,,Review 65 Similarity,0.400320385,Review 20 Similarity,0.248069469,"{'neg': 0.09, 'neu': 0.868, 'pos': 0.042, 'compound': -0.4866}",-0.4866,neg
298,10,"In the first room I was assigned to there was zero wifi reception. When I complained I was told the hotel was fully booked. A very nice (actually the only nice) person at reception went out of his way to find a solution, and he did. The second room had (good) wifi, but no fridge, and faulty airco. I later discovered that there was also no soap in the dispensers and that the bathroom was smelly. Upon complaining about this next morning I was told by a very indifferent receptionist that she would look into it and reassign my room if necessary. When coming back in the evening she told me that she had completely forgotten. Another room was impossible, the place being full. When I said that I expected something to be done she replied ""what did I think, she had a very busy day"".I was, however, given a fridge (taken from another room I suppose) and the same one and only nice person tried to find technical solutions for the airco. Next morning there was no hot water. I should also mention that breakfast choices are very poor (fresh fruit = sliced grapefruit) and not what you expect from ""boutique"". The hotel prides itself of being close to the old town, but close means a 20 - 30 mins walk. Even checkout was not without a problem: someone had made a mistake and debited my credit card for more than was agreed. I was, however, credited the same day.",Altius Boutique Hotel,,,Review 32 Similarity,0.36860489,Review 30 Similarity,0.228416096,"{'neg': 0.118, 'neu': 0.806, 'pos': 0.076, 'compound': -0.8691}",-0.8691,neg
316,10,"Very bad service, A/C not working. not very clean... what else?Empty room, with smelly blankets...Bathroom like the ones in student dormitory.Marks on the walls,WiFi was not bad...!No gym, tv smaller than my laptop.",Altius Boutique Hotel,,,Review 16 Similarity,0.5,Review 3 Similarity,0.129099445,"{'neg': 0.109, 'neu': 0.825, 'pos': 0.067, 'compound': -0.3788}",-0.3788,neg
319,30,"Arrived to find very helpful staff on reception at night, who offered me a drink which was great. Then problems started: No remote control in room, I was brought another but it didn't work. Tea/Coffee making facilities in room, but with the wrong plug and no adapter in room. Bathroom floor badly made, so I ended up flooding the bathroom when I had a shower.",Altius Boutique Hotel,,,Review 15 Similarity,0.41602514700000004,Review 14 Similarity,0.071611487,"{'neg': 0.202, 'neu': 0.735, 'pos': 0.064, 'compound': -0.8736}",-0.8736,neg
323,10,"The Aircondition does not work, even though we requested them to look at it before we went out for the afternoon. When we came back it was late, and to late to do anything about it. Room was stuffy, and opening the balcony door was not an option due to noise outside. Service is shocking, it took almost 45 min to book us in when we arrived, we were on a tight schedule because of a race we had entered. We were looking forward to have a couple of drinks in the bar, which was only 1 in the end. The lady managing the bar told us the receptionist could keep serving us, because her shift was finished. That was not the case. We are extremely unhappy with the overall stay in the Altius, and value for money is not compatible.",Altius Boutique Hotel,,,Review 35 Similarity,1.0,Review 1 Similarity,0.0,"{'neg': 0.041, 'neu': 0.942, 'pos': 0.017, 'compound': -0.5256}",-0.5256,neg
328,10,The room that i had smelled like mold. It was the rugs that they had on the floor. Cleaning service is terrible. the AC was shut off for the winter even if its 90f. The breakfast was always the same and not enough selections.,Hilton Nicosia,,,Review 17 Similarity,0.46291005,Review 69 Similarity,1.0,"{'neg': 0.067, 'neu': 0.88, 'pos': 0.054, 'compound': -0.1531}",-0.1531,neg
337,10,Worst service ever!Talked with a lady called Lafki in order to arrange an event for a groups of friends.I called the hotel and this lady answered saying that she would answer back.Terrible service!IThis is totally wrong from hilton hotelSacha,Hilton Nicosia,,,Review 549 Similarity,0.327326835,Review 322 Similarity,0.471404521,"{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.8433}",-0.8433,neg
