,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
1,50,"Excellent food, great atmosphere and service.Cosy & elegant after renovation. Dine-in 5* experience!!",Akakiko,Review 1 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.9097}",0.9097,pos
2,50,Visited Akakiko Nicosia on a Friday night. Although very busy they found us a table without a reservation. Staff was very welcome and kind. Quality food and perfect service. Will visit again and again 👌,Akakiko,Review 48 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.8923}",0.8923,pos
3,30,The food is great and it's a nice place but be prepared to sit and wait on service. You have to try really had to get a servers attention.,Akakiko,Review 51 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.7003}",0.7003,pos
4,50,Good prices very taste maki rolls huge suchi menu and plenty vegan choices..professional and polite service . Place to visit,Akakiko,Review 68 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.6369}",0.6369,pos
5,40,"eating there almost every month with family. always good hospitality, modern restaurant and the more important top quality and variety of food. the only reason for not giving 5 stars is the price of the dishes.",Akakiko,Review 87 Similarity,0.507092553,,,,,"{'neg': 0.051, 'neu': 0.773, 'pos': 0.176, 'compound': 0.6169}",0.6169,pos
6,40,"We went on a tuesday evening and ordered different kinds of sushi, a soup and the pop corn prawns, which are my favourite. Crunchi maki and dynamite were excellent! Our waiter suggested to us a rose wine and it was a perfect choice. The service was once again attentive, and the atmosphe relaxing. There is a large parking place next to the restaurant which is rather dark though and can be a bit scary for the ladies.",Akakiko,Review 269 Similarity,0.507092553,,,,,"{'neg': 0.039, 'neu': 0.807, 'pos': 0.154, 'compound': 0.8553}",0.8553,pos
8,40,Akakiko is one of the places that never disappoints you. considering that the place was crowded the service was fast.i like the introduction of new dishes and their new catalog that makes it easy to select the dish of your choice.the food is always fresh and the variety is large.what i didnt like was the fried ice-cream (although some people finds it wonderful) but this depends on each person experience.reccomended!,Akakiko,Review 281 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.717}",0.717,pos
9,50,"Been to Akakiko few months ago invited by friends for lunch. I really liked it but i didn't make a review about it as i did not have any control of the meal. Went again last night with my wife and two sons to celebrate my young son's 19th birthday. The food was fantastic. Salads, makis, sashimi, hot dishes and deserts were of very high standard and served the right time. Service was fantastic as also the atmosphere. You can't call it a high class restaurant but that is not the point when you want to enjoy a good time out. Most importantly their prices were very very good.I would go again the next time i am in Nicosia.",Akakiko,Review 282 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.986}",0.986,pos
10,50,Situated in the Hilton Park. Food and service excellent. Nice ambience. Very extensive menu. Well worth a visit.,Akakiko,Review 308 Similarity,0.507092553,,,,,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.8678}",0.8678,pos
11,40,"we visited Akakiko a few nights ago which is located in central nicosia. It is a value for money restaurant, no doubt about it.you will taste quite tasty sushi, at reasonable prices. The atmosphere is also very nice.service is also good, but there was a delay at the end, cleaning the table.overall, this is a very good restaurant to enjoy sushi, in reasonable prices.",Akakiko,Review 331 Similarity,0.507092553,,,,,"{'neg': 0.089, 'neu': 0.745, 'pos': 0.166, 'compound': 0.7579}",0.7579,pos
12,50,"I ordered a toasted prawn (starter), some sesame chicken (main) and 3 caipirinhas. Every item was done in near perfection. Service was good too. The ambience of the place was also very good. If you stay in or near Hilton Park Nicosia, this is a very good place to walk in and have a meal.",Akakiko,Review 138 Similarity,0.505076272,,,,,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.9081}",0.9081,pos
