,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
0,40,"I recomend the place, is a restaurante with Good service and quality Food; with a Good environment inside the restaurant.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7003}",0.7003,pos
1,40,"Saturday lunch with family. Arrived early before it got too crowded. Very nice and helpful staff. 5-6 choices for the dish if the day and a quite enriched menu.All dishes were tasty, portions quite satisfactory. I didn’t like the beetroot puree that is served with the sea bass. Maybe its because of my taste-like range. I dont know.....",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.8937}",0.8937,pos
2,50,"A very contemporary feel to this restaurant , where the decor is modern and the dishes often have a fusion feel to them. My tuna steak was exemplary - and our mix of starters were all of the highest standard. It's not a rom antic restaurant, but it is great for eating and for discussion. I will return",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.7684}",0.7684,pos
3,40,"The restaurant is big, not fussy, plenty of space, feel comfortable. The food is delicious and tasty. the people there are very helpful, pleasant and no delay on service.",Pantopoleio Kali Orexi,,,"{'neg': 0.109, 'neu': 0.559, 'pos': 0.332, 'compound': 0.8799}",0.8799,pos
4,40,We have been many times to Pantopolio and standard never varies. A bit expensive though but their food is appreciated. Keep it this way.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.6652}",0.6652,pos
5,30,"We ordered glasses of Petrites white and Vassilikon red plus a bottle of water. Then we had a Rokka salad which was extremely good. Then we had Lavraki, Sifias and a Pork Chop cooked in a delightful sauce. Service was rather slow and the Sifias was not so good. To finish with we had a Couple of Mastiha - very nice and thanks. Cost was €67.94",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.9472}",0.9472,pos
6,50,"I always visit Pantopoleio when I am in Nicosia. Friendly staff/service and solidly good Greek/Meditteranean food. They recently moved from the city center to a suburb, but nothing is really far away in Nicosia. It is a much larger place now with a contemporary design and always packed with people, so better make a reservation. Their menu is concise which I like because it means that their ingredients are fresh, and there are always dishes of the day. I am not much into pork but their pork chop is fantastic. Many years ago I got hooked on their orange creme (portokalokrema) desert. No visit is complete without it.",Pantopoleio Kali Orexi,,,"{'neg': 0.024, 'neu': 0.8, 'pos': 0.176, 'compound': 0.9549}",0.9549,pos
7,50,Second visit for lunch within the last few weeks. Food and service were perfect both times. Highly recommended!,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7257}",0.7257,pos
8,50,Delicious food cooked with fresh ingredients and attentive service. Greek and cypriot dishes but not as predictable as at some places. Keen to go back.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.7391}",0.7391,pos
9,40,"I ate here for dinner in September 2019. The restaurant has outdoor seating and I took advantage of that. I walked to the restaurant from the hotel across the street. The staff was attentive and informative.The food is Mediterranean, European, Greek, and vegetarian friendly. I ordered the penne pasta with village sausage and that was excellent and filling. I had a couple of glasses of wine with my meal and the waiter also let me taste what he thought was an excellent white wine. In short, the staff treated me very well and the food was excellent.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.9565}",0.9565,pos
10,40,"We arrived early for Cypriot eating out, namely 7:30 pm so had no trouble getting a table, The place, though capacious, was filling up by 9 pm, mid week so very popular. The salads were superb, I had the fish which for me, was little underdone, but my friends had meat and found the beef and the pork superb. Their chips looked good but my roast vegetables were perfect. The quality was, overall good, but I thought not up to the price we paid. Its strongest points are being able to sit out and the very attentive staff.",Pantopoleio Kali Orexi,,,"{'neg': 0.031, 'neu': 0.707, 'pos': 0.262, 'compound': 0.984}",0.984,pos
