,r_points,r_text,place,scores,compound,score
0,30,"The Centre of Visual Arts and Research (CVAR) is both interesting and somewhat disappointing. I expected to find contemporary (or modern) Cypriot art, but CVAR contains art mainly by British and French visitors to Cyprus from the 1800s to the present. It shows Cyprus through the eyes of those who visited, and those who marketed the island as a travel destination. It also contains a collection of costumes and accessories and details how they were influenced by both Eastern and Western fashions, and its collection of memorabilia includes the last flag that flew over Government House, various bric-a-brac and items from the camps where the British interred illegal immigrants who had survived the holocaust and were trying to sail to Palestine (then under British Mandate). The latter was an interesting find as I have not seen any evidence of these internment camps anywhere else in Cyprus in the twenty years I have been visiting. CVAR's research library also contains thousands of books on the history and art of Cyprus, as well as a large number of newspapers and magazines.Overall, CVAR was not at all what I had expected. Anyone seeking out contemporary Cypriot art needs to find the National Gallery for Contemporary Art at No. 1 Kritis Street in Nicosia. CVAR, on the other hand, offers what I would describe as a colonial gaze upon Cyprus. However, it is well laid out and easy to follow. I would recommend it on the proviso that visitors know what they are getting before they arrive.",Centre of Visual Arts and Research,"{'neg': 0.036, 'neu': 0.859, 'pos': 0.105, 'compound': 0.9542}",0.9542,pos
1,50,Beautiful museum. Very interesting. It is one of the best museums i have ever visited. We had a guided tour and it was great!,Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.9476}",0.9476,pos
2,50,"Recommended by our B&B host- fabulous well laid out gallery of 18-20th century art- so interesting to see the way early European visitors depicted Cyprus, fascinating to see places we have visited like Bellapais and Kyrenia before they were developed. Highly recommended.",Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9508}",0.9508,pos
3,50,"This is a wonderful establishment. Entrance fee is low - 5€. An informative audio guide is available for an additional 3€. It is helpful but not essential.The museum has three levels, all accessible by ramps or elevator. The exhibits are very interesting. Much effort and thought was invested in the presentation.There is a small gift shop with nice artifacts.A worthwhile visit to become acquainted with the island’s history.",Centre of Visual Arts and Research,"{'neg': 0.02, 'neu': 0.739, 'pos': 0.241, 'compound': 0.9541}",0.9541,pos
4,50,"A reflection of historical times in Cyprus with paintings, collections and photos. Cypriots must visit this place. Put contribution and support as much as they can. Authorities must use this as a tool for confidence building among the two communities of Cyprus. I congratulate all the contributors and also the people who are in the position of management and ownership.",Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.8481}",0.8481,pos
5,50,A world-class presentation not only in terms of content but design and layout. You learn about the history of the island through the interaction of the artists and their influences.Great cafe.,Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
6,40,First thing - may I suggest to the operators a name change for this fine centre to better reflect its status. It is really a museum concerned with the history of Cyprus as seen mainly through the visual arts eg. paintings/ posters / photos; and textiles eg. clothing. The collection is extensive and well laid out. The information panels are good but we took the option of the audio guide (available in multiple languages and cost 3 euros) which we found extremely useful and interesting.The collection takes up 3 floors so be prepared to spend at least 2 hours here.A visit is definitely recommended.,Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.9498}",0.9498,pos
7,50,"It is a great place for different cultural events. The new architecture is well integrate in the context, the collection is interesting and the host are friendly and warm.",Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.9186}",0.9186,pos
8,50,"You cannot miss this wondeful museum! It perfectly describes the hgistory of Cyprus and It pays tribute to the ""bi-communal"" nature of the island. It includes 4 floors with a diverse selection, along with an easy to understand summary of Cyprus' timeline in a wonderful, informative, participatory way through beautiful art and memorabilia.The paintings, clothing, and artifacts tell the chronological story of the Ottomans, Greeks, British, French, and others who have lived on Cyprus.It's a hidden gem nestled amongst the quiet area of Nicosia near the Farmagusta Gate, in a fun neighborhood with some beautiful homes and interesting galleries nearby and I believe you won't regret the visit. It is a very beautiful and well organized place with a great modern design, and a cozy atmosphere. The tour is interactive (as you are encourraged to open and explore the drawers and cabins) and you cannot fail to visit the magnificent Glafkos Kliridis library situated on the top floor, as you can feel ""a part of history"" there. In the base floor there is a nice cafe and little boutique with lovely gifts. CVAR is the Grand Prix winner of the 2017 EU Prize for Cultural Heritage / Europa Nostra Award. Well deserved!",Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.9967}",0.9967,pos
9,50,"This museum is unique. It pays tribute to not just the ""bi-communal"" nature of Cyprus, but all the communities that make up this mosaic country. Its wonderful, participatory way of presenting the history of Cyprus, and including presentations by Greek, Turkish, Armenian, and other Cypriots makes this vibrant place come alive. Don't miss it!",Centre of Visual Arts and Research,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.951}",0.951,pos
