,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
0,50,"For anyone who appreciates or wants to learn about Byzantine Art, the Icon Museum is a fantastic introduction. You can see the different styles across the centuries and learn about mosaics and wall frescoes. Superb!",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.906}",0.906,pos
1,30,"There are three sections of the museum: painting from the old schools ranged from 1400 to 1900; the modern arts, and Christian artifacts tracing back to 400AD.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
3,50,Very good selction of the cultural art history of Cyprus. Very well laid out. Good english descriptios of the exhibits,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.8169}",0.8169,pos
4,50,"The relic treasures here are wonderful , step back into the past. Look at the skills of artists of yesteryear portray history . This art has been saved for posterity for us all , go take a look , immerse your self in all that thankfully is still on show.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.9022}",0.9022,pos
5,40,"This building is located close to the Archbishop Palace, Folk Art Museum and the Byzantine Museum. You wont miss it if you are within the historical district of Nicosia.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.1139}",0.1139,pos
6,40,This museum contains a really remarkable collection of religious icons and they are the highlight. There are a couple of interesting Cypriot paintings but on the whole that part of the museum is missable if you are pushed for time.,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6119}",0.6119,pos
7,40,"you get quite iconed out, but it needs to be done. I had an audioguide which helped but icons are not well labelled, and I found myself listing to details about a different icon from the one I was looking at. Second room has lots about Turkish sales of Cypriot things in the occupied zone. Makes you realise how strong emotions are",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.035, 'neu': 0.894, 'pos': 0.071, 'compound': 0.4988}",0.4988,pos
8,40,"This is the place where Makarios III lived during the times he was president of Cyprus. It looks very nice and it is located in the centre of the Greek part of the city. We could not enter the building or the place, just saw it from behind the fence.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.4754}",0.4754,pos
9,30,"The name of this institution is actually ""The Byzantine Museum"". It's simply an icon museum, most of which are not even from the Byzantine era (they are 16th century and Constantinople fell to the Ottomans in 1453). I much prefer to visit the various churches around the island, rather having to be put through the political ramblings of the Greek Cypriot church. An interesting place to visit, but if you do have a car, just visit the various UNESCO World Heritage churches. Much more rewarding and enjoyable.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.9029}",0.9029,pos
10,50,Thisis one of the best icon museums in the world.It exposes well icons from all along the Cyprus history.,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.063, 'neu': 0.672, 'pos': 0.265, 'compound': 0.7003}",0.7003,pos
11,50,"The Archbishop Makarios III Cultural Foundation is a very impressive architecture and well maintained compound that encompasses many units; the Art Gallery, the Library, and most importantly the Byzantine Museum.A new white statue of the Archbishop Makarios III was erected at the entrance, replacing a huge black statue that was moved to the Tomb of Makarios III on the mountain of Throni near Kykkos Monastery.Two collection cars belonging to the Archbishop Makarios are shown at the entrance of the Center.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.862}",0.862,pos
12,30,"This must be the most complete collection of early Christian Icons in the world. The topics are repetative and you need to be very interested to visIt. We had a guide who explained the central figusre of each item, and something of the person who comissioned it captured in smaller images around the edge. We had seen sufficient before we had viewed more than half. It's a place for the enthusiast.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.6697}",0.6697,pos
13,40,This is a huge collection of icons some of which have a striking simplicity yet show great depth of feeling. This is particularly true of some of the depictions of the virgin and child. It is a pity that many of the smaller icons are hung too high on the walls so that it is hard to view them. I highly recommend a visit to the Foundation.,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.05, 'neu': 0.76, 'pos': 0.19, 'compound': 0.8803}",0.8803,pos
14,50,"Very-very interested.Located in the historical centre of the old town of Nicosia, in the yard of Archbishopic Palace and next to 14th century Saint John Cathedral. There is an entrance fee but surely is worth while to be visited especially for those who love to see Byzantine Orthodox icons dated ages back.In this collection you will see the Kanakaria Mosaics and some other ancient icons that were stolen by antiquities' smugglers from the Turks' occupied area but now return back by the forreign authorities.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.075, 'neu': 0.803, 'pos': 0.122, 'compound': 0.6808}",0.6808,pos
15,50,"Cultural at its highestWhat a background to have - more than amazedWalking around taken your time admire what is offered you to look atInteresting books to buy, as a souvenir",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4767}",0.4767,pos
16,40,"the very best of byzantium; including frescoes from a chapel painstakingly stored at menil. icons and mosaics are nicely displayed, but frequently lack information on provenance.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.1, 'neu': 0.742, 'pos': 0.158, 'compound': 0.1893}",0.1893,pos
17,50,"One of the very few places in the world to view greek orthodox ancient icons and learn about the different painting techniques, mosaics and much more",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
19,50,"This museum displays more than 300 stunningly preserved icons from churches all over Cyprus, including the Turkish part.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
20,50,"If you like Christian Art, you'll love this museum and gallery of Greek icons. Upstairs, there is also a display of fine Greek Cypriot art, by top artists like Andreas Narayan (sp.?). Wonderful collection, very well displayed.",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.9509}",0.9509,pos
21,50,A place which has to be visited...it's pure history....,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
22,50,"A wonderful collection of ethnographic pieces, including furniture, tableware, clothes and costumes, embroidery. The museum exhibits fully furnished (traditionally) rooms. Very helpful guide at reception.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7778}",0.7778,pos
23,40,The place is nice and in my opinion it worth to be visited especially from outside. There are interesting things inside for those that are looking for these kind of art.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.7506}",0.7506,pos
24,50,"This Museum is relatively small and nicely kept . It includes exhibitions on traditional professions, clothes, handicrafts and artifacts relating the history of Cyprus. It also has very nice rooms with original furniture and paintings. I enjoyed it.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.8908}",0.8908,pos
25,50,"Very interesting exposition, well maintained. I only regret it wasn't bigger. Absolutely worth seeing. Especially that it's a great starting point to continue sightseeing, many other facilities are really close in a stroll distance.",Cyprus Folk Art Museum,,,"{'neg': 0.116, 'neu': 0.644, 'pos': 0.241, 'compound': 0.7217}",0.7217,pos
26,30,"This museum houses a plethora of old furniture, costumes and equipment for making handicrafts sourced over the years from around the island. Essentially one long room with a few smaller rooms, it doesn’t take too long to view the items on show.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
27,50,"Small one story museum, but cool in both temperature and exhibits, off very quite square, next door to Byzantine Museum and art gallery.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4497}",0.4497,pos
28,40,We went to the Cyprus Folk Art Museum. It was very hot and humid so we took with us cold drinking water. Nice outing.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}",0.4215,pos
29,30,"It is inside a church like building. If you have ever been to a similar a Greek museum, you don't have to go unless you want to do a comparison. No photo is allowed in this place.",Cyprus Folk Art Museum,,,"{'neg': 0.061, 'neu': 0.833, 'pos': 0.106, 'compound': 0.1531}",0.1531,pos
31,40,"This is a very quaint museum that gives you a brief history of the folk art of Cyprus. We were amazed at the art work done with silk cocoons and the lace and silver work done here. This was our first stop before going to the markets, so we were more informed at what we were looking at once we did go shopping.",Cyprus Folk Art Museum,,,"{'neg': 0.034, 'neu': 0.916, 'pos': 0.05, 'compound': 0.25}",0.25,pos
32,40,"Located near the Archbishop's Palace and the National Struggle Museum, this is a wonderful museum for those interested in the folk art of Cyprus. Plan to spend at least an hour here.Byzantine art museum located next door.",Cyprus Folk Art Museum,,,"{'neg': 0.055, 'neu': 0.791, 'pos': 0.153, 'compound': 0.6249}",0.6249,pos
33,40,A well curated collection well laid out over several floors. Covers art works as well as artefacts and several areas have hidden items in drawersIn house cafeteria available and a small gift shop.A calm oasis in a hot climate.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.8591}",0.8591,pos
34,40,Lovely to look around and see some of the preserved methods of Cypriot arts and crafts- important to keep these traditions alve for future generations,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.6808}",0.6808,pos
35,30,This Museum is a two flour structure with a wide balcony on the top floor. Located within the historical neighborhood of Nicosia. It is also next to the Archbishop palace and the Byzantine Museum.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.2023}",0.2023,pos
36,50,"This is a fascinating place with an interesting collection. The building is interesting in itself, being the old Archbhishop's Residence and before that a Benedictine Monastery. The buildings nearby are important and not visited very much.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.8658}",0.8658,pos
37,50,"Without fanfare this gives a glimpse of rural domestic life in Cyprus, with the accent on family, craftsmanship and clothing. Textiles and domestic furniture show why Cyprus is unique and like everywhere else at the same time. Excellent Gothic arch for close inspection. Worth an hour of your time",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.7964}",0.7964,pos
38,50,Jump in this rural river of history. See the ways of the cyprus technics of building and manufacturing goods for dayly useage. Feel free to ask anything. Check how deferend concuerors left there mark in this art.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.5106}",0.5106,pos
39,40,"Worth a visit, good design and plenty of information, not particularly large museum. Visit lasted around 30-45 minutes",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.5859}",0.5859,pos
40,20,"Only visited because I was in the area.Displays are a bit of a jumble without any explanation.Lots of pots and pans and a few beds.Looks in need of a spring clean.Spent 10 minutes,probably 9 too many.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
41,50,In 30 minutes you may see the an interesting collection of the folk art of Cyprus of the last two centuries in a historical and important building. Helpful staff.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.743}",0.743,pos
