,r_points,r_text,place,scores,compound,score
0,40,Very nice people. They were very helpful. The breakfast was very good. If you get in your room and close the door you don't hear any noise from the the other rooms.it is Very closed to restaurants and bars.,Europa Plaza Hotel,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.8548}",0.8548,pos
1,10,"Do not stay at this hotel unless you like loud music, noisy traffic, motorcycles screeching throughout the night, bad coffee, twin beds that are hard as a board, room that smells like sewer gas, and overflowing toilets. This is the worst hotel stay I’ve ever experienced and I travel a lot. I don’t get it. I can’t even find a reason to give it half of a stat.",Europa Plaza Hotel,"{'neg': 0.151, 'neu': 0.778, 'pos': 0.071, 'compound': -0.6908}",-0.6908,neg
2,10,"Don't waste money. Very rude receptionist . If you want to experience go head and try , People who don't want hassle it. Take different hotel. This place is like a prison they trying to ruin your mood. Check out 15 June 2019 12:00 pm.",Europa Plaza Hotel,"{'neg': 0.197, 'neu': 0.663, 'pos': 0.141, 'compound': -0.715}",-0.715,neg
3,20,"Many things to report about this hotel. Unfortunately most of them are bad: Upon late night arrival ""greeted"" by an inhospitable receptionist. All male staff seemed to have the same obnoxious non-helpful attitude. The room smelled of moist - hence no ventilation. The aircon heating didn't really work (cold rainy days in Cyprus in February this year). The walls are thin - lots of noise from other rooms and the hall way - especially from the teenage camp installed on the same floor. The in-room breakfast order form didn't work - four of them in the room, but apparently the hotel doesn't use them anymore. The breakfast was mediocre and repetitive - they turned off the heat under the ""hot"" food half an hour before closure leaving luke warm food for the last guests. The wifi is super…",Europa Plaza Hotel,"{'neg': 0.081, 'neu': 0.902, 'pos': 0.017, 'compound': -0.7168}",-0.7168,neg
4,40,"We stayed five nights in early October 2018. It's Located close to city Centre. It's only 20 min walk to reach the center of Lefkosia . Nice room. Very good breakfast. It worths staying when you visit Lefkosia, Cyprus.",Europa Plaza Hotel,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7264}",0.7264,pos
5,10,"We had a booking there as part of a conference, suggested by the organiser. Our twin room was sooooo.... dirty. The carpets had remainings of literally EVERYTHING. The towels were old and rusty. Absolutely discusting...",Europa Plaza Hotel,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4404}",-0.4404,neg
6,40,"I spent two days in Europa Plaza Hotel Nicosia for a business trip. The room is clean and tidy. The view from my room was horrible, it views to an allay with a gas stain and a container yard. the breakfast was fine. It is pretty far from a city center.",Europa Plaza Hotel,"{'neg': 0.066, 'neu': 0.789, 'pos': 0.145, 'compound': 0.4939}",0.4939,pos
7,30,Room was not ready probably due to high season took a suite it was good decor but basic amnesties that you will find in a normal room. room service was good. had a Jacuzzi that doesn't work. location is good if you are targeting Nicosia.,Europa Plaza Hotel,"{'neg': 0.032, 'neu': 0.772, 'pos': 0.196, 'compound': 0.844}",0.844,pos
8,30,"Booked in here for 4 nights. Room very basic, no tea or coffee facilities in room, no bottled water provided.Interrupted sleep from racing motor bikes which started up each evening around midnight. Room very warm and no air conditioning this time of year “ It is winter, madam! Was the only explanation we were given.“ My room was unbearably hot as it got the sun from first thing in the morning and for most of the day. Could not leave the window open at night because of the traffic noise. On our third night there the hotel was invaded by a group of 55 teenage school children from Greece and their teachers. They spent most of the evening running up and down the corridors and stairs, banging doors, shouting and laughing. They even knocked on my bedroom door and ran away laughing and screaming. After complaining they were quiet for a short period and then it all started up again. This carried on on and off till 2am.The next morning after once again complaining to the receptionist we were told, “ Well you are checking out this morning,” . Unfortunately as far as we were concerned we knew we had one more night booked as we were told we were booked there for 4 nights. The receptionist then informed us they were fully booked that night and had no free rooms. We had to then pack our bags quickly before leaving and went off to complete our business whilst other arrangements were made. We were then informed that the hotel admitted they had made a mistake in the booking and offered us an upgrade to a suite room in a separate part of the hotel away from the school party. Here we had an excellent nights sleep in a suite that had tea and coffee making facilities, plenty of bottled water and very comfortable surroundings and more importantly was quiet and we got a good nights sleep once the motor bike race had competed for the night.The food in the evenings we ate in was very good and Janis looked after us extremely well. Breakfast was a bit of a disappointment as the cooked food, despite being set over heaters, was cold, including the scrambled eggs! The toasters took an age to toast the bread and needed to be put in the moment you entered the dining room so that it was ready by the time you had had some cereal, fruit, yoghurt etc.For business it was fine apart from the teenage school children, although if you are distracted by traffic noise this might not suit you. Especially when you feel you have to be ‘on the ball’ for business the following day.",Europa Plaza Hotel,"{'neg': 0.055, 'neu': 0.857, 'pos': 0.088, 'compound': 0.9392}",0.9392,pos
9,30,"Very cleanFree internetRoom is basic with small TV and only free channelsheating is a bit noisyBreakfast is basic to poor, very “tourist low cost oriented” with supposed some choices but was bot happy with the quality",Europa Plaza Hotel,"{'neg': 0.089, 'neu': 0.739, 'pos': 0.172, 'compound': 0.6663}",0.6663,pos
10,20,"This has been my favourite hotel since a few years but this time it was a disaster. The hotel is as good as it always is, clean, tidy, service at reception and by the manager most professional, breakfast very generous but a) side reading bed lights are both on, so if one wants to sleep do what I did, unscrew the bulb. Asked reception to fix it but nothing happened, both reading lights are on b) a leaflet in the room welcomes you and offers 20% discount on any food etc. However when we had a snack and drink at the Plaza cafe, they said to our great suprise that this is not valid !!! c) worst of all, on Fridays and Saturdays though this is an inhabited area just before midnight several huge motorcycles apparently without any silencers challenge each other at highest possible speeds and the noise is beyond any description. You feel as if 50 tanks are speeding around the hotel. Called reception at 02.00 hours he said there is nothing to be done. Called police at 03.20 (after midnight) he said a patrol car would be in the area. Half an hour later the same situation the tank battle with disturbing sounds that one could hear miles away continued all through the night till morning . It is surprising that others have commented on this yet the police obviously couldn't care less. On Saturday night we bought some ear plugs, but this was a terrific night worse than the previous one. Just horrible .. Lastly, when we arrived there were no bath towels in the room...The hotel is not responsible for the racing noise but they have the obligation to demand action by the police. As it is today, it is impossible to sleep and I am not exaggerating.",Europa Plaza Hotel,"{'neg': 0.117, 'neu': 0.788, 'pos': 0.095, 'compound': -0.8261}",-0.8261,neg
11,20,"Rather basic in terms of the room, clean although the bed is rock hard and there was no bottled water in the room. No coffee or tea provided. The double glazing does not mask the noise of the main road enough.The bathroom whilst clean needs a modern refurb.Lift in the hotel is slow and 'cosy'. Desk staff were helpful enough and there is a pub/bar next door which served OK American style food in the evening although with music and football if you fancy.Doubt I would stay again.",Europa Plaza Hotel,"{'neg': 0.061, 'neu': 0.822, 'pos': 0.117, 'compound': 0.7456}",0.7456,pos
