,r_points,r_text,place,scores,compound,score
1,10,"Do not stay at this hotel unless you like loud music, noisy traffic, motorcycles screeching throughout the night, bad coffee, twin beds that are hard as a board, room that smells like sewer gas, and overflowing toilets. This is the worst hotel stay I’ve ever experienced and I travel a lot. I don’t get it. I can’t even find a reason to give it half of a stat.",Europa Plaza Hotel,"{'neg': 0.151, 'neu': 0.778, 'pos': 0.071, 'compound': -0.6908}",-0.6908,neg
2,10,"Don't waste money. Very rude receptionist . If you want to experience go head and try , People who don't want hassle it. Take different hotel. This place is like a prison they trying to ruin your mood. Check out 15 June 2019 12:00 pm.",Europa Plaza Hotel,"{'neg': 0.197, 'neu': 0.663, 'pos': 0.141, 'compound': -0.715}",-0.715,neg
3,20,"Many things to report about this hotel. Unfortunately most of them are bad: Upon late night arrival ""greeted"" by an inhospitable receptionist. All male staff seemed to have the same obnoxious non-helpful attitude. The room smelled of moist - hence no ventilation. The aircon heating didn't really work (cold rainy days in Cyprus in February this year). The walls are thin - lots of noise from other rooms and the hall way - especially from the teenage camp installed on the same floor. The in-room breakfast order form didn't work - four of them in the room, but apparently the hotel doesn't use them anymore. The breakfast was mediocre and repetitive - they turned off the heat under the ""hot"" food half an hour before closure leaving luke warm food for the last guests. The wifi is super…",Europa Plaza Hotel,"{'neg': 0.081, 'neu': 0.902, 'pos': 0.017, 'compound': -0.7168}",-0.7168,neg
5,10,"We had a booking there as part of a conference, suggested by the organiser. Our twin room was sooooo.... dirty. The carpets had remainings of literally EVERYTHING. The towels were old and rusty. Absolutely discusting...",Europa Plaza Hotel,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4404}",-0.4404,neg
10,20,"This has been my favourite hotel since a few years but this time it was a disaster. The hotel is as good as it always is, clean, tidy, service at reception and by the manager most professional, breakfast very generous but a) side reading bed lights are both on, so if one wants to sleep do what I did, unscrew the bulb. Asked reception to fix it but nothing happened, both reading lights are on b) a leaflet in the room welcomes you and offers 20% discount on any food etc. However when we had a snack and drink at the Plaza cafe, they said to our great suprise that this is not valid !!! c) worst of all, on Fridays and Saturdays though this is an inhabited area just before midnight several huge motorcycles apparently without any silencers challenge each other at highest possible speeds and the noise is beyond any description. You feel as if 50 tanks are speeding around the hotel. Called reception at 02.00 hours he said there is nothing to be done. Called police at 03.20 (after midnight) he said a patrol car would be in the area. Half an hour later the same situation the tank battle with disturbing sounds that one could hear miles away continued all through the night till morning . It is surprising that others have commented on this yet the police obviously couldn't care less. On Saturday night we bought some ear plugs, but this was a terrific night worse than the previous one. Just horrible .. Lastly, when we arrived there were no bath towels in the room...The hotel is not responsible for the racing noise but they have the obligation to demand action by the police. As it is today, it is impossible to sleep and I am not exaggerating.",Europa Plaza Hotel,"{'neg': 0.117, 'neu': 0.788, 'pos': 0.095, 'compound': -0.8261}",-0.8261,neg
13,10,"The hotel is surrounded by night clubs and bars - loud music -The busy street by the hotel you hear loud motorcycles driving by.Bed mattress is extremely hard,No coffee in the room, no water - worst property I stayed in Cyprus.",Europa Plaza Hotel,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.743}",-0.743,neg
14,30,My company booked for me a room because I had a business dinner in Nicosia. It was a very basic room. I did not like the bathroom because of the shower: it got flooded after taking a short shower...!Breakfast was nice.There is no gym or swimming pool.,Europa Plaza Hotel,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.5577}",-0.5577,neg
39,40,"My second trip to Nicosia and both time I stayed at tis hotel,things haven't changed I great hotel and great staff.This time I spent 10 days here while awaiting for my apartment,the staff in particular Bianca who always had a smile and nothing was to much trouble.The breakfast was always good and the buffet was always hot and fresh,I only had a few meals but still great food and service.The Cuban guy ( sorry no name) in the bar was also very good and very helpful.I would not hesitate to recommend the hotel and will stay again next tine I come to Nicosia later in the year.",Europa Plaza Hotel,"{'neg': 0.136, 'neu': 0.78, 'pos': 0.085, 'compound': -0.7077}",-0.7077,neg
52,30,"It was the second time that we stayed in this hotel in Nikosia. Although it is a clean and fair hotel, it is not the best value for money choice. No wifi, pure breakfast, traffic noise during the night. Although most visitors are not Cypriots, rooms still have socket outlets of flat 3 pin-type. A power cord adapter is supplied by reception under request... but, it is just one, and nowadays, one is not enough.",Europa Plaza Hotel,"{'neg': 0.07, 'neu': 0.884, 'pos': 0.046, 'compound': -0.2028}",-0.2028,neg
53,40,"A nice little hotel in the centre of Nicosia that won't break your budget. All standard facilities are there, but no luxury. One of the few hotels of the city with such ample parking space around. Another plus: numerous eateries within walking distance.",Europa Plaza Hotel,"{'neg': 0.063, 'neu': 0.895, 'pos': 0.043, 'compound': -0.2263}",-0.2263,neg
55,30,"The hotel's location makes it very convenient for a business trip in the area with nicosia's embassies and business centers. One which is further from the city center and reachable by taxi or by feet (a twenty minutes walk). So depending on the purpose of the visit you might hate it or find it very convenient. The rooms are decent and offer a basic comfort - not impressively good nor unbearably bad. Very clean and polite cleaning service. The staff is always willing to help. The breakfast offer is average, but you can have a plentiful breakfast. The restaurant also offers good dishes at decent prices. It is a hotel i don't have anything against, but which also didn't positively surprised me. A minus might be the poor control of room temperature, as the nights were quite cold and couldn't heat properly the room. Overall, an ok hotel.",Europa Plaza Hotel,"{'neg': 0.118, 'neu': 0.816, 'pos': 0.065, 'compound': -0.8553}",-0.8553,neg
