,r_points,r_text,place,scores,compound,score
0,50,Happy customer always.. excellent quality of food Always fresh and tasty. Delivers fast I order frequently,Cook Shop,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.8658}",0.8658,pos
1,50,The food is delicious!! There are various unique combinations of different tastes to try! We have fallen in love with the picanha steak burger and the sweet potato fries. The pork chop was also very nice and the french fries. The place is very romantic and quiet. Totally worth visiting this restaurant!,Cook Shop,"{'neg': 0.037, 'neu': 0.663, 'pos': 0.3, 'compound': 0.9574}",0.9574,pos
2,50,"The food here is soooo delicious! Yhe waiter recommended the Kateifi pulled pork for a starter - I haven't had anything similar before - super tasty! The service was great - very friendly and helpful staff willing to answer all our questions!Also, we really appreciated how careful they were to follow all necessary covid19 precautions! Will definitely return!",Cook Shop,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9824}",0.9824,pos
3,40,"I had a business lunch there. Service was really good, staff very helpful, the steak that I had was cooked perfectly, fried potatoes were original french fries thin and crispy and their salad was fresh and very tasty. I did not have desert but looking at the other tables I glanced some really nice ones! Next time!",Cook Shop,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.9147}",0.9147,pos
4,50,We had a great experience! Food was delicious. Creative cuisine. Not expensive at all. Good value for money. Nice atmosphere although it is a bit small. Friendly staff.,Cook Shop,"{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.9694}",0.9694,pos
5,20,We visited this restaurant after we read the positive reviews on TripAdvisor. The restaurant recently opened after the pandemic. We ordered the mojito salad which was ok and the Greek Kataifi. Both dishes were average. My partner ordered the steak which was very dry although we have requested to be medium it was a bit overcooked and I got the stuffed chicken which had a tastless green crust. There part of the menu with burgers but we did not try them.In summary this restaurant has mediocre food and I am not sure why people rave about it. We will not return!,Cook Shop,"{'neg': 0.024, 'neu': 0.934, 'pos': 0.042, 'compound': 0.1899}",0.1899,pos
6,50,Great place great food and nice friendly and cozy atmosphere The staff there are very helpful and the chef is excellent,Cook Shop,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.9682}",0.9682,pos
7,50,"Our first time here. Not quite sure what to expect although reviews were good. The place inside is like what our grandparents' houses used to look like. Furniture and decorations take you back to the 60s-70s. We all ordered different dishes to try out. Starter salad was excellent, fresh with great dressing. Our dishes were mostly red meat. Cooked to perfection with style and imagination. The waitress was polite and with a smile which is a rare thing nowadays! I would recommend this place to anyone, although you need to reserve well in advance.",Cook Shop,"{'neg': 0.02, 'neu': 0.719, 'pos': 0.261, 'compound': 0.9774}",0.9774,pos
8,40,"The decoration is simple and like step back in time ... the starter ie salmon with veggies was good and fresh and the main dish the steak with sweet potatoes are tasty too. However, the service is really slow more than 25 min after ordering to start receiving the et first dish !!! It’s nice place to visit if you have time and you need to enjoy the company and the food...! We paid around 50 euros for 2 person with soft drinks no alcohol not deserts.",Cook Shop,"{'neg': 0.022, 'neu': 0.797, 'pos': 0.18, 'compound': 0.94}",0.94,pos
9,50,Very nice and creative food. Prices are very reasonable and for the quality and quantity you get. They need to improve a bit their service as it is a bit slow.For sure we are returning.,Cook Shop,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.8874}",0.8874,pos
10,50,"On arrival we were welcomed by the Owner - a great way. We then ordered a glass of Tsangarides Red and Alamos White, which were very enjoyable. Then we had a Picanha Steak with really good fries and was very delicious. We also had Fish and Chips which was also good. We shall return when we come back to Cyprus. Total cost was €43.00 - very good value.",Cook Shop,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9775}",0.9775,pos
11,50,"Although it has been established for at least five years this was our first visit and we were highly impressed. Having made a booking we were warmly greeted despite arriving a little late. The interior is tastefully decorated with a variety of furniture and some old sewing machines converted to tables lending some character. The menu in both Greek and English had a variety of dishes to suit all tastes and all appeared quite unique but appetising and not typical of other tavernas. Service was excellent, the food beautifully presented and very tasty. One main salad served us as a starter and was enough for four people. Our mains were delicious and we forced ourselves to share their tiramisu. The price was very reasonable and the husband and wife team also provide a comprehensive catering service. We look forward to our next visit.",Cook Shop,"{'neg': 0.025, 'neu': 0.81, 'pos': 0.165, 'compound': 0.9684}",0.9684,pos
12,50,"This is a great place to eat in Nicosia. The food is great, the service is also good, and the prices quite reasonable. We visit there once a while, and have tried several items on the menu. All are well prepared and thought out. The meat is always cooked well and the both starters and mains are tasty. I miss some of the items on the older menu, like the steak sandwich. The menu is limited, but there will always be something to feast on. Try the burgers, the pork chop, the pecaña, even their salads are good. Recommended.",Cook Shop,"{'neg': 0.026, 'neu': 0.793, 'pos': 0.181, 'compound': 0.928}",0.928,pos
13,50,"I can judge from my only visit only. We madr a reservation for brunch since the place gets packed. I loved the interior, the atmosphere, the service and food. Prices are quite reasonable considering the quality. The place is a bit small though but cosy",Cook Shop,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.3506}",0.3506,pos
14,50,Always I have good time in this restaurant. The atmosphere is calm and relaxing. The veggie risotto was very tasty and light and beautifully presented and the desert was nice too. The service good with slight delay. I recommend this place mainly for their menu which is different and has nice dishes.,Cook Shop,"{'neg': 0.035, 'neu': 0.617, 'pos': 0.348, 'compound': 0.9628}",0.9628,pos
15,50,"Tasty foods, ambiance is so nice. All personals are very kind, smiling faces. We felt very comfortable and happy ourselves. So nice dinner, so happy moments but only Fridays dinner :(((((((Nicosia needs your team every night!MAGİC TEAM and I think, ""It's not random""I will try to learn more about your restaurant story.Good luck. See you soon.",Cook Shop,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9562}",0.9562,pos
16,40,"Nice place with interesting design inside. Dishes were tasty, we really liked the lemonade. Prices are not very expensive. However, the open hours a little bit strange.",Cook Shop,"{'neg': 0.047, 'neu': 0.685, 'pos': 0.268, 'compound': 0.7947}",0.7947,pos
17,40,So lovely to be back. 3 years since our last visit and great to catch up with the owners and see the restaurant thriving with some old favorites and new additions to the menu. Always tasty food and drink and good service. Will be back up on our next trip to Nicosia,Cook Shop,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.9312}",0.9312,pos
