r_points,r_text,place,,,,
10,The room that i had smelled like mold. It was the rugs that they had on the floor. Cleaning service is terrible. the AC was shut off for the winter even if its 90f. The breakfast was always the same and not enough selections.,Hilton Nicosia,Review 17 Similarity,0.46291005,Review 69 Similarity,1
40,Booked an Executive room and was very impressed by the size when entering the room. Furnishings are a little old but still OK. Had the worst nights sleep ever. My room 209 was overlooking a function room. I arrived back at 12:00 AM after dinner with my business partner to hear alot of commotion outside the room and the room pounding from the music in the function room. Saying to myself this will not go on for much longer I tried to sleep but it was impossible and too late at night to move rooms. Eventually it must have finished at around 2 AM. I later found out that this was a graduation party. Next problem was that I was awoken at around 6 AM with bright sunlight pouring into the room as the curtains would not close properly. Not a good start to a business trip.Food is very good and Executive facilities also good with nice snacks and a 2 hour happy hour for HHonors and Exec room guests.Although didn't use the other facilities the pool did look very inviting. I usually stay at the other Hilton in Lefkosia and will think twice about returning here.,Hilton Nicosia,Review 622 Similarity,0.454344111,Review 81 Similarity,0.509524665
50,"Had various excellent stays in the Hilton Park over the last years. Does not look fancy from the outside, but rooms, lobby, restaurant etc. are nice and very clean. Pool area with bar and gym are great. Can also recommend connected restaurants (Greek and Asian). Outstanding is the friendly and welcoming service, starting from reception to room cleaning and breakfast service. The staff makes the difference and deserves 5 points rating!",Hilton Nicosia,Review 157 Similarity,0.466569475,Review 64 Similarity,0.503952631
50,Check=in was very fast. Friendly and efficient staff. Always ready to help. Rooms and public areas were well maintained and very clean. Food at the restaurant and breakfast buffet was excellent. View from the room was great and out of the room you could see the lobby even from top floor.,Hilton Nicosia,Review 611 Similarity,0.46291005,Review 76 Similarity,0.5
50,"Absolutely amazing staff at this Hilton hotel, everyone, from reception, to breakfast room staff and management were outstanding and so service minded, our family felt treated so well, rooms were big, nice and clean, pool area is great but the service and hospitality from all the staff was outstanding a 11 out of 10",Hilton Nicosia,Review 284 Similarity,0.501550391,Review 23 Similarity,0.481543412
40,Stayed here for three nights in July 2016. Hotel facilities and staff are excellent. Buffet breakfast is wonderful. Unfortunately our room had a strong cigarette smell. Hotel was 'fully occupied' so we didnt have much choice. They changed our room next day and the new room was OK. Suggest they might ban smoking within the hotel as guests appear to smoke on their balconies with sliding doors left open.,Hilton Nicosia,Review 449 Similarity,0.455842306,Review 78 Similarity,0.481543412
40,Check in was great and I had an executive room on the 2nd floor facing the car park. The room was large and seemed fairly modern but the bathroom felt a little more dated but clean. I was given some water in the room on the 1st day but this was never replaced during the whole stay which seemed strange as I was in an executive room. The lounge access area was not that impressive as the menu was limited and also it was not set in an exclusive area like some hotels as it was on the ground floor near other public areas. Breakfast was good with a wide enough range although I could not tell if fresh omelettes or poached eggs could be ordered. The staff were very attentive and smiley. Only other incident was that I could not seem to park in the customer parking when the barrier was down. I did speak to concierge and they said there was a problem and I would need to get out of my car and then ask concierge to open the barrier or drive up to the front of the hotel and ask them and so then park the car. I ended up parking on the public areas and all was fine.,Hilton Nicosia,Review 362 Similarity,0.400891863,Review 176 Similarity,0.481125224
50,"I visited this beautiful hotel with my husband for our friends' wedding last week and stayed in for 5 days. Perfectly located in a peaceful area, very close to the city center, with many trees around, it is ideal for relaxation. Every single corner is perfectly decorated. The venue bar offers exceptional drinks, coffees and food, all fresh and delicious. The various facilities, gym, beauty salon, japanese and greek restaurant covered all our needs. The breakfast area was just amazing and there were plenty of best quality food options. The room was spacy, extremely clean, the mattress and pillows very comfortable! Best sleep in my life.. We could operate the room temperature as we liked. I cannot remember even one person of the staff not being helpful and willing to help with anything we asked for, from room and laundry services to general pieces of information about the city. For those who would like to plan am event, there are various halls for any kind of event and people who perfectly organize all the special occasions. We enjoyed the wedding party of our friends, in a big hall, perfectly air- conditioned, with great service and delicious food! The only thing somebody could complain about is the fact that there is free wifi only into the public areas, but sitting in the luxury lobby to surf is just enjoyable, so I don't think that's a real problem..I can't wait to be back sometime soon! Thank you all for your great hospitality!",Hilton Nicosia,Review 577 Similarity,0.489978944,Review 35 Similarity,0.474578998
40,The staff was great. Very helpful. The room was comfortable and had a small personal balcony. The breakfast buffet was probably one of the best. The only negative was the pressure of the hand-held shower. The shower head was fine - - only the hand-held seemed restricted in some way.,Hilton Nicosia,Review 176 Similarity,0.327326835,Review 319 Similarity,0.471404521
10,Worst service ever!Talked with a lady called Lafki in order to arrange an event for a groups of friends.I called the hotel and this lady answered saying that she would answer back.Terrible service!IThis is totally wrong from hilton hotelSacha,Hilton Nicosia,Review 549 Similarity,0.327326835,Review 322 Similarity,0.471404521
