r_points,r_text,place,,,,
10,Food was not nice and very expensive. it was not even warm. service was very slow. I would never go to that place again!,Jamies Italian,Review 173 Similarity,0.204124145,Review 261 Similarity,1
40,"The main course is bit overpriced, but the food itself is still tasty. Lunch special might be more valuable.",Jamies Italian,Review 105 Similarity,0.40824829,Review 81 Similarity,0.5
30,"Good service, nice decor, but food is nothing special. Nicosia needs a good Italian restaurant but unfortunately this isn't it. I don't think we'll be visiting again.",Jamies Italian,Review 158 Similarity,0.40824829,Review 85 Similarity,0.5
30,The starters was very good and the food was nice but nothing special. Small portions. The dessert was excellent.,Jamies Italian,Review 177 Similarity,0.40824829,Review 87 Similarity,0.5
50,The best restaurant in Town. Food rocks and the environment is modern and cozy.Best carbonara i have ever eat and the cocktails are the best i ever tasted.Service is perfect and the staff always there to assist you.,Jamies Italian,Review 328 Similarity,0.40824829,Review 96 Similarity,0.5
50,"I have visit this beautiful restaurant several times.... where to start - first of all food quality and presentation has Jamies signature all over it. It is a place in Nicosia where you can enjoy carefuly sourced first quality food items!!! Something what is not easily found here. You can enjoy three course meal whitin 25eur Portions are adequate - i had problem to finish my dessert!!The restaurant is one if the most beautiful ones ive visited here in Cyprus. The ambience is vibrant and very positive.And the service!!! Very polite, smiling and always ready to assist you...Really u feel welcome here anytime you come.KUDOS to the whole team!!Thank youI highly recomend ...",Jamies Italian,Review 196 Similarity,0.316227766,Review 164 Similarity,0.5
50,"The best restaurant in the Island, perfect reception, prefect staff, and perfect food!I have been in many place all around the world, but nothing compares to the food, the service of this restaurant.The prices are fair, and the restaurant is lovely inside and out.",Jamies Italian,Review 205 Similarity,0.306186218,Review 173 Similarity,0.5
50,"Just arrived in Nicosia this week and have been to the place twice since then. The location is really nice and I can highly recommend a table on the veranda of the restaurant. The interieur is a mix of modern Italian and the classical style of Jamie Oliver's restaurants in London. The food was great. I tried the bolognese pasta and the truffle risotto. Especially the risotto was perfect and could not be better. Coupled with the very nice and friendly staff, the restaurant is a great place to spend time for lunch or dinner. I recommend to book a table in the evenings. Five well deserved points and I will definitely go there again!",Jamies Italian,Review 312 Similarity,0.244948974,Review 219 Similarity,0.5
50,"The food was lovely, service was exceptional waiters polite and friendly restaurant clean and felt like home",Jamies Italian,Review 13 Similarity,0.204124145,Review 250 Similarity,0.5
30,"The interior design of the place is gorgeous! But the food doesn't match. We veggie burger was medium at best. I ordered gluten free pasta, the Penne were overcooked and fall apart every time I tried to stick my fork in it. I expected more!",Jamies Italian,Review 28 Similarity,0.204124145,Review 252 Similarity,0.5
50,"As always, the food was amazing, excellent service, and quality environment for a very successful business lunch",Jamies Italian,Review 49 Similarity,0.204124145,Review 254 Similarity,0.5
10,I was as disappointed in Cyprus as in London with the quality of food and service. It was practically cold by the time it got to the table and was a ling wait. The.price is hefty too for the whole experience.,Jamies Italian,Review 102 Similarity,0.204124145,Review 256 Similarity,0.5
20,When you enter the smell of the salami etc which are hanging in open air is very strong and for a vegetarian definitely not appetizing. The is a lot of staff but service is slow. When we ordered coffee the empty plates were left on the table and were only picked up when we asked for the bill. We had pasta which was nice and a salad which wasn’t.,Jamies Italian,Review 122 Similarity,0.204124145,Review 259 Similarity,0.5
40,"Been here twice, love the romantic atmosphere and the friendly but professional service. Tasty food. Not many vegetarian options though!",Jamies Italian,Review 233 Similarity,0.204124145,Review 262 Similarity,0.5
50,"Excellent food, service! U must visit!!! Garlic bread is a MUST!!! Thank u guys so much, i ll re visit soon... Quality of cocktails is amazing too.",Jamies Italian,Review 343 Similarity,0.204124145,Review 266 Similarity,0.5
40,"Well prepared food. A family of 5 we shared starters and desserts. A plethora of amazing smells and tastes. The service was OK, we ordered garlic bread but got calamari, this was corrected and we got the calamari for free. The bill was reasonable and the wait time was just right. A great place for a family lunch on a hot summer day. Just get a parking with some shade.",Jamies Italian,Review 27 Similarity,0.136082763,Review 299 Similarity,0.5
50,"In love with this place, in love with the people, in love with the recipes, new addition- black Angus fresh ribey straight from Ireland. Take a mushroom sauce side dish to complete the ""fantasy"". A "" must try"" for all you steak lovers out there!",Jamies Italian,Review 96 Similarity,0,Review 323 Similarity,0.5
50,"Went there for a dinner with my husband. We ordered prawn lingunie, the amazing seabream and rib eye and the divine garlic bread. Everything was amazing and service was perfect. Totally recomended. The garden was amazing.",Jamies Italian,Review 224 Similarity,0,Review 330 Similarity,0.5
50,"Loved the delicious food, the friendly attentive service, the Jamie O style restaurant, the way the food is served, even the toilets were amazing, just enjoyed everything! We had the artisan bread selection and garlic&chilli prawns for starters, both very yummy! The mains were burger and a pasta dish that we both enjoyed. The burger came with onions, gherkins and cheese as it should! The chips were real with the skin left on, delicious! The kids didn't like their lollipop chicken as it was slightly over cooked and a bit dry but they liked my burger and chips as well as the yogurt dip that came with their dish.Not as overpriced as some reviews claim, not cheap but not so dear either. Price-wise it was very similar to TGI's but the food at Jamie's Italian is way superior.I did not see a play area for small kids to keep busy and let adults enjoy their meal but they do supply crayons and paper to draw while they are waiting for their food.",Jamies Italian,Review 290 Similarity,0.320256308,Review 162 Similarity,0.490290338
30,"Jamies has a nice place, well decorated that gives you a warm feeling. Good service with trained employees as it has to be for such a place.The food was good taste but expensive. I ""play it"" safe on my 1st visit so i order carbonara which was very good in taste, but not the best i ever had for sure. Greens salad was also freah and tastefull. For starter the mix cheese and meat plate was a good taste i admit , of 2 salami and prosuto and 1 cheese, all in very small portions(for example cheese was 10g for each person order the plate).Plate even through good taste,disappointed me cause of size and selection(at least 4 selection of each meat and cheese should be in any ""self-respected"" plater)To sum up, jamies have a good taste food but nothing exceptional. It is an other franchise like fridays and bennigans in more expensive and classy italian way, but still a franchise place",Jamies Italian,Review 332 Similarity,0.452910814,Review 50 Similarity,0.485362672
