r_points,r_text,place,,
50,"We didn't have a reservation but managed to get a table. The meal was just wonderful; it's very big restaurant and you need to be good with that; the service was really attentive and helpful though. There was some dreadful football dross on the TVs while we were there (and there are a lot of TVs) but it strangely seemed quite good and the food was the reason we were there.And the food... oh, the food! I've got shish tawook marinating in the fridge right now because of this place!We loved it. Great food, great service and great atmosphere.",Syrian Arab Friendship Club,Review 1 Similarity,1
50,people enjoy the place for the friendly atmosphere and good tasty food. meat complemented with fresh green vegetables and Syrian bread,Syrian Arab Friendship Club,Review 156 Similarity,0.503952631
50,Even if you are not aware of the Syrian food you can still order a mee according to the persons in your company and for sure you will wnjoy a tasty and quality/quantity food,Syrian Arab Friendship Club,Review 318 Similarity,0.503952631
50,Been there many times. Service is excellent and food always of the highest standard. Staff are always friendly and efficient and know everything about the menu. Prices are also very good. Definitely value for money,Syrian Arab Friendship Club,Review 392 Similarity,0.503952631
50,"Have been going to this restaurant occasionally on a number of years, and their quality still remains excellent. Good food, relaxed atmosphere, friendly staff and good value for money.",Syrian Arab Friendship Club,Review 361 Similarity,0.502518908
40,"Really nice food, good quality. Service was good, polite and pleasant staff. Loved the meze with all Syrian traditional dips.",Syrian Arab Friendship Club,Review 404 Similarity,0.502518908
40,"Delicious Syrian food and very good staff. The place is nice, as well as the atmosphere. We had a very good time!",Syrian Arab Friendship Club,Review 423 Similarity,0.502518908
40,"I have visited this restaurant on more occasions that I can remember really. Food is of constantly good quality. The staff always friendly. I recommend this place especially during the non-winter months as the heating arrangements during the winter are poor. Overall, one of the very good places to eat in Nicosia.",Syrian Arab Friendship Club,Review 486 Similarity,0.502518908
50,i was invited for a wedding the food is amazing as always friendly service they make the best chicken and falafel fried chick peas they have amazing syrian sweets,Syrian Arab Friendship Club,Review 48 Similarity,0.5
40,"great syrian food, nice atmosphere, one of the better known syrian restaurants in cyprus. worth a visit for genuine syrian food",Syrian Arab Friendship Club,Review 128 Similarity,0.5
50,"This is a meze restaurant which like most of this type offers a huge selection of small plates, bowls and platters of really some of the best appetizers one can imagine. The local is in south Nicosia in a neighborhood. The interior setting is festive and ornate with efficient waiters who are prompt and kind. The food is decidedly a blend of Cypriot and Arabic including 2 huge bowls of salads,all the usual meze dips and a more than ample selection of grilled meats to savor.I would suggest ordering 1 less meze than the number of guest since there is so much great food.",Syrian Arab Friendship Club,Review 157 Similarity,0.5
50,Very good athmosphere and the meals were amazing. Portions were relatively big and the food was delicious. Totally recommend it if you are in Nicosia.,Syrian Arab Friendship Club,Review 213 Similarity,0.5
50,"The whole experience is 5 star. Staff are so welcoming and helpful, the service is prompt. The food is best quality and presented well. There is only a small menu choice BUT if you want different then so be it. Have been eating here for over 14 years and keep going back...which tells you ? yes its worth it",Syrian Arab Friendship Club,Review 227 Similarity,0.5
30,Consistently good food quality. Meze is the top pick for me at 15 euro - value for money. Drinks and desserts are expensive. Local beer at 5 euro and plain ice cream at 4.,Syrian Arab Friendship Club,Review 233 Similarity,0.5
50,Very tasty Arab food. Beautiful and young expert belly dancer but only danced only for a few minuits. Smoking area is excellent and open-air with nargile service,Syrian Arab Friendship Club,Review 264 Similarity,0.5
50,"Very enjoyable. Food is very good, plenty of it and very attentive staff. Shisha choice is excellent and cheap.",Syrian Arab Friendship Club,Review 311 Similarity,0.5
40,"Possibly the most authentic and the most amazing Arabic food you can have in Lefkosia. All dishes prepared fresh for you, but it's totally worth the wait! The tastes are just tantalizing - you keep wanting more. Plan on not having a huge meal before your visit here :)The ambiance leaves something to be desired, but that is more than compensated by the excellent service you get over and over again.",Syrian Arab Friendship Club,Review 321 Similarity,0.5
40,Nice arab food plenty plates for vegeterians good prices. If you go on weekend make reservation to be sure.,Syrian Arab Friendship Club,Review 389 Similarity,0.5
40,"This place has been around for over a decade. It never lets you down. They always serve good quality Arabic food. Its sister restaurant, Sawa on weekends and dinnertime is a personal favourite choice. But during the weekdays this place is a safer bet as it never lets you down. Its a safe bet when you do not know where to go in Nicosia.",Syrian Arab Friendship Club,Review 391 Similarity,0.5
40,Really typical restaurant in which I had the possibility to taste the main Syrian dishes. Food was really good and the atmosphere of this huge restaurant is unique!,Syrian Arab Friendship Club,Review 417 Similarity,0.5
50,This is one of the places where you get genuine syrian food made by syrians! Its amazing. Good quantities and value for money. We had the meze and a shisha after and the whole experience was worth it.,Syrian Arab Friendship Club,Review 491 Similarity,0.5
40,Definitely one of the best places in Nicosia for Syrian food. They have a great variety of salads and dips and everything is very fresh and tasty. I have been visiting this place for many years and i believe that they maintain their high standards. I will keep visiting this place for sure :))),Syrian Arab Friendship Club,Review 354 Similarity,0.5
30,"Recommend for a relaxed informal business meal - 8 of us attended having typical Syrian food of average to good quality. Staff were friendly, surroundings are not special and would not take clients here who are looking for 4 to 5 star surroundings.Enjoyable night had by all although staff did looked to focus more time on the local regulars than our paying attention to our group.Would go again for the food as it is a change to other styles offered in Cyprus.Not a place that would impress, or support a business evening, more of a place to relax in your jeans...",Syrian Arab Friendship Club,Review 367 Similarity,0.5
50,"Yes, this is my favourite place to eat of all the places I have travelled too so far - and that is quite a few. This may in part be down to fantastic memories of days gone by in Nicosia and that we had gotten to know the restaurant quite well - but it has got a lot to do with the the amazing food too.I still long to return for the tabbouleh salad, muhammara (red pepper and walnut) dip, flat breads (they do these in impressive size and quantity), falafels, halloumi pieces and the lamb kebab.They also do takeaway of all of their menu (I wonder if they deliver to the UK!). I would go back to Cyprus just to eat here!",Syrian Arab Friendship Club,Review 487 Similarity,0.5
20,"After 20 years of visiting this restaurant I must admit its gone to ****. Prices have gone up by 30% in the last year. Portions have gotten smaller and in essence you end up paying Fish/oriental restaurant prices for a few dips and a kebab. Being a regular, there was always a complimentary tea or coffee and some sweets after food. Prices for coffee and a sweet rivalled a five star hotel.. On the plus the food is fresh (apart from the fried pastry which was frozen inside and the dip which was sitting in the fridge) and if you have never eaten this type of food before you would be pleasantly surprised.",Syrian Arab Friendship Club,Review 8 Similarity,0.497468338
30,"Hi All, I went to the restaurant as part of our team engagement post our full day workshop. The restaurant was selected purely based upon being Halal serving. We had most of Muslim friends hence we were there. The food portions were big, quite a big menu and a lot to explore. Alcohol serving was putting a bit doubt on the food being Halal as posted by some of our colleagues but restaurant staff assured that its an authentic Halal restaurant. Overall good engagement with the team thanks.",Syrian Arab Friendship Club,Review 121 Similarity,0.497468338
40,"Liked the food, typical nice Eastern Arabian food but a bit pricey. The atmosphere while they try to make it nice, mm is not the best, not cost but food is really nice",Syrian Arab Friendship Club,Review 297 Similarity,0.497067423
40,"Nice location, quiet erea but close to Nicosia center. Very nice food with a big variety in the menu. Tasty bread. Excellent service and quick. Nice belly dancing. A good place for family night out. We had a great break from routine.",Syrian Arab Friendship Club,Review 158 Similarity,0.48507125
40,"This restaurant serves the most spectacular food, so flavoursome and varied. Order the meze and main course selection. The parsley salad is divine and the meats so tender. Finish with a cardamom coffee. I have only awarded four stars as I feel it could be made to feel more authentic, rather mundane with the ordinary tables and table cloths.",Syrian Arab Friendship Club,Review 14 Similarity,0.481125224
20,"The food was definitely not out of the ordinary for MIddle Eastern cuisine, we have eaten better at other Syrian restaurants in Limassol. I would not recommend this place it is way too vast for a start and the menu is suspiciously large.",Syrian Arab Friendship Club,Review 53 Similarity,0.481125224
50,The restaurant is simple and beautiful . The staff is very polite and the maze is just amazing . Just if you decide to go it is better not to eat all day :D because you will need space to taste and enjoy all the food,Syrian Arab Friendship Club,Review 83 Similarity,0.481125224
50,"A really hearty and festive variety of plates from Syrian cuisine, including salads, meat, and falafel, as well as pitta bread. Tip: Order the potatoes on top of the meze, they are really that good. You can stay longer and enjoy your narghile / shisha, and don't say no to the mahalepi (lebanese/syrian) dessert. A truly enjoyable experience, and very friendly service, for the lovers of good and honest food!",Syrian Arab Friendship Club,Review 187 Similarity,0.481125224
50,Ok this restaurant has the most tasted syrian/arab food i have ever taste!!!!!!! Please try those small pies with cheese Wverything was amazing and really low cost!,Syrian Arab Friendship Club,Review 212 Similarity,0.481125224
50,Quality and great service at rediculously low price. Been visiting for years and no drop in either!!,Syrian Arab Friendship Club,Review 217 Similarity,0.481125224
