r_points,r_text,place,,,,
10,"The meat I ordered was not fresh, got poisoned really bad. Shame, I really thought better of the place. Never again.",To Elliniko Ouzomezedopoleio,Review 68 Similarity,0,Review 201 Similarity,1
30,"the restaurant is beautiful and will please any tourist but the standard is not what I expected knowing the greek cuisine, it is more industrial than homemade, in Cyprus restarant owners pay more attention to the place than the food",To Elliniko Ouzomezedopoleio,Review 191 Similarity,0.468521286,Review 18 Similarity,0.5
40,"I had a business dinner here. the place is a little too loud for business conversation, but may be OK for casual dining. The menu is very extensive with a very lengthy selection of cheeses and dishes from all over Cyprus and Greece. the descriptions are somewhat cryptic so its better to have someone local with you who can explain the food.",To Elliniko Ouzomezedopoleio,Review 150 Similarity,0.312347524,Review 70 Similarity,0.5
50,One of the most delicious places i ve ever visited. Even during fastening you can find amazing food! Modern Greek Taverna just in front of Hilton Park Hotel. Great cozy family place! Must visit.,To Elliniko Ouzomezedopoleio,Review 145 Similarity,0.234260643,Review 106 Similarity,0.5
40,"I’ve eaten at this place and ordered it home. There location is nice but there isn’t much of a view. The food takes a good 15-20 minutes to be served depending on your order. The the fish and meat portions were smaller than I expected, but the taste is there. Overall I do recommend.",To Elliniko Ouzomezedopoleio,Review 49 Similarity,0.078086881,Review 184 Similarity,0.5
50,"Staff was really friendly and helpful.. I went with friends and we had some great dishes to share.. e.g. zucchini balls, aubergine with tahini was exceptional!! Cold beers and cheers to that place!!",To Elliniko Ouzomezedopoleio,Review 2 Similarity,0.279372118,Review 80 Similarity,0.447213595
40,"This is your typical ""ouzomezedopoleio"" meaning a place offering small dishes to accompany ouzo or in a wider sense any drink... Well cooked delicacies or raw dishes based on traditional recipes.",To Elliniko Ouzomezedopoleio,Review 169 Similarity,0.279372118,Review 82 Similarity,0.447213595
50,"Visited the place quite a few times, the food is exceptional the service is good and the prices quite reasonable",To Elliniko Ouzomezedopoleio,Review 18 Similarity,0.209529089,Review 116 Similarity,0.447213595
30,I 've heard a lot about this place so I decided to visit it...the atmosphere and the decor are great so as the service. We try different starters and all were delicious. The main plate was just good,To Elliniko Ouzomezedopoleio,Review 41 Similarity,0.209529089,Review 117 Similarity,0.447213595
40,Been here with a friend. Good place and staff. The food was nicely cooked. Prices were like 12-15 per person without drinks as far as I remember.,To Elliniko Ouzomezedopoleio,Review 19 Similarity,0.139686059,Review 155 Similarity,0.447213595
50,"We were staying at the Hilton Park Hotel so decided to eat here. It was clear that the restaurant is part of a chain as everything is very professional. The menu has a vast choice. We had potato skins for starter - don't be misled, they are actually new potatoes boiled in their skins, a huge portion. For main we had the pork fillet which was one of the best pieces of pork we have had in Cyprus and the stuffed sardines which were beautiful. The house wine was fine. The service throughout was excellent, the staff were knowledgable and helpful. The price was very reasonable. Would definitely recommend this place, it is really different from the normal Cyprus taverna.",To Elliniko Ouzomezedopoleio,Review 167 Similarity,0.446303699,Review 20 Similarity,0.40824829
