r_points,r_text,place,,,,
50,"I spent three nights in this hotel with my friends. Accommodation was amazing, rooms are very clean, staff are very friendly and never hesitate to help in anything you need.Beside the accommodation, the hotel is a walking distance far from the down town where you can find all the restaurants and shopping centers.In case you have to visit Nicosia i strongly recommend this hotel.",Altius Boutique Hotel,Review 168 Similarity,0,Review 163 Similarity,1
50,"I stayed one week in Altius Boutique in April 2015.The rooms are great, beds are comfortable and toilet is very clean. I was having almost all meals in the hotel and they were very tastefull. Still, by far the best thing in this hotel were people working in it.I had great time in Altius and I'm sure I will be back there again.",Altius Boutique Hotel,Review 121 Similarity,0.242535625,Review 68 Similarity,0.500979433
50,"Altius is a relatively small hotel within easy walking distance of the pedestrianized part of Greek Nicosia. A professional and very welcoming staff greeted me as if I was an old friend. Good shower, clean room, bountiful breakfast and a quiet lounge and bar to gather ones thoughts. I will stay there again.",Altius Boutique Hotel,Review 61 Similarity,0.474341649,Review 5 Similarity,0.489897949
50,"I really enjoyed my business stay at the Altius hotel.The conference room was perfectly equiped with everything needed for a 3-day workshop. Nice food, friendly and helfpul staff, very fine rooms (mine was with balcony). Highly recommended!",Altius Boutique Hotel,Review 74 Similarity,0.474341649,Review 6 Similarity,0.489897949
50,"Stayed in this hotel for a conference at the University of Nicosia in March 2015 and was pleasantly surprised. It is nothing fancy, but covers the needs of every business traveler. I especially appreciated the friendly attitude of the staff which was always ready to satisfy any request. I had to work on a paper late at night and they immediately provided me with the manager's desk (!) in a quiet room where I could work and print for as long as I wanted! They even brought me tea and coffee for free for as long as I worked! This is really excellent service. Many thanks.",Altius Boutique Hotel,Review 20 Similarity,0.316227766,Review 45 Similarity,0.489897949
30,A comfortable hotel with generous sized bedroom. It is an easy 20 minute walk to the old town where there are many shops and restaurants to cater for all tastes. The car park is small but there is plenty of on-road parking.The buffet style breakfast was comprehensive with good service. This is an average run of the mill hotel for Cyprus.,Altius Boutique Hotel,Review 50 Similarity,0.158113883,Review 94 Similarity,0.489897949
30,"Staff 5/5 - Friendly and very accommodating. Speak fluent English like most people in Cyprus.Bed 4/5 - soft and comfortable. Pillows are on the thin and hard side.Room 2/5 - spacious enough, no mini-bar to store stuff, clean, but not luxurious. There was a nail coming out of a bathroom tile - a potential danger. Poor noise isolation so you can hear neighbours. That said, they weren't a bother and I slept well, but it's potentially a problem. Despite booking.com stating I'd have a double bed, I ended up with a single bed, though it was big enough.Shower 3/5. Bathtub + shower (I prefer cabins). Weak water pressure, but plenty of hot water.Internet 2/5 - fast when it works, but drops every few minutes - very frustrating to use. If you rely on it, this is a potential deal-breaker.Food 3/5 - breakfast was simple but nice with good coffee. Very limited menu for evening food, but ordering out is easy.Location 4/5 - quite central, but city centre and old town are just out of walking distance. There's nothing within the immediate vicinity however. The area is quiet, and there's a mini-market right next door. Bus stop is close and taxis are affordable. Speak with hotel before arrival if you want help with airport transport - there's a cheap minibus which will take you there directly.Overall impressions:If you can get a good price, I'd recommend the place. I'd say it would be better value if they fixed the bathroom nail, water pressure and Internet (which should have been done as these aren't expensive investments). It would be a great place worth if they sorted the noise isolation, though that would be quite costly so I can't see that happening.It's far from perfect, but I had a pleasant stay and would stay again for the right price. If you want some place with a little more quality, The Classic Hotel is a better option.",Altius Boutique Hotel,Review 139 Similarity,0.283473355,Review 56 Similarity,0.487950036
20,"A 3 star Hotel that locals are proud of it and regard it as an underprivileged. The fascilities are representatives of a good 3 star Hotel, but till there! No more! Even though, the service level is lower than the expectations! As a customer, I wittnesed the supervisor-recepionist-""welcome girl"" making serious and extended warnings to a waitress because she did not use a kind of paper for its proper use, or something like that. The majority of the stuff showed professionalism and warmth! Even though it fascilitates mostly bussiness trips, the WiFi is unacceptable, not even for Social media use. The food was really boring and the ingredients were of low quality. Avoid having lunch or dinner there because it is sure that you will taste food wine and beer bought from the cheapest German super market of the area! They use funny music at the loby area, they try to put on classic and timeless music in many different countries. On the bright side, the beds are GREAT, and the rooms are nice and spacious. The location is not central but not far from it.",Altius Boutique Hotel,Review 29 Similarity,0.129099445,Review 115 Similarity,0.466666667
50,"Super hotel for team........ Great place,near by center. Everybody have a great attitude for clients and great wishes for everybody after visiting! I think one of the greatest things at your hotel is your staff and director with his all good comments! We Wish you luck and happy new 2016year!",Altius Boutique Hotel,Review 63 Similarity,0,Review 139 Similarity,0.466666667
50,"Very nice hotel. Nice environment, friendly staff, nice service. Free WiFi. Congratulations to chef the breakfast was amazing. Excellent room. It's a modern hotel that makes you feel enthusiastic from the time you get into it. Very clean room with all the facilities. I' very happy I will come again.",Altius Boutique Hotel,Review 87 Similarity,0.3,Review 52 Similarity,0.464758002
