r_points,r_text,place,,
50,"Dear friends, Back again after a short while this time. Still out of this world. There steak was delightful, along with the rest. Will most definitely return. Thanks Costas.",Vino Cultura,Review 1 Similarity,0
50,Visited when they had a wine tasting event with Greek wines followed by a dinner for which booking was required and I was thrilled. The wine tasting event was wonderfully organized and everyone was kind and willing to help. Also wines could be found at very good prices during the event. The dinner was just superb and only for 30 euro per person. Lived everything in the set menu but the ravioli and the bon-filet were simply amazing!,Vino Cultura,Review 8 Similarity,1
50,Very nice place for wine and quite dinner with friends or business associates. The staff is quite helpful. The shop has a great variety of wines,Vino Cultura,Review 96 Similarity,0.503952631
40,The wine-bar is always very busy and crowded and the table arrangement is not ideal. The food is good. The wine list is very long. The service is so-so. Prices are from medium to high.,Vino Cultura,Review 32 Similarity,0.502518908
30,"Quite a nice, elegant place for a glass of wine and something on the side. I expected a bit more in terms of the food, since the taste and the freshness was not corresponding to the price. For wine and cold plates, it is a very good place. For an exceptional dinner it needs a few more touches",Vino Cultura,Review 127 Similarity,0.502518908
40,"If you like drinking wine with a good company then this is the place you should go with your friends. Cozy atmosphere, low lighting with a great selection of wines are the factors that make this place a must.",Vino Cultura,Review 207 Similarity,0.502518908
50,"After a long time, we decided to share a bottle of wine on an outing instead of home. We chose Vino Cultura for our visit. We ordered a bottle of wine and 2-3 tapas to share. Unfortunately one of the tapas was not served hot and therefore we complaint to the waiter. Immediately the waiter escalated this to the manager that insisted of serving something else. He did not give any excuses or justifications but he gave attention to customer care. In addition, they served us two more glasses of wine, and therefore made our evening even better.I don't remember ever a cypriot bar/restaurant manager that took so much attention to rectifying a situation than to make excuses for it.Very professional, excellent approach! We will definitely revisit.",Vino Cultura,Review 177 Similarity,0.5
50,"Very busy place so book way ahead in advance Good selection of wines ,the stuff are quite professional, fast in serving and well informed of menu",Vino Cultura,Review 194 Similarity,0.5
50,This is a consistently great place with an extensive wine list and a very well chosen (and seasonally changing) tapas menu.The owners are always on site and they have built up a loyal clientele based on excellent service and friendly staff.The décor is very tasteful and part of the establishment is a wine cellar where tastings are frequently organisedThey have live jazz some nights but the piped music is also very tasteful and loungy.This is a very good for anyone who enjoys great wine in a casual but smart environment.,Vino Cultura,Review 110 Similarity,0.497468338
40,Very good choices of wine and nice finger food.Just be aware that if you are looking for a place to have a “normal” dinner (I mean in quantity and choice) this is not the place. You go here for enjoying good wine accompanied with good choice of finger/tapas food.,Vino Cultura,Review 16 Similarity,0.486533633
50,Nice place Good atmosphere Great selection of wines Good food Overall experience must say that it's great but do expect to pay a bit more than the usual wine bar.,Vino Cultura,Review 129 Similarity,0.48507125
40,A variety of good wines to choose. Food is nice but a little bit overpriced. Good service. On a Thursday you can also enjoy a live jazz band.,Vino Cultura,Review 85 Similarity,0.471404521
40,"Great dishes for all tastes. Bit expensive. Great wines! When we went there was a lady singing live jazz accompanied by a piano. Wine, food and music blended perfectly!",Vino Cultura,Review 151 Similarity,0.471404521
50,Maybe the most authentic place for wine situated in Nicosia. Their huge variety of wines and their unique food plates will amazed everyone who thrives for quality. I strongly recommend this place!,Vino Cultura,Review 165 Similarity,0.471404521
50,The tapas in this place are exceptional made from the very best ingredients. The wine list is extensive since they import their wine from all over the world. A must !!,Vino Cultura,Review 201 Similarity,0.471404521
50,"Excellent service, wide range of wine list, and very nice food. The night we visited it had live jazz band, just the right music , to enjoy a good class (or bottle) of wine",Vino Cultura,Review 30 Similarity,0.462250164
40,"I have been going to this place for years.It’s a great wine bar... Prices are on the upper end especially food wise. The large cheese platter is a bit of a joke... if you breath in too hard, the cheese is gone before your friends could have a piece.Wine selection is one of the best in Cyprus.Idea to the owner:Would be great to have like a VIP wine club card were you would get invited to special tastings and gets special discounts etc.",Vino Cultura,Review 76 Similarity,0.458831468
50,Very cool place to enjoy a glass of wine with a cheese platter or a selection of tapas. The food and cheese platter were very tasty and the wine list very extensive and very reasonably priced. A very nice wine bar in Nicosia.,Vino Cultura,Review 186 Similarity,0.458831468
