r_points,r_text,place
50,"We stayed for 2 days at the swallow boutique hotel and we really loved it. The location is amazing and it's very easy to reach the city center. The boarder is also very near, if you want to visit the greek side of Nicosia.Our host took really good care of us. She even upgraded our room, gave us very helpful information about the city and nice places to visit and serverd us an outstanding & very delicious, typical cyprus breakfast.The room was as lovely as the time we spend there.We want to thank our host for the amazing stay and are looking forward to visit this beautiful oasis - situated in the middel of Nicosias everyday people - again.All in one we highly recommend the swallow boutique hotel!Lots of Love,Sarai & Raphael",Cypriot Swallow Boutique Hotel
50,"When going to Nicosia, I do not think twice as to where I want to stay.Location is perfect amid of Nicosia and close to the bus terminal. Rooms are clean. The house is well decorated and relaxing.Birgul, the house owner, is a superhost!",Cypriot Swallow Boutique Hotel
50,Beatıfull clean rooms reasoble price per Day helpfull stafff one of the Best for us we felt wery comfortable breakfast everyday fresh and tasty empoloyers made us felt lıke we are at Home we wıll recomend for ourfrıends Who wısıt cyprus in future greetıngs all the Best wıshessxxx,Cypriot Swallow Boutique Hotel
40,Situated in a local neighborhood. Cozy (small) clean rooms with modern bathrooms. Pleasant atmosphere with a courtyard and delicious breakfast. Excellent WiFi although limited electrical outliets for charging devices. It has many maps and brochures for Northern Cyprus available at reception. English is exremely limited and the assistant isn’t knowledgable about visiting sites or public transportation.Note: The location can be difficult to find. I did not have a SIM card for this Cyprus area and my printed Google Map got me lost. I am attaching a map photo to help if you are walking from the Green Line.,Cypriot Swallow Boutique Hotel
50,"My wife and I must have stayed at the Swallow Boutique hotel 4 or 5 times now. We have done so with friends, with family, and just the two of us. We have also travelled to it, both by car and on foot having crossed at the Ledras Street crossing.Every time has been a really personalised experience. On an island crammed full of massive resort-style hotels, there are few places that give a really traditional and intimate experience. The Swallow really is one of those that does. It is a very good place to stay for exploring both sides of Nicosia.Special mention must go to the breakfasts, which are some of the finest I've had in Cyprus.I am 100% certain that the next time we are in Nicosia for a weekend getaway, it will be the Swallow we stay with again.",Cypriot Swallow Boutique Hotel
50,"Cypriot Swallow Hotel is situated in a superbly renovated building and has 3 rooms that open onto an internal courtyard. The whole interior is bright and cheerful, it has been charmingly decorated, is full of plants and interesting objects and feels very homely. The whole hotel was spotlessly clean. We had the Bougainvillea room - the room itself was not huge but there was a good sized wardrobe and drawers and we also had a small private entrance lobby which gave us quite a bit of extra space. There was a fridge, kettle air con, hairdryer etc - everything you need. The double bed was comfortable and the wifi was good. The bathroom was well equipped and plenty of hot water in the shower. There was a little noise from the street during the evening but it stopped about midnight and didn’t cause us any problems. Service was good although we only met one member of staff - Dudu gave us a great welcome, plenty of advice, and helped us find a parking space for the hire car. There was no private parking and we had to park a couple of streets away so were sllightly worried about the hire but everything was fine. It was no problem to leave our luggage for a few hours after check out and come back for it later. The breakfast was amazing - a traditional Cypriot array of different cheeses, jams etc which were all freshly prepared and we could choose what time we wanted it. It is served in the courtyard if the weather is good or in the inside breakfast room if not. Location is good - it is inside the city walls in the northern Turkish part of Lefkosa; 3 minutes walk from Kyrenia Gate, and is close to the historical centre and the main attractions. It is close enough to the Ledra Street border crossing to walk even with a lot of luggage. It is easy to find when driving as long as you have a good map. Other people have complained about the area but we did not have a problem with it, it was poor but old and authentic and the people were friendly. The price was more than we normally pay but comparable with other properties so no complaint. We only spent one night here as a stopover before crossing to the south for the second half of our trip but would love to come back and spend longer another time.",Cypriot Swallow Boutique Hotel
40,very clean room & very friendly front desk. We stayed there 2 nights. It locates nearby old town with walking distance. Hotel owner helped with all the requests we had. Excellent experience for our stay.,Cypriot Swallow Boutique Hotel
40,"First please do not be put off by a recent Belgium reviewer because I find it incredible that anyone booking a hotel in N.Cyprus could be unaware of the turbulent history of Cyprus which has resulted in this divided island. Secondly I do not think it is unreasonable for any hotel anywhere to not refund for a booking if the booking is cancelled on the day of arrival and I think that the delightful owners had every right to do so.When we arrived in the area we were a little apprehensive because it really is in downtown N.Nicosia but when we turned the corner there was the hotel looking just like the photographs. We were assured that our hire car would be quite safe and it was. We were greeted by very friendly lady who served us with a very welcome cup of tea ( no alcohol served on premises ). I believe there are only 3 or 4 rooms in hotel and we were given the Jasmine room. Nice size with fridge & tea making facilities. Bathroom good size too but beware of door stopper sticking. Only complaint was because of the heat a sheet rather than duvet would have been more suitable and, as is quite common abroad, there wasn't a plug in washbasin. The aircon is quiet enough to leave on during the night. There is a lovely courtyard where smokers can imbibe, not so good to sit in if you don't. Breakfast is traditional Turkish and most people would find something that they would like, breakfast can also be requested to be served at particular times. If we stay in the area again we would certainly stay here because, although it is in a poor area, we felt quite safe and everybody we met showed us such friendliness.",Cypriot Swallow Boutique Hotel
50,We had a lovely holiday in this sweet boutique hotel. The hospitality that they showed us was amazing. They arranged our pickup from the airport and try to help us with our every need. The breakfast was varied and traditional we didnt need much to eat afterwards during the day until late afternoon. This boutique hotel is definitely on our checklist next time we visit cyprus.,Cypriot Swallow Boutique Hotel
50,"We had a lovely time in this sweet boutique hotel. The breakfast was really delicious and homemade. It reflected the hospitality of cyprus we heard so much of. The boutique hotel was in the heart of Nicosia so it was easy to walk everywhere. The owner Birgul was very friendly and warm towards us, she arranged us shuttle service from the airport and took care of all our transportind needs. We definitely plan on staying here next time we visit cyprus",Cypriot Swallow Boutique Hotel
