r_points,r_text,place
50,Place is not bad but it's disappointment because it is very Small and you can't see different or fantastic items.Only this gate's landscape is very nice exactly.Sea and mountain but I think you need to go in summer,Kyrenia Gate
40,"The North Nicosia Tourist Info Office is located inside of the Kyrenia Gate. Walking tours start here but when I asked about the free walking tour that they sponsored, the staff knew knothing about it. But they gave me a map and I took my own walking tour of North Nicosia",Kyrenia Gate
40,"The Kyrenia Gate (it may be noted as the Girne Gate) is one of three entrances which were built into the historic Venetian walls which enclosed the old City of Nicosia. It’s located in the northern part of walled quarter of Lefkoşa, the Turkish occupied part of Nicosia. The other two gates are the Paphos Gate at the western end of Lefkosia, and the Famagusta Gate at the eastern end of Lefkosia. I have reviewed each separately, as they all warrant a visit in their own right, for different reasons.It's a little squarish, squat construction, built between 1562 and 1567 from stones of the former medieval wall which the Venetian walls replaced. The little square tower on top, and the dome, were added in 1821. There's a stone panel on the building which records the date of its construction, and also a table inscribed with some verses from the Quran.It was a part of the continuim of the Venetian wall, until the British demolished sections of the wall around it in 1931 to facilitate the flow of traffic. What a shame, as the gate now stands isolated in the middle of a dual carriageway. The surrounding space has a number of significant statues, and is a bit of a focal point for gatherings and political rallies.Today, the gate is put to use as the Tourist Office of Nicosia Turkish Municipality. It was thus named as from this point the road led north-east up to Kryenia (now Girne).It's very pleasing to the eye, and looked beautifully grand in the afternoon sunlight, with the trees behind and the mountains beyond. It's certainly worth a visit if architecture and local history is of interest to you - that's why I went. If you are visiting Lefkoşa (the norther quarter of Nicosia) from the south, you'll need to head north from the Ledra Street Crossing, through Ataturk Square, and along Girne Caddesi to the gate. That's an easy 20 minute walk.I really appreciated this little corner of the history of Cyprus.",Kyrenia Gate
40,"Another old tourist attraction. No need to spend much time here but you can enjoy the nice restaurant near by, The Iskemleci.",Kyrenia Gate
20,The northern main entrance to Nicosia with its ancient Gate intact and preserved. Okay for a photo opportunity but nothing else,Kyrenia Gate
40,Having passed through the checkpoint Kyrenia gate is where you can pick up the buses to travel into the Turkish side of the island.The tourist information is inside the gate. There are a few restaurants near here serving local food.,Kyrenia Gate
40,"North Nicosia is in my view a more interesting place to visit than the south. To get to this gate we walked through a series of streets and lanes which showed us the other side of Nicosia. Buildings in disrepair, streets untrodden by tourists and an obvious lack of money. However the gate itself is beautiful as are the city walls. These are well preserved with a pretty municipal garden in the moat. Such s lot of history with that gate as well.",Kyrenia Gate
40,Situated in the Turkish side of Nicosia once you reach this monument you’ll feel like your in one of Turkey’s provinces 100% and that was a feeling I’ve loved. The building has a tourist information point and its well preserved. Minutes before you reach the gate on your right there’s a mevlana museum check it out.,Kyrenia Gate
40,"Situated in the North part of Nicosia, this Gate hosts the tourist info office. It's also from there that the buses to Kyrenia depart. We came from Nicosia South to see what it looked like but we did not like the neighborhood at all. It's dirty (the only place in Cyprus where we found that it wasn't clean), polluted and not very pleasant to walk through, in comparison with all the other parts of the city. That being said, the Gate itself is very well preserved and nice!",Kyrenia Gate
40,The gate is well preserved and houses the tourist information office. Buses to Girne/ Kyrenia depart from just outside here. The area around the gate is quite tatty but does feature some interesting old architecture. Suggested walks are marked with coloured lines on the streets....but some disappear en route!,Kyrenia Gate
