r_points,r_text,place,,
40,"Great collection of paintings and artifacts from the Leventis family, a famous Cypriot trading family - mainly Africa.",A G Leventis Gallery,Review 1 Similarity,0.346410162
50,"We really enjoyed the Cypriot collection and were keen to view. The Greek art too was very interesting. The Leventi also has a European collection of art with many impressionist paintingsThe gallery is a beautiful modern space down town. We had a coffee but would love to had dinner in their restaurant But night it was not open todayThe location is down town and easy to get to, we walked from our hotel.We also visited the Leventi museum a 5 min walk away in the old town",A G Leventis Gallery,Review 14 Similarity,1
50,"A stone's throw away from the old city centre, this lovely relatively new entry in the cultural scene of Nicosia, hosts permanent as well as temporary exhibitions. A visionary, Anastasios Leventis, donated valuable works of art to be included In the permanent collection at the Museum. Among the exhibits there are important paintings of Cypriot artist but also of internationally acclaimed painters such as El Greco, Monet and Signac. Make sure to include it in your sightseeing plans when in Nicosia!",A G Leventis Gallery,Review 93 Similarity,0.489897949
50,"It was about time Nicosia got its own international standards art gallery. Beautifully designed and laid-out, with truly magnificent pieces of art, the Leventis Gallery is a must for every visitor of the 1000 year-old capital.",A G Leventis Gallery,Review 105 Similarity,0.489897949
50,"Great art, great events for kids - unmissable! The collections are very broad- from Greek and Cypriot painting to the Old masters - Canaletto to Chagall. There is a lot of digital technology to make things really easy-access for those of us who don't know that much about art - plus a digital wall when you go in so you can pick your way to what you want to see. Sculptural lights by Michael Anastassiades and Louis Xv furniture if you are into design design. Overall fun, very kids friendly - highly recommended.",A G Leventis Gallery,Review 134 Similarity,0.489897949
50,Visited the gallery on recommendation by a local friend. Worth the three hours I spent there. The collection is varied with paintings from different periods. On exhibit is also a collection of period pieces of porcelain.,A G Leventis Gallery,Review 15 Similarity,0.487950036
50,"A wonderful art gallery with Cypriot artists and famous artists around the world from a personal collection of Mr. Leventi. It is very cheap to enter and worth the visit, a beautiful modern building and a very nice souvenir shop. It will be a pleasant afternoon experience for someone visiting Nicosia. There is always a new expedition that changes every month, also there are frequent events for kids.",A G Leventis Gallery,Review 146 Similarity,0.483045892
50,"We visited Leventis Gallery,that is of great standards, in June for only 2 euro per person.The building is very modern and has all facilities a Gallery must have. All collections, Greek, Cyprus and French are interesting but the French collection is the best, I liked it a lot. After our tour we had coffee at the café of the Gallery that is very nice.There is also a shop for those who are interested about paintings.Worthwhile to be visited by everyone.",A G Leventis Gallery,Review 177 Similarity,0.473879102
40,"Visited in September and were the only people in the gallery. It meant we had a guard each as we walked around - they were very attentive!! Good selection across 3 floors, Cypriot art is worth seeing as it is not often you see it. Lovely building also.",A G Leventis Gallery,Review 43 Similarity,0.461880215
50,"The collection is not very large, compared with others in large European or American metropoles.However, it is very well organized, with English-language detailed explanations.The collection is hosted in a modern building, that is well adapted for its purposes.Well worth one hour or so that the visit takes.",A G Leventis Gallery,Review 119 Similarity,0.456435465
50,"On my last two visits to Nicosia I visited the Leventis Gallery.Outstanding collection of European paintings with a lots of surprises. The Greek Cypriot rooms I particularly enjoyed.The whole exhibition space is extremely well mounted and would not look out of place in NY, London or Paris.An absolute must visit.",A G Leventis Gallery,Review 133 Similarity,0.456435465
50,"What I most enjoyed about this museum is the extensive collection of Cypriot (and Greek) artists. You realise that for an Island so small, there have been more than a few world class artists",A G Leventis Gallery,Review 164 Similarity,0.456435465
50,"A very interesting place, many good exhibits to see and admire, three floors full of history, a great collection in general..",A G Leventis Gallery,Review 38 Similarity,0.447213595
40,The museum tells the history of Nicosia. There are a lot of traditional costumes and a large collection of postcards,A G Leventis Gallery,Review 85 Similarity,0.447213595
50,Beautiful gallery... love the space...strongly suggest you start at the top and work your way to the bottom... loved mostly Cyprus art.... and do not miss having lunch at their trendy cafe/bistro you will enjoy every bite.,A G Leventis Gallery,Review 138 Similarity,0.447213595
50,"Firstly, this gallery is not listed on the standard tourist map provided by hotels. It is easy to find - leave the bus station by the Dionysios Solomos Statue entrance. With the bus station behind you cross the road (there's a light controlled crossing). Keep going straight and you are in AG Leventis Street (formerly Leonidou Street). The AG Leventis Gallery is on the right less than 100m along the road. It is just round a bend and back from the road so not visible from the street entrance.The building itself is stunning from the outside and spacious, light and airy inside.The entrance fee is an incredibly low 2Eur. I also opted for the audio guide for an extra 3Eur. It was well worth the money. The system worked perfectly and allows you to go at your own pace. The information provided is excellent.The reception and security staff are friendly and helpful.As for the collection - all I can say is go to see it. Fabulous, superb. One very unusual aspect is that you can get close enough to the artwork to see the brushwork. Also, there are white glass panels with silver buttons at the side - the art that requires special care is hung there. Press the button and the glass slides open to allow viewing. It then closes automatically.The cafe is pleasant and not overly expensive. The outside area benefits from shade and shelter from the wind.Highly recommended to while away a few hours. Not recommended for small children.",A G Leventis Gallery,Review 161 Similarity,0.447213595
50,"Incredible Gallery. Even if you don't know anything about art, the ""automated guides"" will help you to learn many things about the many different culrtures that are represented in the paintings! Some of them are very famous!",A G Leventis Gallery,Review 181 Similarity,0.447213595
30,at the ground floor there is a very big painting of Diamandis cypriot painter interesting named the wold of cyprus.upstairs there are paintings of europian artists THere is one Elgreco The building is very modern and according to my oppinion not suitable for a gallery.The entrance fee is cheep but the restaurant expensive,A G Leventis Gallery,Review 77 Similarity,0.430331483
50,"New gallery which opened in Nicosia a couple of years ago. Easy to find, near Solomou bus station in city centre. Beautiful,building ,fantastic archetures .The collections are art and exhibitions from the Leventis foundation and their own private collections. Fabulous period furniture , fro. Paris. Avenue Foche, old masters paintings, also have other exhibitions. I feel that the department For the 'souvenir, are very overpriced , however I visited on Museum day in May, and bought two books on Cypriot history for ten euros each , instead of probably 25. Nice trendy cafe , nouvelle cuisine ! Again expensive , snacks food .",A G Leventis Gallery,Review 104 Similarity,0.430331483
40,"At the time of visit, I was the only visitor. It felt a little bit strange, but I enjoyed the rich collection from Mr. Leventis in a new modern museum building. It is a compact museum and I spent about 1,5 h for only 2 euros",A G Leventis Gallery,Review 157 Similarity,0.430331483
50,"The gallery is located in the heart of Nicosia, capital of Cyprus. It's a new gallery so it's has been purpose built , using the latest technology for exhibiting the paintings. Engravings or other sensitive pieces of art, are in concealed placards which become visible when pressing a button.The gallery hosts art by the best known Cypriot artists including the painting "" The world of Cyprus "" by Diamantis. Apart from Cypriot artists it even hosts one painting by El Greco . Visiting the gallery is a lovely way to spend some time in Nicosia , specially during the hot summer months .",A G Leventis Gallery,Review 102 Similarity,0.42447636
50,Big collection of paintings and artefacts from European and local artists. The collection is impressive and is of the same level as other main european galleries,A G Leventis Gallery,Review 9 Similarity,0.421637021
50,"If you are a lover of art, you will enjoy every piece of art from local and international artists.A must go place in Nicosia",A G Leventis Gallery,Review 30 Similarity,0.421637021
50,"If you are in Nicosia and an art lover, you MUST visit this place. The entrance fee is ok, for the art selection you are seeing.",A G Leventis Gallery,Review 50 Similarity,0.421637021
50,"I was surprised to find this gallery in the heart of nicosia, it has been at least a year since I was here. This is what you call an unexpected discovery, one that is so hard to find in this city. The overall experience is five stars. Three collections, divided in three floors, my favourite being the french collection, in the second floor. I really wish the best for keeping up with such a precious heritage. Now some recommendations that were a bit bothering: guards are all over the place and come really close to the visitors creating a strangely annoying atmosphere. In all museums they remain discreetly present and do not come all over the place. Secondly the lady in the ground floor responsible for selling souvenirs from the gallery is totally rude. Two or three times she advised us not to touch the items, ok we got that in the first place but...hey chill out, you are not guarding thieves here...someone else is responsible I guess...anyway the staff should a bit more polite, especially in the reception area. Thanks",A G Leventis Gallery,Review 163 Similarity,0.421637021
50,"Has a striking range of collections including outstanding paintings, watercolors, prints and drawings from European masters (El Greco, Monet, Renoir and may more) and works from Greek and Cypriot artists. Also a small collection of furniture and objects from the decorative arts.The building is new and the interior spaces are well designed with emphasis on functionality.",A G Leventis Gallery,Review 175 Similarity,0.421637021
50,"I had some friends visiting Cyprus from Heraklion ,Crete. As the wife of my dear friend Androulakis teaches art and at the same time she is a professional artistic photographer organizing very interesting exhibitions primarily in Greece The Leventis Gallery was the obvious spot to visit. We were so impressed as at that time the gallery was hosting an exhibition of two foreign artists that we could not believe that Nicosia has such a gem in the centre of the town. In short I can suggest that it is worth visiting Cyprus only for this exhibition centre to see the collections of paintings kept there. The entrance fee is five euros and for art lovers this should be a reveleation",A G Leventis Gallery,Review 62 Similarity,0.414644214
50,"Nicosia needed something as unique as the A.G. Leventis Gallery. Whether living in Cyprus or just visiting it is worthwhile spending some hours there.The Gallery is open every day except Tuesday 10:00-17:00 | Wednesday 10:00-22:00. It has three main galleries (greek, french and cypriot collections) but you also see fine chinese porcelain and other displays offering a rich cultural ""bath"" !There is also a very good restaurant with excellent service where one can eat or just relax with a cup of coffee. Most reasonable prices and a unique menu.http://www.leventisgallery.org/",A G Leventis Gallery,Review 184 Similarity,0.40824829
50,"The Leventis Gallery was a highlight of our visit to Nicosia. The Gallery's Greek, Paris and Cyprus Collections have excellent old-master paintings, modern paintings and other art works. The Gallery's notes on the artworks are well written and informative.",A G Leventis Gallery,Review 16 Similarity,0.404145188
50,Very impressive art gallery.The building is very nice with interesting exhibitions.The staff is helpful .Worth the visit.,A G Leventis Gallery,Review 18 Similarity,0.390360029
50,The Leventis Gallery is a must see for every art lover visiting Nicosia. Expect to spend 2-3 hours inside the gallery.,A G Leventis Gallery,Review 47 Similarity,0.390360029
40,"Beautiful building and great collection, and the museum restaurant is excellent. Well worth a visit.",A G Leventis Gallery,Review 182 Similarity,0.390360029
50,"It is a ""small"" museum but veeery interesting. Graphic, modern and comfortable, you can quickly and easily enjoy all its exhibits and learn about the history of Cyprus. Strongly recommended.",A G Leventis Gallery,Review 11 Similarity,0.387298335
40,A more fresh approach to exhibiting art that what Cyprus was used to so far. A notable Gallery showing events and artists unprecedented by past exhibitions.,A G Leventis Gallery,Review 25 Similarity,0.387298335
50,"A rather recently built museum, beautiful painting of Cypriot and Greek artists.One of the best museums in town!",A G Leventis Gallery,Review 49 Similarity,0.387298335
50,It has free access to the public and includes the entire collection of the Leventis projects. Great and very interesting opens its doors to visitors to admire this the legacy,A G Leventis Gallery,Review 113 Similarity,0.387298335
50,Great to have a state of the arts gallery on our doorstep at last! Interesting for both locals and visitors alike. Lovely cafe and museum shop on ground floor,A G Leventis Gallery,Review 144 Similarity,0.387298335
50,"Very new museum, artefacts range from Medieval to impressionism, from France to Greece. An interesting and quiet oasis in the middle of the noisy town.",A G Leventis Gallery,Review 4 Similarity,0.365148372
40,Would have chosen a different gallery but it was closed on a Monday so visited this one. Interesting exhibition with Henry Moore overtones. Good for a couple of hours.,A G Leventis Gallery,Review 35 Similarity,0.365148372
50,"A place of selective character,quality of its kind as its was the inspiration of the founder LEVENTIS.There are 3 floors and On each floor you will find its own theme of collection with unique and very valuable pieces.",A G Leventis Gallery,Review 36 Similarity,0.365148372
50,This is a museum not to be missed while in Cyprus. Art and paintings from Cyprus and Europe. Lovely shop and restaurant as well.,A G Leventis Gallery,Review 94 Similarity,0.365148372
50,"Excellent place with culture and very important works of art displayed!!! Centrally located, with great architecture and interior design!!!",A G Leventis Gallery,Review 107 Similarity,0.365148372
50,An amazing collection of paintings and artifacts presented in sucha beautiful manner you want to spend your whole day there.,A G Leventis Gallery,Review 166 Similarity,0.365148372
40,"This museum is in old town Nicosia along the main shopping areas. It is open every day from 10am - 5pm except Tuesdays and National holidays. There is no entry fee. Levants Gallery has four floors. The top floor is dedicated mostly to an exhibit of wedding dresses, which may not interest everyone (Nicosia is a popular wedding location). The other floors have exhibits with a scattering of maps, artifacts, photos videos and other items representing the various time periods of the island's history and development. There is a small gift shop and one can either take the elevator or stairs to each floor. There is one small area with children's activities and there is an interactive video with interesting film clips and photos documenting the island's history. The Leventis Gallery would be a great place to tuck into to wait out a storm, in either really hot or really cold weather, or before/after a meal at a local restaurant.",A G Leventis Gallery,Review 60 Similarity,0.358057437
40,First time that I have been extremely impressed with the write up but much less so with the collection itself. Found only a few of the paintings to be outstanding work by the artists or particularly moving: the Cypriot section being a notable exception. The descriptive material was informative and easily understandable. Building itself is beautiful- but relatively small exhibit space. 5 euro ( 4 for seniors ) admission admission seemed excessive,A G Leventis Gallery,Review 3 Similarity,0.346410162
50,"This is a must-visit for anyone visiting Nicosia, especially since its collection of artwork in unrivaled in the capital city (and in the whole of Cyprus). A beacon of culture since it opened. The cafe/restaurant in it is also recommended",A G Leventis Gallery,Review 23 Similarity,0.346410162
40,"A must see visit for art fans that are in Nicosia. Been there several times. Has local artists, Greek and world renown painters like Monet...You will not regret it",A G Leventis Gallery,Review 70 Similarity,0.346410162
50,In the center of Nicosia a quiet place for art. Is anew building with modern ideas and of course very good paints and exhibition. You can visit it with groups or private at normal working hours.,A G Leventis Gallery,Review 71 Similarity,0.346410162
40,"This is a very pleasant place to visit. In addition to Cypriot Art, artists from Greece are also covered.In addition there is an important selection from Renaissance and occasionally special events and exhibitions are covered.You can also spent a relaxing time afterwards for coffee or o light meal.It is worth visiting and the cost is so low.",A G Leventis Gallery,Review 129 Similarity,0.346410162
40,"Nice Location, A lot of great paintings, i particularly loved the cypriot artitsts collection and the huge painting of Michail Kashialos.",A G Leventis Gallery,Review 159 Similarity,0.346410162
40,"I believe it is the best collection of Cypriot artists in Cyprus. Nice and easy to visit if you have 2-3 of hours to spare in Nicosia. The original Adamantios Diamantis work of art that describes in detail how Cyprus was 40-50 years ago is found in the ground floor. There is a nice cafeteria in the ground floor,",A G Leventis Gallery,Review 56 Similarity,0.34503278
50,"A cultural, spiritual and mouth-watering experience. The first time I visited the gallery was one of the first weeks that opened and I had a blast. Some of El Greco's works were there and the most amazing paintings were the ones from Cypriot artist, depicting the life on the island 50 years ago. The second time I visited was exclusively for the restaurant. Amazing food, great service and a spectacular feeling to dine at the best gallery Cyprus has had",A G Leventis Gallery,Review 58 Similarity,0.344265186
50,Expanding the permanent collection would be great! Nonetheless the gallery has beautiful works of arts. A great building in the heart of Nicosia just outside the old town. The temporary exhibitions are always exciting!!! You can always check the museum's website to see what's on!,A G Leventis Gallery,Review 139 Similarity,0.344265186
40,"we visited this galery with my family. you have the chance to know Cypriot artists. you can also see paintings from famous european painters, and a great collection of the personal belongings Leventis.",A G Leventis Gallery,Review 32 Similarity,0.316227766
50,this is an excellent gallery were some of the most important Cypriot artists are in display. don't miss the adamantios diamantis painting on the ground floor. also the cafe of the gallery is exceptional and offers some of the best desserts in town.,A G Leventis Gallery,Review 147 Similarity,0.316227766
