r_points,r_text,place
50,"Located just besides Selimiye mosque (former Cathedral of Saint Sophia), originally Saint Nicholas church, converted to mosque and its parts were used as market place. Now it host cultural centre with shows and performances, especially dancing dervishes.Architecturally, it is a stunning building too.",Bedestan Church and Mosque
50,"The building is not that special, though rich in religious history. Currently under renovation which is pleasing. We went to experience a short demonstration of whirling dervishes who spun round wuite fast whilst praying. Quite a spectacle if you can see them. Lasts about 10 minutes. We were on a guided tour so not sure if you would have to pay.",Bedestan Church and Mosque
40,These days the place is used mainly for events such as weddings and other ceremonies. Located in the old town Nicosia,Bedestan Church and Mosque
30,"It's a nice place to visit and a must see if you're in Nicosia, sadly this was a former church which has been converted into a mosque, so the interior is not worth seeing but from the outside it looks beautiful.",Bedestan Church and Mosque
40,"If you are in the area is interesting to go and see it. This is another church converted in mosque, where they are practising dervish dance.",Bedestan Church and Mosque
40,"Another Christian -> Muslim conversion. Personally love the architectural changes. A pleasant, calm space.",Bedestan Church and Mosque
40,Church to Mosque conversion. Worth seeing what is retained as having value from one group to another. Worth checking out the craftsmanship of the stone masons and how the external form remains pretty much intact. Very relaxed and quiet inside and a place you can catch your breath from the huge amount of tourists in the area.,Bedestan Church and Mosque
30,"Formerly St Nicholas church. Fine decorative elements around the doors, etc. To be admired even if you don't attend the whirling dervishes performance.",Bedestan Church and Mosque
40,"You can visit the church, where the Whirling Dervish Performance happens! It is a beautiful construction and very easy to visit!",Bedestan Church and Mosque
40,Fascinating to watch the whirling dervishes of the Sufi sect of Islam going through their meditation ritual in the charismatic gowns. Followed by a brief conversation about the mystic poetry of Maulvi Jalaluddin Rumi,Bedestan Church and Mosque
40,"A beautiful conserved building, with performances by the dervishes for 7euros per person at 12, 2 and 5pm daily except sunday.",Bedestan Church and Mosque
40,This was an interesting experience. Meditative music and spinning young men performing this ritual dance.Forth of seeing.,Bedestan Church and Mosque
40,This attraction is now out of date on TripAdvisor as it is now only a church and hasn't been a mosque for some time. The mosque is next door and is called Selimiye. Once again the materials used in building this church were sandstone and photos from the outside are difficult as it's in a built up area so you're right on top of it. Venture around the rear of the building too as it has some nice architecture and arches but inside it is very plain.,Bedestan Church and Mosque
40,"Managed to get out timings right this time and managed to see the Whirling Dervishes. 2 male dancers performing their ritual meditation program. They observe the rituals first by saluting the red fur post representing their founder Hz Mevlana Caladeein Rumi Bn 1207. This is then followed by a brief meditation before the dancers start spinning around and around and around. How they do not fall over I don't know, I was dizzy watching them.Thoroughly recommend you visit and learn the history.",Bedestan Church and Mosque
50,"The architecture and details on the walls by the main entrance reminded me of Kolner Dom. Quite a piece of art. Feels strange to see it near a mosque, but well... history happens.",Bedestan Church and Mosque
