r_points,r_text,place,,,,
40,"Nice preserved building with courtyard and gallery with lots of artcraft shops. Friendly atmosphere. Good to sit down away from the tourists crowd, have a drink and a meal.",Buyuk Han,Review 54 Similarity,0.447213595,Review 28 Similarity,1
10,"There was nothing explaining the history of the building . There were a few souvenir shops (nothing interesting) . Spend no more than 5 minutes, take a couple of photos and leave.",Buyuk Han,Review 438 Similarity,0,Review 459 Similarity,1
20,I can tell it is a historical building by its appearance only. It is empty inside with only a few gift shops and a restaurant.,Buyuk Han,Review 449 Similarity,0,Review 463 Similarity,1
50,This building was use as a hotel for travellers in early days of Ottoman rule. Currently it is an attraction for those interested in hand-made goods and arts. At the enterance level there is one restaurant and one cafe/tea house. There are numerous shops that sell hand-made goods and artifacts.,Buyuk Han,Review 514 Similarity,0,Review 478 Similarity,1
30,"Most of the shops were closed due to it being Sunday lunchtime when we were there, but can imagine it being very nice on another day.Had a decent Turkish meal in the courtyard...although I am always weary of places where the menu has photographs of the food, it was not too bad and staff was nice.",Buyuk Han,Review 396 Similarity,0.365148372,Review 138 Similarity,0.5
50,"Beautiful place to visit, if visiting from south Cyprus you will have to go through the buffer zone to the Turkish side and will need your passport, also be prepared for long queues at the check points. The building is very interesting and atmospheric with little craft shops and small restaurants dotted around.",Buyuk Han,Review 620 Similarity,0.338061702,Review 156 Similarity,0.5
50,Came across this building as we were wandering the streets of Nicosia. Was lovely looking around and reading the history of what it would traditionally have been used for.,Buyuk Han,Review 22 Similarity,0.316227766,Review 161 Similarity,0.5
50,"Very classic feel inn since 15th century, but now a place of souvenier shops and cafes - but very interesting architecture - must see.",Buyuk Han,Review 60 Similarity,0.316227766,Review 164 Similarity,0.5
40,I like this placeMany shops and restaurantsAnd very lovely place to relaxQuite and nicely decorated,Buyuk Han,Review 107 Similarity,0.316227766,Review 167 Similarity,0.5
40,"We visited the caravanserai in Nicosia as part of our Cyprus tour. I learned something about the function of such stopping places, the activities carried out, and the allocation of space to people and animals. There did not seem to be much explanatory material for the non-guided tourist. We did not bother with the souvenir shops and food places.",Buyuk Han,Review 151 Similarity,0.316227766,Review 171 Similarity,0.5
40,"A historic place which photos could be taken. There are a lot gift shops side by side, if your lucky the owners would be at their store. There are places to eat downstairs and it is close to the historic mosque.",Buyuk Han,Review 166 Similarity,0.316227766,Review 172 Similarity,0.5
40,"We liked this because we felt we had just walked into a different culture. It originally was a place for traders to stay and store goods, but now is lots of (tiny) shops, mostly for handmade things, often still being made on the balcony or in the shop as you wander about. the architecture and enclosed square make it feel very (middle)eastern. We wandered through for at least half an hour and spent some time just sitting and enjoying being there.",Buyuk Han,Review 207 Similarity,0.316227766,Review 174 Similarity,0.5
40,We walked by it but unfortunately it was closed. Every Sunday is a weekend and all shops are closed. But the place around it is amaaaazing.,Buyuk Han,Review 251 Similarity,0.316227766,Review 178 Similarity,0.5
30,"Not much to see, many empty shops, But I met a nice owner of a shop who I had watermelon, halloumi and coffee with, that gives it the third star :)",Buyuk Han,Review 259 Similarity,0.316227766,Review 180 Similarity,0.5
