r_points,r_text,place,,
50,"I stayed in the Castelli Hotel during a weekend trip to Nicosia. The Hotel is located in the city centre. The hotel is a small hotel with very helpful staff as they gave me and my partner great tips of what to see in Nicosia and where it is worth of going to!!! The rooms of the Hotel are nice, clean and have a nice balcony. We had a great time in the Hotel as well as in Nicosia therefore would for sure recomend it!",Castelli Hotel,Review 103 Similarity,1
30,"I visited the hotel with my girlfriend.The room was clean, perfect location, the staff was also level..but very soon we understood we have serious problem -the room next to us (280) was bordello!!We understood that immediatelu-3 times for 1 day some men wrong knock to our door to offer my girlfriend about sex for money!!!It was horrible,outrageus.Of course,we changed the hotel.I can not understand how in 21 senturu this these thinges can happen and no body check who come and why they come!!!That is really dangerous and we will notice the police!!!Sorry guys from CASTELLI but that is the ugly true!!!",Castelli Hotel,Review 57 Similarity,0.509133175
30,"Nice location, near the old part of city, average breakfast, average but clean rooms, in general for less than 80 euros per night it is quit acceptable for a hotel in Nicosia, were the average price is significant higher comparing to other european capitals. The rooms in the main road are extremelly noisy, especially early in the morning.",Castelli Hotel,Review 71 Similarity,0.509133175
20,"My stay was from 29th to 30th december, 2015. Bedrooms and furnitures are very old, not preserved, and with no modernity. Curtain was dirty and dusty. The lift was very old and scary. But the bed, breakfast, wifi and drinks´ machine were ok. The receptionist was helpful. Hotel is near the touristic attractions in Nicosia. You can see the uptown from the room´s veranda. Hotel placed in a safe and silencious area.",Castelli Hotel,Review 56 Similarity,0.508000508
40,Nice and quiet hotel in the old town near Eleftherias square.Very large room. Polynesian restaurant.,Castelli Hotel,Review 114 Similarity,0.508000508
30,This hotel was cheap at <60 per night (we just stayed for one night). The room was small and had very few lights installed. The bed was ok. The cleanliness was average and the same for the breakfast. Also there is a very small parking nearby which was full so we had to park somewhat far. The location of the hotel is central but not the safest in Nicosia during the night. The personnel was polite. Go there if you are budget-conscious and looking for somewhere to sleep in Nicosia.,Castelli Hotel,Review 68 Similarity,0.504016129
40,A small Hotel with comfortable rooms and pleasant communal areas.The staff where very friendly and helpful.Breakfast was of a good quality and quantity.A most enjoyable stay close to all that Nicosia has to offer.,Castelli Hotel,Review 31 Similarity,0.497795728
40,"We just happened to walk past this hotel and thought we ask if they had a room. We had a large room on level one with a balcony which was very reasonably priced. Thought the breakfast selection was also very good, lots to choose from and attentive service. Staff were friendly and when we had a problem with the safe, he promised to sort it out, which he did. Beds are comfortable and the rooms clean. TVs could do with updating as they're not flat screens. Hotel is in the city walls and very convenient for exploring the old town.",Castelli Hotel,Review 66 Similarity,0.492832883
40,"We stayed at this hotel for one night last week whilst on an overnight visit to Nicosia. I have to say that some of the previous reviews on here do not match with our experience. Perhaps we were lucky but based on our experience I thought there were many positives:- central location- the staff we met - receptionists, night porter and breakfast waitress - were all very friendly and spoke good English- a quiet, clean room on the third floor with good soundproofing which blocked out most of the noise of the city- comfortable bed- effective air conditioning- good bathroom with powerful shower and plenty of hot water- excellent wifi which we didn't have to pay for- reasonable choice of hot and cold food on the breakfast buffet, even at 9.00 when we went for breakfastI would agree that the hotel would benefit from a refreshed décor and some of the public areas do look a bit tired. On a minor point, the TV in our room - although modern and flat screen - had very few channels. The only English language channel was Bloomberg Business which quickly became boring to watch. The other channels were 3 local ones in Greek and Aljazeera in Arabic.However, overall I thought that for the amount we paid (about £50 sterling), the hotel offered excellent value for one night's stay in a central location and I would certainly consider staying there again if we were in Nicosia for another overnight visit.",Castelli Hotel,Review 61 Similarity,0.488454654
30,"I stayed for two nights during a business trip - I had originally planned to stay in The Classic Hotel across the road but this was fully booked. I had a standard room and, although the room was spacious with a large double bed, the furnishings were extremely dated and in need of refurbishment (poor quality tv, mould in/around bathroom fittings, threadbare towels). The colleague I travelled with encountered the same in her Executive Room so I think this may be the case in other parts of the hotel as well. That said, the room was relatively cheap and the staff were very friendly. I only ate breakfast at the hotel but there was a good choice of hot/cold options available in the restaurant. In all honesty, if I were staying longer than two nights I would look for another place to stay, but if you're on a budget and a short break in or around Nicosia then The Castelli will meet your needs.",Castelli Hotel,Review 55 Similarity,0.488071101
40,This property is located in the heart of the city but it is secluded from the main commercial and touristic area. Medium size hotel with an average size room and simple breakfast. A nice property for a short transit,Castelli Hotel,Review 29 Similarity,0.480015361
