r_points,r_text,place,,,,
10,Staff were unfriendly and in many cases just rude. Everything seemed to be just too much trouble. The food in the meantime was pretty ordinary. Finally the gym - surely a major selling point for business travellers - only opens after 1pm. Perhaps matters improve on the summer months. I doubt it!,Cleopatra Hotel,Review 2 Similarity,0.077151675,Review 199 Similarity,1
10,"I'm not one for bad press or bad mouthing but the idea of staying here was to Try having a break away from work and lye in ,in the morning only to be woken by what I can only assume to be the cleaners making noise with there trolley at approx 07:00 , I went the bar thinking it was the dinning hall and stood there waiting to be served for food and penultimately gave up and went over the road for Wagamama as I was starving ., again for tea I had to order to my room because the dinning area wasn't pointed out and wasn't in English so just stayed in my room as I tried to get served at the bar again only to be stood there wasting time., so took long enough working the television out so downloaded Netflix on my phone and had to use that. This hotel is only probably good if your Russian , Greek Cypriot or on Business in the end I just bit the billet and came back to work with 2 days holidays needing to take. So back to the stresses of camp I went as it seemed a less stressful option than to stay another night.- later found out on leaving where the dinning hall was so if there is anyone who wants to stay here and is English please contact me and I'll gladly give u some pointers where things are.The good points where : Parking, Room Service, shower (big one)Bad points:TV- was confused and was convinced the remote was needing batteries so I asked the reception to who said they would contact maintenance and would deal with it shortly after this non existent reply I gave up and went the shop to buy some later found out you need to turn off the TV at the wall and have the patience of a saint.Small Shower : fixed into the corner and unless your pressed up against the wall is pretty pointless and frustratingTea facilities I just had Sugar and no milk , coffee or anything else to make a brew with (yes I had checked the cupboards)All in all I Was relieved to roll through the camp at UNPA (1950's camp for the UN)",Cleopatra Hotel,Review 77 Similarity,0.193649167,Review 180 Similarity,0.478091444
20,I booked to stay here for a weekend in Nicosia but was so disappointed with the standard of this hotel I left. The original room smelt of smoke and damp. The alternative offered was just smelling of damp. They staff were apologetic enough but no amount of helpful staff can make up for poor rooms. Although I had paid upfront there was no refund offered. Not worth the rating in my opinion.,Cleopatra Hotel,Review 79 Similarity,0.246182982,Review 162 Similarity,0.455842306
40,"One of the few business meeting choices in Nicosia. Always well trained local personnel, excellent service and management,quite few choices for business meetings according to customers needs.Value for money also for accomodation. Food quality could be improved",Cleopatra Hotel,Review 137 Similarity,0,Review 203 Similarity,0.428571429
30,"Stayed here for a week on business locally. Paid 95 euro b&b. It is a tired hotel with decor from the 70's. That said I wasn't there on holiday. I got free wifi with s good band width breakfast was average Tyne pool bar served a really I've child draught beer which was welcome age a busy bays work. beds small and hard, par for three course, TV cnn in English but not much more.Close to Ledra Street which is 2 pedestrian streets which lead up to three Turkish occupied North. You can cross over and take a look just take your passport. Is all very serious! You'll get half price beers and plenty of forged goods, don't buy them! All in all fine for business but I got out at three weekend and headed for three coast.",Cleopatra Hotel,Review 165 Similarity,0.272772363,Review 145 Similarity,0.419313935
40,"Just stayed one night, staff very friendly room clean and adequate. Spoke with Angela from Customer Services who was very helpful in securing an item I had left behind.Overall i was very happy with my stay in Cleopatra",Cleopatra Hotel,Review 59 Similarity,0.25819889,Review 153 Similarity,0.358568583
40,"I stayed for three days in this small hotel, whilst on a business trip. It was clean, comfortable and the staff were very good, particularly the waiters, bar staff. Angela in the office was very kind in ordering my taxi to and from the airport, which was much appreciated for a lone female traveller. The food, although not fancy, was very good, just what I wanted and extremely tasty. The service was quick and efficient. My room was fine, with an extremely comfortable bed. I was upgraded which was lovely but I would have liked more than one English speaking tv channel or at least a music channel to listen to, especially as I was on my own. I was surprised that the electric sockets took my appliances and I did not need my adapter, a really nice touch. I was disappointed that the pool was closed for winter but the free use of sauna and hot tub was lovely. There is also a well equipped gym. The hotel kindly let me keep my room on for a couple of hours on the last day as I had a later flight, with no extra charge and even sent me complimentary fruit and wine. I was very satisfied and would recommend this hotel to anyone staying in Nicosia as it is very good for the price.",Cleopatra Hotel,Review 86 Similarity,0.435800964,Review 31 Similarity,0.349927106
40,Stayed for 4 weeks in the Cleopatra business apartment. You have all the service of the hotel for a very good price. The apartment is basic but kept very clean. Good AC. Nice pool with attentive service. Restaurant is fine for dining al fresco. Staff is great. The manager got me into a next door gym when their own closed for the summer.Location is just outside the city walls.,Cleopatra Hotel,Review 162 Similarity,0.400891863,Review 46 Similarity,0.338061702
10,"Many other better alternatives with lower prices and much higher quality.Not the cleanest of hotels, food is mediocre and management a bunch of amateurs.Friendly staff and good location - that's pretty much it.Bottom line: do your research - search for alternatives",Cleopatra Hotel,Review 117 Similarity,0.182574186,Review 187 Similarity,0.338061702
30,"It is stated that is a 4-star-hotel, but this is pretty far away from that. All the elevators, corridors and rooms are quit old-fashioned and, in my opinion, one star should be taken away.Though the staff was really friendly and helpful (I had some of the problems and questions to solve), but this is not enough. Also, I was staying in a double room and when I asked for an extra set of towels (only one set was given), so in spite of changing all of the towels, the housekeeper just put one set extra. I expected more than that.The window was partially broken. It didn't close properly, so the noise from the street was heard quite loud in the room and it was quite cold (due to cold weather at nights).The breakfast was eatable and was a choice, but poor one.",Cleopatra Hotel,Review 85 Similarity,0.396296962,Review 51 Similarity,0.314485451
40,"The location is amazing. Easy walk to everywhere. You can just park your car at their parking spot and walk all around for shopping, dining and coffee. The staff were really helpful as well both at the check in and breakfast. The building is old itself but it well taken care of, my bathroom looked like it was renovated recently.",Cleopatra Hotel,Review 9 Similarity,0.33968311,Review 100 Similarity,0.314485451
50,"I stayed at this hotel last month on a business trip to Nicosia. This was my first visit to the hotel and I must say I enjoyed the whole experience. The hotel is mainly for business tourists but they have done a great job at making business travellers feel as if they were almost on vacation! First, the hotel is situated right in the centre of the city- close to all the main shopping areas, restaurants and business district. I only used the taxi once during my four-night stay. The hotel has its own facilities. They have a lovely gym, a restaurant with delicious greek food (let me say that it was full of locals which shows how good the food is) and a new bar. The bar is modern and relaxing. I was particularly impressed by the friendliness of the staff. The only thing that I did not like much was the lobby, which I found a bit small. But I guess the bar, which is next to it compensates for that. Other than that I was very happy with my stay and I would recommend anyone to stay there. I definetely will next time I visit Cyprus!",Cleopatra Hotel,Review 226 Similarity,0.212132034,Review 173 Similarity,0.309661769
30,"They dont have warm water in the bathroom. Just ridiculous! The internet stopped working after first day. The pool is nice, but no bathrobes, no slippers, no toothbrush...The location is very good and prices acceptable.",Cleopatra Hotel,Review 135 Similarity,0.416666667,Review 38 Similarity,0.3086067
10,"Don't waste your time here - there is absolutely nothing to commend. Staff are particularly rude. Food for breakfast can best be described as basic - reheated omlette, stake bread, cold coffee. Really a ghastly experience capped by an attitude that would not be out of place in a 3rd world hovel.",Cleopatra Hotel,Review 150 Similarity,0.333333333,Review 107 Similarity,0.3086067
40,"I stayed just one night for business in the Cleopatra Hotel. It is a nice place in the centre of Nicosia, with spacious rooms and good beds. I even had a small balcony. Breakfast is simple but fine. Would stay here again.",Cleopatra Hotel,Review 48 Similarity,0.381881308,Review 70 Similarity,0.303045763
40,"I stayed in the hotel for a business trip. The staff is very professional and helpful. The room was large, clean and with all the necessary amenities, a good surplus is the balcony considering Cyprus temperatures. The presence of an access point in the room ensures a stable and fast WiFi connection. Good breakfast with decent selection of sweet or savory options. Finally, the position is very good, the hotel is in a quiet area but just a 10 minute walk to the center. Recommended!!",Cleopatra Hotel,Review 67 Similarity,0.360288346,Review 85 Similarity,0.296499727
40,"If you are going to be staying on the Greek side of Nicosia I can recommend the Cleopatra Hotel on Florinis street.I frequently flew to Cyprus, on business. Apart from the convenient location, which enabled me to walk to the office, I loved the friendly staff and the lovely atmosphere of the poolside restaurant.Food is excellent, rooms clean and comfortable, even though I was not in one of the top rooms I found it very satisfactory.My business trips are over, due to redundancy, but I know where I'm staying if I get to Cyprus again.http://www.cleopatra.com.cy/cleopatra/",Cleopatra Hotel,Review 205 Similarity,0.23570226,Review 166 Similarity,0.296499727
40,"The hotel is listed as 4 star luxury. While this is stretching it a little, (in comparison to world-wide 4 star standards), we believe that the facilities and the standards were certainly well worth the money and we would have no hesitation in staying on future visits to the city. Our initial impression was good. Reception were friendly, helpful and efficient. The rooms were clean and tidy. Unfortunately our room did smell of stale cigarette smoke, which we put down to 'guest abuse' – something that management made wish to consider for the future. Had we been staying longer than just overnight, we would have asked to change rooms. As it was, we had a number of appointments in the city, so we didn't bother on this occasion. Breakfast was the typical hot/cold buffet style. There was a reasonable selection of food on offer and what was available was fine. The lounge bar was reasonably priced and provided a good place to round off the evening.The hotel is on the borders of the business and embassy districts. The 'Old Town' is around 10-15mins walk away. During the day, apart from a few odd shops (and some expensive looking fashion shops – the type that don't have price labels on the goods), the area around the hotel is business orientated but there are coffee shops everywhere. After dark, the coffee shops close-up and the bars/restaurants spring into life. We were surprised to find quite a few appeared like magic, in the quiet side streets around the hotel. Be aware though, at weekends these get very busy and unless you book in advance (or, as we did, manage to sweet talk the staff and promise to vacate your table by 8pm), you could be disappointed. As an alternative the Old Town has a larger selection, but standards vary - as in any city.",Cleopatra Hotel,Review 91 Similarity,0.395284708,Review 54 Similarity,0.285714286
30,The best about the staff is that they are very service minded as so are the quality of the rooms. Breakfast is great and the restaurant very good. A good business hotel in the business district.This is on the other hand very busy with a lot of traffic around. The pool area on the back is a relaxing quite corner.,Cleopatra Hotel,Review 200 Similarity,0.297044263,Review 132 Similarity,0.283473355
30,Stayed here for two weeks on a business trip. Rooms are OK but quite tired. The location is good for business and access to the old town. The restaurant is OK with huge portions but there is better food nearby. The breakfast is pretty good with delicious fresh bread each morning.,Cleopatra Hotel,Review 142 Similarity,0.102062073,Review 196 Similarity,0.283473355
