r_points,r_text,place,,,,
50,Amazing artefacts - some of them goint back to the neolithic age and earlier. All of them in very good shape and there are many many of them. Not all of them with English (or Greek) labels. If you are not familiar with the history of Cyprus you should get a small broshure on it.,Cyprus Museum,Review 17 Similarity,0,Review 221 Similarity,1
50,Although small it covers the history of Cyprus in detail. Very informative and full of wonderful pieces. Staff could have been more helpful but it wasn't a problem,Cyprus Museum,Review 122 Similarity,0,Review 247 Similarity,1
20,"Cyprus has a lot of history and a lot of culture. That is experience mostly through talking to local people, driving around, visiting the old city and reading about it. The museums are small and boring compared to everything else there is to see!",Cyprus Museum,Review 405 Similarity,0,Review 316 Similarity,1
50,A must to visit for an in depth view on the history of this beautiful island. So many interesting artifacts and their background.Cyprus truly is an Ancient island of human history. When you come here the story begins to unfold.,Cyprus Museum,Review 185 Similarity,0,Review 263 Similarity,0.5
40,"If you intersted in Cyprus's history, this the place to go to.I have seen prehistoric statues, and ancient Greek time related statues.The medieval era under Byzantine ruling is obvious with icons, archeological findings . . .If you want to know about the history of the island, this is the place to visit.",Cyprus Museum,Review 286 Similarity,0,Review 285 Similarity,0.480384461
50,Cyprus is the third largest island in the mediterranean sea with thousands of years history. You can easily imagine what sort of antiquities a visitor to the Cyprus Museum can see.The Cyprus Museum is the oldest and largest archeological museum in Cyprus. It was founded in 1882 and houses artefacts discovered during numerous excavations on the island. The museum is home to the most extensive collection of cypriot antiquities in the world.,Cyprus Museum,Review 381 Similarity,0.468292906,Review 25 Similarity,0.474578998
50,The ruins in this museum tell the story of civilization. It's a small museum and can be toured in less than an hour. It's a must see for anyone interested in classical history or archaeology/,Cyprus Museum,Review 132 Similarity,0.471404521,Review 11 Similarity,0.471404521
40,"We visited here in June and really enjoyed it. The temperature in Nicosia was 46 degrees celsius that day and the museum was blissfully cool!There are lots of artefacts, some many thousands of years old and lots of interesting information on the history of Cyprus. Worth a visit.",Cyprus Museum,Review 363 Similarity,0.43643578,Review 39 Similarity,0.471404521
50,The Cyprus Museum is another place to learn about the history of the island. You go back in time with findings from the second older city in the world until our present days. Nice for the family too.,Cyprus Museum,Review 378 Similarity,0.25819889,Review 173 Similarity,0.471404521
30,We were on an organised trip to the area and brought in here. Interesting look at the history of Cyprus if you like that sort of thing. Pretty well laid out museum and plenty of artifacts to see. Difficult to be ushered around with fifty other people so may have missed hearing about some of the significant facts. Worth a visit but not my kind of thing.,Cyprus Museum,Review 168 Similarity,0.23570226,Review 180 Similarity,0.471404521
50,"They have many sculptures - and i was not so surprised as Cyprus is so ancient country. Anyway, the museum is well structured and there are tags in English language everywhere. After visiting many museums in Greek, i appreciate Cyprus even more!",Cyprus Museum,Review 331 Similarity,0.23570226,Review 183 Similarity,0.471404521
40,"In reading a review by Cybelle, amsterdam, may I correct our friend that there is no such thing as border, neither ""Northern Cyprus"", but a part of the Republic of Cyprus (a full member of the EU) which is under occupation. Some respect towards truth is essential.As far as the Museum is concerned, I never expected it to be so interesting , well presented in greek and english. In general, do not miss it and take the family along.",Cyprus Museum,Review 374 Similarity,0.23570226,Review 186 Similarity,0.471404521
50,What an amazing discovery of the life of the island of Cyprus. Well worth the effort and the time to read the history as well as view the amazing ancient artifacts.,Cyprus Museum,Review 351 Similarity,0,Review 305 Similarity,0.471404521
50,Cyprus Museum is in the center of Nicosia and it is very easy to find. It is a really quite place and full of exhibits from many eras of the history of Cyprus. Very interesting. For all ages. We spend there almost 2 hours. We have no guide but we did not need it probably because there were explanation boxes for every exhibit. It is worth the visit and your time.The only negative thing that I would mention is that the stuff was some times a little loudy and that was irritating because the place was very quite in general.,Cyprus Museum,Review 187 Similarity,0.348155312,Review 97 Similarity,0.46291005
50,"The place to find out all about the ancient history of Cyprus. Numerous pieces of great interest, and very well laid out. Wasn't as big as I'd thought it would be. Visiting the museum on a week's holiday in Northern Cyprus, it was really refreshing to be able to buy a book about the place that gave you in depth information - something that is almost non-existent in the northern side of the island.Well worth a visit for a couple of hours.",Cyprus Museum,Review 236 Similarity,0.182574186,Review 204 Similarity,0.46291005
30,"The first time I visited the Cyprus Museum was back in 1967. Nothing much changed since then. It contains some excellent pieces of arts from Cyprus's ancient history but the way they are displayed is very boring. Not user friendly at all. Not a surprise that only a tiny portion of the tourists that come to Cyprus visit it. Cypriots rarely set a foot in it. A visit to the British Museum and/or the Metropolitan Museum of Art in New York, by the people in charge will give them some ideas as to how to display items.",Cyprus Museum,Review 314 Similarity,0.346410162,Review 99 Similarity,0.461880215
50,"Whether you have a great interest in archaeology or not this museum is a ""must see"" on your visit to the historic city of Nicosia/Lefkosia.A journey through time and history from the earliest inhabitants of the island through the many that followed as the country came under the influence of so many different cultures.A small museum, and certainly not comparable with much larger and more famous homes of history, but it offers a wonderful insight into the past of a fascinating island which was coveted and conquered and influenced by so many different civilisations.",Cyprus Museum,Review 345 Similarity,0.433012702,Review 42 Similarity,0.447213595
50,"I am not a big history buff, but after a pleasant walk around Nicosia we felt we should pop in and take a look - I think it was Euro 4.50 each to get in.You could spend a day there or an hour - (we felt a couple of hours was enough)You really get a sense of the history of the island that perhaps you don't simply driving around.Some incredible history dating back 4/5 thousand years which is brought up to date with the latest archaeological digs on the island.A lovely Museum and well worth popping in to see.",Cyprus Museum,Review 294 Similarity,0.288675135,Review 157 Similarity,0.447213595
