r_points,r_text,place,,,,
30,People were working in the neutral zone. Lots of rubish but friendly policemen. I hope north Cyprus stays out of EU!,Ledras,Review 50 Similarity,0,Review 659 Similarity,1
10,"I have never met a more rude and racist bunch of police ""officers"". Travelling frNorth to south with an iranian friend of mine, he needed a visa (which we didnt know about) to enter south cyprus. All they needed to do was tell us so. Instead they threatened to arrest him, they shouted as us as if we were animals and made us feel small looking down on us because i am half cypriot and he iranian. After 20minutes of being drilled and misspoken to they let us go back to north cy with several warnings. But they were so rude and so racist i will never forget this terrible expirience. Ive travelled to 34 countries in my life- have mot expirienced worst police attitudes in my life!",Ledras,Review 886 Similarity,0,Review 740 Similarity,1
50,"Some of the reviews of Ledra Street Crossing Point on here are ridiculous and are more political statements than information for travellers. We travelled to Nicosia and were keen to experience the North of the city. Crossing from South to North was straightforward - two posts, one to leave the south, the other to enter the north. Coming back was slower coming into the south, so you might have a short queue. Each time, the border staff were friendly, and it was worth seeing the different culture in the north. Worth also mentioning most places sell in Euros if that's all you're carrying, and there are plenty of shops and things to see.",Ledras,Review 492 Similarity,0.496291667,Review 23 Similarity,0.508000508
50,"When you visit here please remember that it is not a tourist attraction but the physical reality of a city that has been permanently divided since 1963.It is sadly one of the few places in the city that you can cross from the south to the occupied north and having taken the opportunity to, it is something that our family will never forget.It is actually surprisingly easy to do though you will obviously need your passport or ID card to do so. You walk through control on the south side and though we queued for a short while we were told this was unusual. There is then a walk of about 50m through the UN controlled buffer zone and no man's land to the northern control. The DMZ is fascinating in part for the shortness of the distance, but also for the flash back into history that it offers you. No photography signs abound in this area.A short queue enables you to pass into the North. Passports are scanned, but not stamped and you are granted a 90 day visa for access though most do as we did and walk around the northern area for an hour or so before returning.The North is a sharp contrast to the modern South. A bazaar replaces the modern shops/restaurants and cafes a few hundred metres away. There is no need to obtain Turkish Lira as all the places that we visited accepted Euros.",Ledras,Review 686 Similarity,0.367883604,Review 258 Similarity,0.5
40,"This marks the entrance to North Cyprus, aka the Turkish part of the island. Crossing over is straightforward as you need to just show them your passport, and that's it. However, the area is one relatively small street that takes you past a lot of unremarkable shops and restaurants. At most, you'll likely spend 30 minutes here to say you've traveled to an unrecognized territory.",Ledras,Review 81 Similarity,0.472455591,Review 53 Similarity,0.5
50,A nice and quiet place to visit with the history of Cyprus to stay there and you can see Nicosia through the history not only from the buildings but and from the whole street and generally the whole area smells tradition and back to the past. Is the point you can see the old side of Cyprus with the new one more Europe.,Ledras,Review 380 Similarity,0.377964473,Review 234 Similarity,0.5
10,"As a long ter Foreign resident of Nicosia think I am pretty well qualified to comment upon this but what used to be a major attraction and the opportunity to climb a quaint UN border Post and see a small section of the buffer zone separating the two sides of Cyprus has now been replaced by Plastic Fencing ,,,,Cyprus Tourism Office should be ashamed for what has been allowed to happen here.I had ( past tense ) previously taken literally 100's of Family , Friends and Business acquaintances to the border crossing which superbly highlighted to a visitor the reality of the division of Cyprus and all bar none were amazed. I will not bother any more!Last straw was to see this week 120-20 squatters sleeeping in bags at the crossing "" supposedly "" demonstrating the division.After making some brief conversation most were unfamiliar with any of Cyprus's History and just nomadic squatters / backpackers.If you do go there ( Particularly British Tourists ) about 100 metres before the Ledra Street border is the excellent Ledra Cafe or Kathedon Restaurants for local cusine.",Ledras,Review 935 Similarity,0.346843988,Review 298 Similarity,0.5
40,"You can cross from north to south Cyprus here on foot. There are two checkpoints, one police, one border control. You need your passport to cross (but you don't get a stamp)",Ledras,Review 195 Similarity,0.283473355,Review 389 Similarity,0.5
40,Here you can cross on feet from the Greek part of the island to the northern part of Cyprus (Turkish Cyprus). You only have to show an ID card or a passport. Coming back there is strict control by the customs,Ledras,Review 419 Similarity,0.283473355,Review 393 Similarity,0.5
40,"Great place to go to Northern Cyprus or vice versa! Actually you only show the pass in front and on the other side again and you are in a different country. Above all, I was very surprised that there is a completely different flair on the ""Turkish"" side. Make absolutely.",Ledras,Review 2 Similarity,0.188982237,Review 535 Similarity,0.5
30,"All a bit tatty. I'm afraid its all a question of 'So What!' Access to N Cyprus is simple, but take your passport.",Ledras,Review 222 Similarity,0.188982237,Review 551 Similarity,0.5
50,These days it is a straightforward process of passport examination and scanning and is accepted by both parties. No longer are passports stamped causing any problems entering other countries any more. However it is reported in the press that there still can be problems if using ports and airports in the south for holidays in the north. There still remains the moral issue of whether you should be seen to be condoning the actions of the Turks. Once across have a look at the information kiosk on the left hand side and pick up the relevant maps which are not obtainable in the south and follow the blue line as much as it still exists !,Ledras,Review 234 Similarity,0.188982237,Review 554 Similarity,0.5
50,Important point to be visited by people who visits Cyprus. It enables visitors to understand the deep sadness behind the unfortunate political situation on the island.,Ledras,Review 285 Similarity,0.188982237,Review 555 Similarity,0.5
50,"Ledras street is my favorite place from all Cyprus. Have many shop for everything, relaxing atmosphere .",Ledras,Review 423 Similarity,0.188982237,Review 566 Similarity,0.5
40,Crossing the wall to the occupied part of Cyprus feels like experiencing a small part of the very history of the island.,Ledras,Review 639 Similarity,0.188982237,Review 578 Similarity,0.5
50,"East-west: Check point Charlie, check points between ukraine and occupied territories, sandbags and soldiers - here north - south - why?",Ledras,Review 694 Similarity,0.188982237,Review 581 Similarity,0.5
30,If you are staying in this part of the island this pedestrian crossing is the best way to get a taste of the North of the island.,Ledras,Review 895 Similarity,0.188982237,Review 585 Similarity,0.5
30,A short consumers street that connects the divided capital of Cyprus. Good for having a coffee or meal.,Ledras,Review 242 Similarity,0.15430335,Review 602 Similarity,0.5
50,"Nice to see what a street looks like when it's stuck in time, you can really see the difference of the north vs. the south sides",Ledras,Review 703 Similarity,0.15430335,Review 614 Similarity,0.5
50,The last divided city in the European Union! Hopefully someday will decide the big of the earth to solve the Cyprus problem in order to cease existing green lines and points. In Europe there should be free movement in all points.,Ledras,Review 867 Similarity,0.15430335,Review 618 Similarity,0.5
40,This is the question one asks at this border checkpoint. Kind of absurd there should be one at all. Very easy to get from south to north. Short waiting time.,Ledras,Review 197 Similarity,0,Review 670 Similarity,0.5
50,A landmark that must be visited for all Greeks that visit Cyprus. A tribute to all those who lost their lives defending the island's freedom.,Ledras,Review 451 Similarity,0,Review 694 Similarity,0.5
40,"it was an experience, very daunting getting passports checked at two different points but two different enforcement officers after a 2 min walk.Nothing flash, but dont go on the 20th ~July they have a big demonstration about the North south divide!",Ledras,Review 493 Similarity,0,Review 699 Similarity,0.5
50,A smile wouldn't hurt would it? They may be bored but we were going into Northern Cyprus and spending money there ....cheer up border guards!,Ledras,Review 829 Similarity,0,Review 733 Similarity,0.5
40,"Have approached the Border from both sides - but from the North it feels more real, its hard to understand after all these years that a small Island is still divided. In the Northern side its good to explore but beware the Soldiers will approach you with loaded weapons and ask you what you are doing, a scary feeling. The island is beautiful and the Northern towns, beaches and sights are lovely - go if you can",Ledras,Review 852 Similarity,0,Review 738 Similarity,0.5
40,"Take the opportunity to at least see if not pass through the border crossing in the only divided city centre from vibrant and busy Greek Cyprus into flat and lifeless Turkish Cyprus. See what has happened to the great Sophie cathedral built in the 1200's, see the abandoned shops and houses in the very city centre. Look into the once grand Venetian palace turned into empty restaurants. Be pleased you can return to Cyprus proper. We went in the evening, pre dinner, and the difference was stark. Remember to take your passport!",Ledras,Review 795 Similarity,0.358568583,Review 278 Similarity,0.486664263
40,It doesn't look like anything special but the history and idea of it all is a good experience. You walk north on Lidra street visiting all the shops along the way until you come to the crossing. When entering to the occupied north you have to be careful they do not stamp your passport for legal reasons; if they do stamp it there is a good chance you will need a new one. Once on the north there are more shops with knock off goods for pretty cheap and the atmosphere is very different and definitely worth a visit. It can feel a bit sketchy at nighttime so I recommend getting there well before sunset.,Ledras,Review 851 Similarity,0.314970394,Review 336 Similarity,0.486664263
