r_points,r_text,place
50,"Even if all you want are a couple of photos, go and see this. The old walls, the oil barrels, the barbed.wire - all a reminder of when this town was so different. The UN.signage is still there as is "" no man's land""I didn't know about the history before but I do now and glad we went to see it",Paphos Gate
50,"The Paphos (Pafos) Gate is one of three entrances which were built into the historic Venetian walls which enclosed the old City of Nicosia The other two gates are the Famagusta Gate at the eastern end of Lefkosia, and the Kyrenia Gate in Lefkoşa, at the northern end of the Turkish occupied part of Nicosia. I have reviewed each separately, as they all warrant a visit in their own right, for different reasons.The gate, constructed in the 1560s, was so named because the road from this gate led to the coastal town of Paphos in the west of the island. If you’re within the walls of Lefkosia, walk east along Rigainis or Arsinois, past the Tripoli bastion, and you’ll come to the gate. If you are visiting the Cyprus Museum, you can’t miss the walls and the gate looming as you walk up Mouseiou from the museum. Architecturally it’s probably the simplest of all the gates - no more than an opening in the stone walls roofed by a barrel vault. It’s merely a pedestrian passage these days; part of the Venetian wall beside it was opened up to allow traffic to pass in and out of the old city. At the time of my visit you couldn’t walk completely through the gate; to see the statue of Markos Drakos and to get to the Cyprus Museum (both outside the walls), you had to follow the traffic exit.But to me it is its surroundings which make it a really interesting place to visit. It’s at this gate that the Green Line and the Venetian walls intersect, though you cannot cross the Green Line here. Entering along Rigainis you’ll see the stone walls on your left, and as the road dips, what looks like an unused observation / control box on the right. It all looks a bit intimidating, a bit forlorn, but there is no problem continuing down the hill to the gate on the left. The intimidating feel continues as you look at the gate; there’s the graffiti-covered Paphos Gate police station on the top of the gate, and a forbidding, desolate barricade of blue and white concrete drums. Turn around, and with the entrance to the gate behind you, you’ll see the Holy Cross Roman Catholic Church on your left. You can visit the church. Whilst it’s interior is fairly unremarkable, what is particularly interesting about the church is that its facade and front entrance is in Lefcosia, but the body of the church juts into the Turkish controlled occupied north. Apparently the church can continue to operate as long as the back door is kept firmly closed. As you exit the church, look to your left and you can’t miss the barricades of the Green Line.Enjoy you visit here. It’s a good insight into the reality of a divided city, And in many respects, there’s no ‘gate’ here which actually signals a unified city.",Paphos Gate
40,Paphos Gate was an interesting area to see the separation between the Greek and Turkish sides of Cyprus. It definitely seemed more fortified than other areas of separation. What I appreciated about it most was the walk from the gates to the main area of the old town. It provides a different perspective as it's mostly quiet allowing one to see the daily life of the locals.,Paphos Gate
40,"We were in Nicosia/ we were even in Kyrenia / and searched out Paphos Gate. Great piece of History with the Old City Walls still generally intact. Well worth a visit, not that easy to find .....",Paphos Gate
30,"from outside the old medieval town walls if you walk towards the city center one can see the barricades that separates the two parts of the city. there are some blue/white barrels and barb wire fences if you’re into that. otherwise a bit sad sight.no need for passport here.once you crossed from the roundabout into the center, turn right into a thoroughfare to the old actual gate.",Paphos Gate
50,As you approach Paphos Gate from outside the city walls there is a roundabout upon which is a statue of a soldier throwing a hand grenade. The gate appears to be on the Green Line and there is a good view into no-man’s land with Turkish & TRNC flags on one side of the road and Greek & Cypriot flats on the other.,Paphos Gate
50,We were in Nicosia and searched out Paphos Gate. If you start at Lora Street it is fairly easy to find with a number of Tourist Signs pointing you in the right direction. Great piece of History with the Old City Walls still generally intact. Well worth a visit.,Paphos Gate
40,We parked our car in a small private lot (€3/all day) just to the north of the gate near the auto crossing into the TRNC.Interesting for foreigners to see the Green Line dividing the city. Time has stood still. You can drive through the gate and park (limited space) in other lots for €3 or so.Also a short walk from here to the Cyprus Museum that only allows free parking for 1 hour.Take the time to walk down the ramp (inside the gate) and see the gates!,Paphos Gate
30,"Generally speaking the Old town walls of Nicosia are of main interest due to their architectural significance being a Renaissance rather complete set of walls in this part of the world. They are not always well preserved (much of the covering stone was robbed), were not completed in the first place and in many parts are rather neglected (especially in North Nicosia). Those who imagine the classic vision of the charming walled city surrounded by medieval ramparts would be disappointed. The Paphos gate was recently renovated and the plaza in front of it excavated by archaeologists. One of more interesting aspects of it is the fact one can see 3 completely different type of fortifications piled up on top of each other: the foundations of the Crusador era town walls, the (complete) Venetian wall and gate (built to face artillery) and the 20th century barricades on top of both. The bastion just near the gate is part of the buffer zone and one can see the fence on top of it. If you cross to the north part (through one of the 2 Ledras crossings) you can get to the small park on top of this bastion where there is a small tea house. You can look down the Paphos gate and then within no more then 15 minutes stand at the bottomof the bastion – after crossing back to the republic.",Paphos Gate
30,Walked by the Paphos gate on our way to the Cypriot Museum. It is notable as one of the three main gates from when Nicosia was a medical walled city.,Paphos Gate
50,"When you walk through the gap in the venetian walls take a little look to your right , look further down a ramp and my son you will find what you are looking for . The gates underneath still partly clad in metal ! Go on give it a go!",Paphos Gate
50,This 'gate' is an opening and completely different from the other two actual gates. It is an opening in the Venetian Walls where a road runs through and was hard for me to find as I was looking for an actual gate. There are some remnants of the passageway also and at the time of visiting some building work was going on at the rear.,Paphos Gate
30,"Certainly not worth going out of your way to see the Gate but, depending on the route you take, it can be seen on the way to the superb Cyprus Museum",Paphos Gate
40,Just walking this city is interesting; such a mixture of old and new. And you can tell it has seen a lot of life over the years.,Paphos Gate
