r_points,r_text,place,,
50,"the beer is fresh and nice, they look very experienced in what they do, food is great too and they serve natural cypriot fried potatoes which are hardly found i. restaurants anymore, the place has ambience and overall the four brothers who run it are doing a great job",Pivo brewery,Review 140 Similarity,1
50,If you are looking for a small cosy place to spend a quiet evening with friends then this is the right place. Excellent food and service with freshly brewed beer at very reasonable prices. Highly recommended.,Pivo brewery,Review 58 Similarity,0.5
50,We really enjoyed it! We had great time with friends! Very friendly waiters..fast service! You can enjoy homemade beers..of all tastes! If you are a beer lover..you should try it! Reasonable food prices.,Pivo brewery,Review 110 Similarity,0.5
50,"Hi, I have took a dinner yetserday evening at this Nice restaurant with few frends. We enjoyed the food and all 4 types of the beer. The place offers you a ""Taste"" - all 4 types of the beers they have (200ml)/each for only 8 euro. We loked also the service and atmosthere. For sure you have to visit it once you arrive in Nicosia. Also, it's at the border with Turkey side wall :).",Pivo brewery,Review 115 Similarity,0.5
50,"The brewery and it's bar/restaurant are situated in a back street and you will need a map to find it, but the effort is certainly worthwhile. A range of four core beers are served which represent the world of great beer styles: a Bohemian pilsner, a Bavarian weissbier, a Czech dark lager and an American IPA. A further beer changes regularly. At the time of my visit the featured brew was a Belgian abbey-style beer, rich and fruity. I didn't eat, but the food looked delicious, and the surroundings both in the bar/restaurant and in the rear courtyard were very pleasant. If you like beer, this is a 'must' during your visit to Lefkosia/Nicosia.",Pivo brewery,Review 144 Similarity,0.494974747
40,"This is a place to truly enjoy beer. Fresh, original, unbelievable beer !!! I can't recommend a better place for beer aficionados in Cyprus.",Pivo brewery,Review 66 Similarity,0.490290338
50,An old house in the old part of Nicosia which has been converted to a brewery. Three brothers and a cousin as the young men have told us who like beer and decided to created their own brand. They produce beer on the premises. They have four flavours all very very tasty. The four young men have renovated the house with great taste having kept the character of the old city. Their idea to produce their own beer has paid off as they have done an excellent job in all respect. They also have some dishes if you are hungry. Atmosphere and service are great. Highly recommended.,Pivo brewery,Review 134 Similarity,0.485362672
50,Words are meaningless for this place. The owners are awesome. The stuff is very friendly and helpull. The knowledge and details of each and every beer from the guys is amazing. Perfect atmosphere with blues playing in the background and their fantastic food is an unresistable combination. Definitely recommend.,Pivo brewery,Review 26 Similarity,0.474341649
40,"A nice cosy place in the heart of the old city of Nicosia. Relax, eat and drink the beer of the establishment and enjoy the beautiful backyard!",Pivo brewery,Review 31 Similarity,0.474341649
40,"A great place to go with your group. Friendly environment and helpful staff. If you like beers, u should try it!",Pivo brewery,Review 54 Similarity,0.474341649
50,"a limited menu offering, but of great quality and well cooked. we love the yard and the restored building on the green line. always fun to discover the seasonal beer which is brewed in the premises. service is friendly with a smile, never left unattended.a favorite when down town nicosia.",Pivo brewery,Review 63 Similarity,0.474341649
50,"Food was served on time and hot, great taste. Staff is very friendly and eager to help. Highly recommended.",Pivo brewery,Review 87 Similarity,0.474341649
50,"The whole microbrewery concept is great. And the setting is lovely. Ideal for beer & wine lovers alike, friends & lovers alike! Interesting dishes and friendly staff!",Pivo brewery,Review 98 Similarity,0.474341649
