r_points,r_text,place
30,"This Church in Nicosia is located very close to Ledra Street, and the area has a lot of restaurants and shops. For me the interior of the Church was okay but not something that wowed med. But if you love churches, go see it.",Sacred Temple Of Virgin Mary Faneromenis
30,"Very old church, in the middle of the old city of Nicosia. Just for walk in the area, step inside the churh just for seeing one of the oldest church of Cyprus island. The area around is full of cafe, restaurants etc",Sacred Temple Of Virgin Mary Faneromenis
50,"This (orthodox christian) sacred temple is In the traditional old city center. It's surrounded by old buildings (school, bank, museum) and shops. Actually there is the market center and the 2 main shopping streets (only for pedestriants) and full of good cafeteria and restaurants. You have to visit it inside! Ask nearby for more informations and free leaflet and map at the tousti information office.",Sacred Temple Of Virgin Mary Faneromenis
40,"Beautiful church, the Iconostase is superb and magnificent icons. Lovely architecture, well located for those exploring the old town.",Sacred Temple Of Virgin Mary Faneromenis
50,The Church of Faneromenis located at the square of the same name is next to Ledra Street in Nicosia.Built in the latter part of the 19th century is one of the most important churches in Nicosia and a must visit if you are in the city.A spectacular gold leafed alter with fabulous hand painted icons in the Orthodox style really take your breath away.Cyprus has lots of important churches but this must be one of the most beautiful.,Sacred Temple Of Virgin Mary Faneromenis
40,Largest church in Nicosia but a recent one built in 1872. Liked the pleasant surrounds. Pretty small church next to it. Sadly both Churches were closed when we got there.,Sacred Temple Of Virgin Mary Faneromenis
20,"Could see the church just from the outside, since it was closed in a week day. It was very frustrating since the reviews recommended the visit.",Sacred Temple Of Virgin Mary Faneromenis
50,"Faneromeni church is a landmark in the old town of Nicosia, that cannot be missed due to its size. If you've never been into an orthodox church, it's well worth a visit and is open most of the day. As it's usually a meeting point when I'm going out with friends in the old town, i often go in, for the atmosphere. Of course Cyprus has many other churches much more impressive but this one is in all Nicosia peoples' heart, I think.",Sacred Temple Of Virgin Mary Faneromenis
50,"The moment you enter the church, you will feel that it has history and you are inspired to pray.A time to devote to yourself.",Sacred Temple Of Virgin Mary Faneromenis
30,"If you are into this kind of things, it is worth seeing. The architecture is great 👍But I must say, after seeing a lot of churches on Cyprus, they tend to be a little similar.",Sacred Temple Of Virgin Mary Faneromenis
50,"If I would have to choose one church to visit in Nicosia, to get a sense of history and religion, this would be it! In the heart of the old town.",Sacred Temple Of Virgin Mary Faneromenis
50,"A beautiful historic church within the old Nicosia district that means a lot to me as I got married here a few years back.You feel something special when you are inside, the dome frescoes staring at you, the large iconostasis with the icons - this place is a must if you are visiting the 'laiki geitonia' area. There is a tradition that says when the Ottomans tried to convert it to a mosque the imams kept dying within a year! This area of Nicosia is very lively in the evenings due to a number of cafes and Tavernas in the area.",Sacred Temple Of Virgin Mary Faneromenis
50,"At the end of Onasagorou Street, you will fall upon the Faneromeni Church, beautiful orthodox church in excellent condition (exterior tower in renovation in April 2018). A lot of people were there to make their devotions and we enjoyed visiting it.",Sacred Temple Of Virgin Mary Faneromenis
40,"If you find yourself in the old city,Nicosia within the walls,don't miss visiting Faneromeni church.A spectacular painted dome and lots of golden covered icons.",Sacred Temple Of Virgin Mary Faneromenis
40,"Built in 1872 within the old city walls, this used to be the largest church in Nicosia and most visited places. The marble mausoleum to the east of the church contains the relics of the bishops and priests executed by the Ottomans in 1821.",Sacred Temple Of Virgin Mary Faneromenis
40,"The fine iconostasis and chandeliers contrast well against the white columns and arches. Blue-white carpets and large ditto flags send a not-so-subtle political signal, comparable to the Turkish flags on former churches on ""the other side"".",Sacred Temple Of Virgin Mary Faneromenis
50,"This is the largest Greek Orthodox church in the local area.Fabulous building with so many gold murals and statues. One marvels at the time it must have taken to create these items.The church is free to enter,however, they ask for a donation. In return you can also light a memory/prayer candle.",Sacred Temple Of Virgin Mary Faneromenis
50,"Smack bang in the middle of Faneromenis Square is Faneromeni Churc. Built in 1872 on the site of an ancient Orthodox nunnery. Around the church is of course the cafes and restaurants of Faneromenis Square, and the school founded by Archbishop Makarios I as well as a Marble mausoleum tot he Archbishop.Sadly the Church wasn't open on they I visited and I only got to see the facade of the church.",Sacred Temple Of Virgin Mary Faneromenis
50,This is a wonderous church inside and outside. It has beautiful architecture and is set in a lovely square surrounded by cafes. The interior is stunning with breathtaking gold leaf pictures and ornaments that run from top to bottom and side to side of it's exquisite alter. It's aisle boasts of large chandeliers running the full length of the church from the front door to the alter. Check the opening times before going though!,Sacred Temple Of Virgin Mary Faneromenis
40,"Located on the North side of the Commercial District, it is within walking distance from Shacolas Tower Museum & Observatory",Sacred Temple Of Virgin Mary Faneromenis
50,"Beautiful church! I really liked this one. Although the walls inside are bare and white, the wood carvings and the golden lining at the end of the church is amazing. Really detailed carvings, and original drawings, are situated in this area of the church, and and are things definitely not to miss. Also all around the church, there are other wonderful artefacts, such as a huge cross, that depicts pictures of the life of Christ. Leaflets are also free to take. Very satisfied with this church!",Sacred Temple Of Virgin Mary Faneromenis
40,It is a quiet place. You can see people coming in to say prayer and leave. The front area is filled with portrait and more portraits. One can visit this solemn place if you happened to be nearby the area. There are cafe just opposite the church. You can go through the backyard at the back of the church if you plan to visit National Struggle Museum and Folk Museum.,Sacred Temple Of Virgin Mary Faneromenis
50,"It was a really nice experience , it's very impressive how modern culture and the old combine together in one place!",Sacred Temple Of Virgin Mary Faneromenis
40,"an interesting attraction in the heart of the city. after strolling down the busy old city streets bustling with visitors and locals shopping and having coffee or snacks , an orthodox church, retreat from the city sounds where one can see many interesting icons, relics and more.",Sacred Temple Of Virgin Mary Faneromenis
40,A wonderful and historic church situated in the center of Nicosia. Very well preserved and popular with the locals and tourists alike.,Sacred Temple Of Virgin Mary Faneromenis
