r_points,r_text,place,,
50,"An excellent place to see the view of the whole city of Nicosia. Under each windows and there is a photo of the view with explanation in each building. Moreover, there is a touch screen with an interactive map that gives you more info about each building. At the end, you can watch a very informative film about the history of Nicosia. Each viewer wears headphones and selects the desired language (many options, all the main languages). Every tourist must go there!",Shacolas Tower,Review 277 Similarity,1
50,"On the 11th floor of what otherwise appears to be an office block this is a very nice point to view the city and look across the border to the giant Northern Cyprus flag. Large windows cover almost every side so it is good to get your bearings but also pick up some post cards, enjoy a respite from the heat and even use the toilets. There is even a short video history and written history boards.",Shacolas Tower,Review 40 Similarity,0.502518908
50,"Took a friend that was visiting cyprus the other day...!! Nicosia is so unique with its walls going round it and this is the best spot to apprecitate the layout of the old town! Also i hate going to the occupied area but from here one can appreciate this aspect clearly as well. Really worth visiting! There are helpful annotations and a good audio as well. Birds eye view of 360 degrees and useful info about the history of the town!!!!A must visit!!The fee is TOO small (Eur2,00 or something!!!)It is situated in the pedestrian zone of the old town which is a must visit anyway!!! So if you are in the area DO GO UP!!!",Shacolas Tower,Review 251 Similarity,0.502518908
50,A small observation deck gives you a brilliant all-round view of what is otherwise a pretty low-rise city. There are panoramic photographs and interactive screens which give you an idea of where the main landmarks are located and a bit about them - this is helpful in planning which ones to see. There is a short video presentation which gives you a brief overview of the history of the city and you are able to borrow binoculars to look at the remnants of the invasion - such as bullet holes in buildings on the green line. The small entry fee is more than worth it. Children will enjoy pushing buttons if nothing else and there is a small gift shop as well.NOTE - If you are coming here on the recommendation of a guide book - it is now located above H&M and NOT DEBENHAMS - their new store is well out of the old city!,Shacolas Tower,Review 75 Similarity,0.501745206
40,"Shacolas Tower is the bigest tower on Ledra Street, there you have a beautiful view of Nicosia, I recommend you to climb.",Shacolas Tower,Review 22 Similarity,0.492365964
50,"The observation floor is all indoor, but the attendant kindly opened a number of wondows to let us have a clear view on the city. There are a number of interactive displays highlighting points and buildings of interest with the associated history. Well worth a visit.",Shacolas Tower,Review 106 Similarity,0.492365964
40,"This is a good place to start to get your bearings in Nicosia, take some landscape photos, and learn a little of the history of Cyprus from the short (under 10 minute) video. There is a nominal entrance fee but it is very much worth it.",Shacolas Tower,Review 147 Similarity,0.492365964
40,"Shacolas Tower provides you with a good overview of the city. The panorama is well explained by interactive terminals. The video on Nicosia's history is very concise and comprehensive. Without an open-air panorama, the 2 Euro entrance fee however seems a bit steep.",Shacolas Tower,Review 151 Similarity,0.492365964
50,"If you don't have time to enter the Turkish part of Nicosia, then a visit to the Shacolas Tower will allow you to see some of the key buildings!The 2€ entrance fee also includes a short audiovideo which provides a brief history of this fascinating city!",Shacolas Tower,Review 161 Similarity,0.492365964
40,"Every tourist visiting the historic centre of Nicosia should clime 11th floor in the pedestrian area up to the observatory of the Shiakolas building, to get to know Nicosia (both sides) easily and quickly.",Shacolas Tower,Review 190 Similarity,0.492365964
50,"There is not much you can really say about this, but I would say it is a must do when coming to visit the Capital. You get to see an excellent view and one you cannot get anywhere else as high up locally, that I know of. Just give it a go and view as far as the eye can see, it will not be an event, as it is something that does not take long but still it is worth it.",Shacolas Tower,Review 197 Similarity,0.492365964
50,"The Shacolas Tower is located on Ledra Street, right in the middle of Nicosia, which makes possible for everybody to see almost every important building in the Cypriot capital. The observatory have electronic information panels, making this visit an introduction to the city's complex history.",Shacolas Tower,Review 260 Similarity,0.492365964
50,"The building has previously housed a Woolworths and a Debenhams. It now houses a H&M fashion store.Pros:-Two lifts.-Helpful member of staff.-9 minute introductory video of history of Nicosia.-Touchscreens and information boards highlighting the main sites.-Photos of old Nicosia.-Small gift shop - postcards, maps on 9th floor.-Toilets on 9th floor.Cons:-None.",Shacolas Tower,Review 95 Similarity,0.476731295
40,"The observatory deck is at the 11th floor and it offers some nice circular views of the city below in addition to the Turkish region. There are some interactive screens with info about the attractions that appear through the windows. Also, the wall in the middle of the room offers some chronological history of the city of Nicosia. It would have been nice if there was an outside deck.",Shacolas Tower,Review 112 Similarity,0.476731295
