r_points,r_text,place,,,,
50,"Like having a family in Nicosia. We loved staying at Asty in November will always stay here, we had more reservations last May but due to covid we had to cancel I pray we get back next May. They are everything a hotel should be. Thank you!!",Asty Hotel,Review 1 Similarity,0.210042013,Review 1 Similarity,0.280975743
10,"the Asty is a bad bad bad hotel. without a doubt the worst ever. My night stay there was an ordeal in keeping my sanity as one thing went wrong after another. we called our travel agent on the phone and they were not surprised at what we told them. The area of town is very shady; esp at night. Guests or ""customers"" are going in and out of the rooms at all hours of the night ; there must be an hourly rate for the rooms. The A/C didn't work at all and the place smelled so bad it made me sick to my stomach. Yes the price is cheap - but you are getting what you pay for and the dump rates only 1 1/2 stars. Oh what a wonderful feeling it was to get into that air conditioned cab and pull away from the curb of this nightmare.",Asty Hotel,Review 326 Similarity,0.236066843,Review 262 Similarity,1
50,"My friend and I went to Asty recently and we really enjoyed our stay there ! The rooms are spacious, the food is really nice and available anytime, which is amazing when you arrive late and hungry at night !And above all, everybody was super friendly and chatty, we could even book a mini bus (price included !!!) to go around Nicosia.I would definitely come back there in the future if I travel in Cyprus again !",Asty Hotel,Review 341 Similarity,0.221403721,Review 267 Similarity,0.50902781
20,I had the night from hell as we came in very tired from a long bus ride and the lobby was filled with cigarette smoke which lingered in the halls. The hotels overall image was not as they had advertised and I couldn't wait to get to Limasol to get some rest away from the rude staff. Yes I say rude when they argue with guests. They seem to have the impression that it is the best hotel in Nicosia. Well the pipes in the showers made this howling noise before dirty water came out if you tried to use hot water. Our overall feeling was after being woken up three times during the night that we were getting what we paid for and was beyond exhaustion to argue with the staff anymore.,Asty Hotel,Review 361 Similarity,0.206835076,Review 276 Similarity,0.507833375
50,i was in Nicosia for the ITF international tenis tournament together with other players from 14 countries we stayed at the asty the hotel was very clean very big rooms and the breakfast is excellent the public areas we also very big we where paying only 70 euros the double room per night they made us 50% discount IF YOU ARE IN NICOSIA DONT MISS THE CHANCE STAY AT THE ASTY IF YOU DON'T NEED A DELUXE HOTEL,Asty Hotel,Review 402 Similarity,0.224544357,Review 265 Similarity,0.500626174
50,"Though not in the town centre, Asty staff went out of their way to drive us to the Kapnos airport shuttle, to the town, ordered our Cypriot souvlakis, picked them and delivered them at the hotel with a free beer.Another night Michael drove us to an Italian Restaurant and picked us up when we were doneWe highly recommend Asty",Asty Hotel,Review 227 Similarity,0.487088187,Review 30 Similarity,0.490511472
50,"We stayed 2 night, three of us in two rooms. Both rooms were excellent, one front one back. both fresh and clean and comfortable. The staff could not have been more helpful, which includes the Free shuttle bus into Town and back. Buffet Breakfast but with a cooked option, very nice.I would highly recommend the very reasonably priced Hotel and look forward to staying there again. The even helped me start the car, left for two days with the interior light on hence flat battery, nothing seems to be too much trouble for them",Asty Hotel,Review 226 Similarity,0.460178993,Review 66 Similarity,0.486664263
50,"Stayed here for 2 nights.service so friendly as they said just like family.We were driven to the old town and picked up again for free.At the hotel there are so many extra little touches for free.coffee,tea,biscuits,juices,jelly rice pudding.We decided to stay in for evening meal and we ordered it for our own time in the evening instead of waiting for restaurants to open.both times were delicious with a salad,main(oven baked chicken and veg)rice and pasta one night.soup,(slow cooked pork and veg)lentils and rice next night.all washed down with local red wine 11euros each!fantastic,delightful stay.",Asty Hotel,Review 59 Similarity,0.455091027,Review 71 Similarity,0.478364873
20,"We were in shock to find that this low priced hotel is also of low quality - - I would go so far as to say it is a dump with a foul smell in the halls. All I wanted was a quiet sleep and not to be worried about noise and safety concerns by hourly patrons making good use of the hourly rate. When I think of all the places I have stayed on Sales and Study trips - the ASTY will live forever in my mind as the one where I was fooled by head scratching reviews. At first it seemed like a run down but quiet inn - our room was a bit in disrepair but you get what you pay for. Then as night fell - noisy ""couples"" started to check in and out. Our shower didn't even work properly (kept going from cold to colder). The only thing good about the place was that there was cabs waiting to take me out of town and away from this place. Too bad they had to toot the horn all evening and keep us awake.",Asty Hotel,Review 292 Similarity,0.221403721,Review 266 Similarity,0.473879102
50,"I've stayed in a lot of hotels and B&B in a lot of different countries in my life and this is one of the best! We've stayed twice and both times the rooms were spotless with good thick curtains which meant I didn't wake up when the sun came up. Good air con kept us cool, good double glazing meant it was quiet. Balcony on both of our rooms. Plenty of hot water. Comfy beds. Fridge to keep the drinks cool and tea/coffee making facilities. Interesting, well done, decor (we had the colourful and Indian rooms; don't stay if you want corporate bland). Friendly, helpful staff. Good breakfast buffet plus cooked-to-order English breakfast. Free tea, coffee, water, juice, milk, fruit, biscuits etc., (hope people don't abuse this). Nice public rooms. The shuttle to the town is excellent so there is no problem with the location. Free parking and use of bikes! Free wi-fi! We also got a free late check-out (to 6pm) which was offered without us having to ask; we just commented that we had a late night flight. How many other hotels will do that? I can't think of anything negative and I haven't even listed everything great about this place. In addition, Lefkosia is a very interesting place to visit (both sides) with good restaurants, shopping and historic places. If you go to Lefkosia you must stay at Asty. If I go back to Lefkosia I'll stay again at Asty, I loved it!",Asty Hotel,Review 277 Similarity,0.492445818,Review 24 Similarity,0.440315286
40,"The Asty Hotel in Nicosia I have never been to. However as I type my parents (in their seventys) are staying at the hotel as it is near to the Oncology hospital where my father is having daily treatment. My mother is a keen clean freak some would say she has OCD, therefore finding a spotless place is difficult the first thing she did was check the pillow - spotless. Not a fault to be found. Regarding the staff - They can not do enough for them anything is possible, my father's diet is limited and yet they have gone out of their way to accommodate their requirements. Polite, friendly they two can not be faulted. The food is plentiful and delicious according to my mother - last night they had a free BBQ. If you need somewhere to stay in Nicosia this is it. There is easy transport from the hotel and they also have tourist information to hand. I can not thank them enough they have taken the worry of driving back and forth from home away and now my father can concentrate on recovering.",Asty Hotel,Review 116 Similarity,0.402199833,Review 129 Similarity,0.440204389
50,What a wonderful hotel! The service was brilliant! We had booked two double rooms and when we arrived we were immediately upgraded to the executive suites. When we asked for advice on where to have dinner the gentlemen at the front desk phoned several restaurants to make sure that they were open and gave us a detailed description on how to get there.The breakfast was delicious and again the service was brilliant!We had access to tea and coffee and various snacks all day and night.It was definitely worth more than the money we spent!,Asty Hotel,Review 269 Similarity,0.445566394,Review 81 Similarity,0.43528575
40,"I stayed in the Asty only one night. I was with a group of people traveling through. The hotel was clean but shall I say, spartan? I can't comment on the location other than to say it was not within walking distance of any historic sites. There are a number of bakeries close by and those are fun. Breakfast was included with the price and that was tasty. Served quickly and efficiently. There was a large selection to choose from. The front desk was efficient also. A clean hotel. Nothing special.",Asty Hotel,Review 201 Similarity,0.183339699,Review 283 Similarity,0.429197538
20,"my review of the asty consists of two main concerns. you get what you pay for and while the price is lower than the other larger hotels in Nicosia.. it doesn't come close to being a place where I would ever want to come again. Its too far away from everything and to walk into town is not a good idea. You should be prepared for the noise was loud from the avenue and another couple refused to stay with us - you don't get friendly service that you get in a bigger hotel. This is in my opinion a small poor hotel that survives off online bookings from people that have never been there. Well I stayed here and wish i could have spent my money at a better place but there was comfortable but there was nothing i could do about it. I had a great time in the center of the city which is very beautiful, but I dreaded leaving and when you arrive back to the asty - it is like you are in the bad side of town. - Reba 2012",Asty Hotel,Review 366 Similarity,0.382157853,Review 154 Similarity,0.426014323
50,"We loved this hotel. The management were incredibly friendly offering us rides to old town even though we had a car! Breakfast was fantastic with a huge assortment of choices including eggs cooked on request. The room was big and comfortable, however, the bed was harder than we are use to but we slept great. It is farther to old town than I thought(about 30 minutes walking)but we enjoyed the excursion to dinner one night. The second night we went to the Syrian Arab Friendship Club for dinner and it was fantastic and on a short distance. The room 215 was so quiet and the water worked great.",Asty Hotel,Review 38 Similarity,0.175035011,Review 284 Similarity,0.421463615
50,"For the price (we paid €66 for 2 pax) this hotel is hard to beat. It’s not fancy by any means and it’s not in downtown but the staff are all friendly and helpful and there is a free shuttle to the downtown about 7 mins away. They also dropped us at a local restaurant but we walked back because it’s close.Breakfast is fine for this part of the world. We visited January and I was amazed at how much choice they had, including eggs cooked to order.The rooms are spacious, simple and clean.We were doing this trip on a budget and for the price I could not complain and would recommend this just on the pleasant staff (the Zimbabwean Cypriot lady and the night manger were both to be commended).",Asty Hotel,Review 30 Similarity,0.421830744,Review 107 Similarity,0.421052632
