r_points,r_text,place,,,,
10,I tried to ne in this hotel in October. I made my reservation by the hotel website. I received the confirnation e mail bit unfortunately when I was there the didn't find my reservation. The hotel was full so I was forced to search another hotel. Badly organized!,Hypnos by Bed n Mix,Review 22 Similarity,0.316227766,Review 18 Similarity,1
50,"This is a brand new 3 star boutique hotel located just under 2kms from Nicosia.As soon as we arrived at the hotel I was pleased of its location, which is off the main road. On entering our superior twin room which was automatically upgraded by the Reservation Manager I felt at home.The contemporary wooden furniture with matching door and furnishings were pleasing to the eyes. The contemporary and clean lines continued on to the bathroom. Double size shower with an optional hand held or a large size rose hanging from the ceiling with high water pressure. The complimentary toiletries ‘Zealots’ are made of natural products. A variety of coffees and herbal teas available around the clock on the top floor where breakfast is served. Your have a choice of cereals, English cooked breakfast, pastries, plain local yogurt and more. Everything cooked freshly onsite.The staff and owner who I had the pleasure of meeting were very professional and helpful throughout our 4 nights stay.On site parking and fast internet is available with your stay. I highly recommend this thoughtfully designed hotel.My congratulations to the owner.",Hypnos by Bed n Mix,Review 10 Similarity,0.461690258,Review 4 Similarity,0.5
50,"This hotel is really nice peaceful. The room is very comfortable, the breakfast was lovely, the decor was warm.It’s kind of far from anything, so a minimum of 30mins walk to the old town or around 6-7 euros by taxi. I had work to do so I didn’t mind just hanging out at the hotel for a day or two, but also, it’s so nice that staying out of the town is worth it.The staff were also very friendly and helpful, so big plus there too.",Hypnos by Bed n Mix,Review 6 Similarity,0.353553391,Review 13 Similarity,0.447213595
50,"We spent five days here. What a wonderful hotel! It’s new - just ten months old. It’s small. The modern design is beautiful. There is tremendous attention to detail in every aspect.The rooms are comfortable, beds excellent, work area convenient, a pleasant balcony. The room includes a small refrigerator, a sitting area, excellent lighting, ample electrical outlets and even a plug converter.The reception staff is superb - friendly, knowledgeable and helpful, gladly responding to any requests.Breakfast is very good and free access to fine coffee and tea all day is really nice.The hotel is in a quiet residential neighborhood, about 2.5 kms from the Old City. It takes half an hour or so to walk there. We used taxis which were not expensive. Taxi drivers were all familiar with Hypnos and presented no problem getting here. Restaurants and shopping are not in close proximity to the hotel.A super special addition is a smartphone in each room to use while here for local and international calls as well as internet and google maps at no extra charge.A wonderful place to stay. Highly recommended and would gladly return.",Hypnos by Bed n Mix,Review 11 Similarity,0.426401433,Review 6 Similarity,0.428571429
50,"Lovely staff, comfortable, great beds attractive design, reasonable price, what more could you want from a city hotel? Maybe location closer to downtown would be the only thing, but it’s only a 6 euro taxi ride",Hypnos by Bed n Mix,Review 7 Similarity,0.25819889,Review 22 Similarity,0.40824829
50,"As a traditional 50+ traveller we hadn't yet encountered the modern world of travel.You get not only free WiFi, you get a Smartphone with 5G for use in- and outside of the hotel during your stay, which is also your 24/7 access to e.g. services.Besides that, it's a modern style clean and pretty new hotel a little bit outside the city center, but still in 20-30 min walking distance to the old town.Room is equipped with what you need, a fridge is always helpful, the bathroom is a little bit to small and lacks place to pur your things and towels. Balcony was nice to relax and gives a perfect view on the entertaining evening soccer match of the local team nearby.",Hypnos by Bed n Mix,Review 20 Similarity,0.372104204,Review 10 Similarity,0.4
50,"We stayed for 5 nights and I can honestly say we had a wonderful stay. The hotel has a very modern and elegant decoration while in all common spaces there is an extremely pleasant scent. The room was spacious, nicely decorated with all amenities we could wish. The bed was as we like it firm and comfortable. The breakfast was splendid too, even though due to Covid-19 policy there was no buffet, we had various options to order from , all of which delicious. Highly recommended.",Hypnos by Bed n Mix,Review 1 Similarity,1,Review 1 Similarity,0.353553391
50,"Clean, spacious rooms. Lovely little balcony. Nice little hotel bar. Attentive, friendly staff! Excellent breakfast with a varied amount of different dishes, sure to suit the tastes of most. I thoroughly enjoyed ny time here. I cannot fault it!",Hypnos by Bed n Mix,Review 8 Similarity,0.286038777,Review 20 Similarity,0.333333333
50,Amazing hotel and staff! Rooms are spotlessly clean and the whole environment is so relaxing! The staff is excellent and always willing to help! Would undoubtedly recommend to anyone! Nothing negative!,Hypnos by Bed n Mix,Review 18 Similarity,0.105409255,Review 29 Similarity,0.333333333
50,"For the first time in many years that I have been coming to Nicosia, I have finally found a fantastic and nice, clean, modern, and good location hotel.The service is impeccable and truly outstanding.From the moment you arrive, the ease of checking in and locating your room is so easy.The rooms are big spacious and very clean with all modern features throughout. Design features in and outside are pretty brilliant.Breakfast with a view at the top of the building and they have a very good selection to.I would 100% stay here again, I wouldn’t even look at staying at anywhere else.Well done to the team here.And now I can recommend a hotel to friends and family now in Nicosia.The city falls short of any quality city hotels. The city needs to come and look at what they can achieve.",Hypnos by Bed n Mix,Review 23 Similarity,0.390360029,Review 8 Similarity,0.312347524
