r_points,r_text,place,,,,
50,"First time visit. Surprisingly good, clean rooms, good breakfast, dinner was wonderful, polite stuff. Location is in the centre of the town makes it ideal to go anywhere. Will visit again in the future",Semeli Hotel,Review 1 Similarity,1,Review 1 Similarity,0.070186241
20,"I am rating as below average because during my last visit, we had booked for a suit and we stayed unhappy. Yes the room was big, yes the breakfast was satisfying and the staff friendly BUT we weren't able to use the bath because there was a problem with it and the water from the bathtub kept leaking on all over the bathroom floor. I am sure if i had ignored it and took a bath or used the jacuzzi (it was a jacuzzi-bath) the leak would go all over our room and outside of the suit. Because of the late in the hour that we realized this we didn't request for a change in the room but we notified them the next day and they said they will check it.Since we stayed only for one night we didn't have the chance to see what they would suggest we do (change room etc).Nevertheless after this experience i don't think i would ever take my chance with this hotel again because i highly doubt that the leaking first occurred on our visit since as soon as we opened the water, water started coming to the bathroom floor without any delay. This is not something that the cleaner could ignore during their regular cleanings of the bathtub, the cleaner should have realized that it was heavily leaking and either ignored it or told the responsible person about it but instead of them to arrange for it to be fixed, they just let more people to stay there. Either way it was very disappointing.",Semeli Hotel,Review 49 Similarity,0.065653216,Review 136 Similarity,1
50,"We (2 adults and 2 infants) had an excellent stay at this hotel. The place was clean, and the food (breakfast, dinner buffet, room service) was delecious. The staff are very friendly. Overall more business-oriented, but works very well for families.",Semeli Hotel,Review 70 Similarity,0.213200716,Review 79 Similarity,0.50390326
30,"Booked 5th floor double room with fridge, kettle etc and balcony and breakfast -accommodation great with clean room but hard pillows and when asked for feather none available but that is a minor thing. Breakfast absolute minimum and bland fruit salad basically apples, orange and apple juice not fresh although both apples and oranges are in season on the island and therefore really cheap. Other fruit not great quality and no oranges were ever available as fresh juice or to peel. The coffee is self service from a machine and no decaf - you have to pay around 3.50 euro per cup. I asked to speak to the manager several times but he never contacted me. Reception staff otherwise very helpful. Shame no local foods are reflected in the breakfast choice and no communication available in case of a complaint as I felt I needed to make - it is a 3-4 star hotel but felt much less in what I have mentioned above. Pity.",Semeli Hotel,Review 34 Similarity,0.294883912,Review 51 Similarity,0.50336201
50,"The hotel is located just 2 km from the old town on the quiet street, near the Central Bank of Cyprus and not far from the University of Cyprus. It is very good for the 3 star hotel. My room was comfortable, clean and well equipped, even with bath robes and all necessary bath accessories. WiFi connection was available in the room. Breakfast was good, only coffee could be better. Staff was very friendly and helpful. I could recommend this hotel for the short business visit to Nicosia.",Semeli Hotel,Review 62 Similarity,0.416025147,Review 29 Similarity,0.500319183
30,The hotel is very dated and in need of modernisation. The heat/air conditioning is on a central service so either everyone has heat or everyone has air conditioning. My room was unpleasantly hot. I opened the balcony windows for a while but the noise from the nearby road made it impossible to sleep. When the windows were closed the noise still kept me awake.The breakfast was ok. They served a buffet style dinner for a set price of 12 euros when I was there. It was good value with a decent choice of hot and cold foods. The deserts were disappointing.,Semeli Hotel,Review 16 Similarity,0.474341649,Review 10 Similarity,0.498272879
40,"Overall - great hotel. Though the location is not great if you want to stay in the city center (it is approx. 25 minutes walk from the hotel), but it was close to the areas where we needed. The room was equipped with all the necessities, it even had complimentary drinks. Everything was great except the noise - the isolation was very poor, I could hear people walking down the corridor and shouting all night long (my room was on the way to the stairs), so this was quite disturbing.Breakfast was descent and quite ok.",Semeli Hotel,Review 96 Similarity,0.15430335,Review 102 Similarity,0.498272879
50,"I stay for 3 nights in this hotel, during a conference in Nicosia, and it was indeed a nery nice place to stay. The room was spacious and the stuff very friendly. Breakfast was delicious, however internet speed was very slow. The hotel is not far from the city centre and the area around has many facilities.",Semeli Hotel,Review 167 Similarity,0.094491118,Review 128 Similarity,0.496291667
50,"My first visit to Cyprus ,only three days ,but every minute was just superb ,hotel I found was staffed by very good well spoken staff ,my room was very clean and the hotel breakfast was very well presented",Semeli Hotel,Review 122 Similarity,0.471404521,Review 13 Similarity,0.495187568
50,I wouldn't hesitate to come back to Semeli hotel they have been fantastic very hospitable and helpful all staff were friendly and approachable and helped as much as they could with things to do and places to visit during our stay on top of this the room was amazing great value,Semeli Hotel,Review 110 Similarity,0,Review 149 Similarity,0.495187568
50,"I saw a very nice add in Facebook for a Valentines Day offer from Semeli Hotel. I'm happy that I booked for that night. From the first minute until our chech out, everything was designed in a proffessional way. The dining room had a romantic mood, the dinner was especially designed for that special night. The music backround was exactly what my expectations were. The spacious room had all the necessary staff for a comfortable and enjoyable stay. All staff were willing to help. I strongly reccommend Semeli Hotel for all its services for any occasion, business trip, leisure, educational etc.",Semeli Hotel,Review 140 Similarity,0,Review 156 Similarity,0.492763728
50,"The experience in Semeli Hotel was a perfect symbol for Cyprus visit. The place is friendly with convenient services and extreme hospitality. The rooms are so comfortable, with appropriate facilities and cozy atmosphere. The Staff are uniquely friendly and cooperative. Although the room view was traditional and the restaurants and even room service are not 24/7 yet this is compensated by the perfect services and convenient prices.Visiting Semeli hotel will always remind you that you are in the warm friendly Cyprus.",Semeli Hotel,Review 55 Similarity,0.065653216,Review 137 Similarity,0.482758621
50,Hotel is close to Landmark hotel in a quiet small road. Room facilities were good and staff was helpfull and kind. Breakfast is fine but nothing special. Its an excellent stay for Nicosia but not very close to old town or center.,Semeli Hotel,Review 7 Similarity,0.319801075,Review 48 Similarity,0.482450641
40,"I stayed in Semeli on early April 2016 during a business trip in Cyprus. The room was nice. In particular, it was clean, well decorated, with soft mattress. Nevertheless, I would prefer more space available. I was not feeling comfortable working with my laptop on the bed.The breakfast was a decent continental one. The dinner included a variety of veal,chicken and pork dishes not something special but sufficient in quality and really tasty.The staff was helpful and friendly. In general terms I enjoyed the stayed in Semeli and I would visit it again.",Semeli Hotel,Review 85 Similarity,0.166666667,Review 97 Similarity,0.48145692
30,"Stayed in this Hotel several times over the past 16 months.The rooms are a good size, sadly the taste in furniture is extremely poor, not helped by very poor lighting, bathrooms have a jacuzzi which takes up most of the space and totally un-nessasary a shower would have been more piratical for this business hotel.The public parts of the hotel has no soul and is actually a dead space, the only person who sits there is the owner and friends. Didn't go into the bar.On two occasions my room was not ready, nor did I get the room I requested, the last visit they couldn't find the booking though it was made well in advance with the general manager.This hotel need someone to take charge and turn it into a city business hotel, the potential is there and so is the demand.And yes I would stay there again, the only reason is it's convenient location. The alternative would be the aged Hilton at three times the price.",Semeli Hotel,Review 143 Similarity,0.223606798,Review 76 Similarity,0.475760827
50,"Wonderful service, polite and very helpfull staff that makes you feel comfortable, really nice people. Breakfast was tasty and fresh and the room service very good! Nice food. Facilities in my room - fresh fruit, water, cofee. And in the bathroom, too.A place that you feel safe and comfortable - I would recommend it for a businnes accommodation also!",Semeli Hotel,Review 48 Similarity,0.221162934,Review 78 Similarity,0.464641856
50,We were very satisfied with the room and hospitality! Staff very helpful! Will be visiting again very soon!Hotel is suitable for business meetings and large conferences. Prices are perfect and the hotel is situated at the right location near the APOEL building.,Semeli Hotel,Review 138 Similarity,0.11785113,Review 116 Similarity,0.459572515
50,"The room is big, the furniture is great and the bed is amazing. It's not crowded and the breakfast is also good. The checkin and the checkout is fast and we didn't get any problems to arrive since the place is in the entrance (from Larnaka). The city is amazing and people very friendly.",Semeli Hotel,Review 75 Similarity,0.433012702,Review 18 Similarity,0.454858826
40,"We stayed in this hotel for 4 nights. The review from Iola S is a bit strange as the Hilton is 100Eu per night more expensive for b+b so check the price for yourself.The hotel is aimed at the business market, so had a quiet feel to it as people seemed to take evening meals as room service and were out fairly early in the mornings. However the hotel would also serve as a good base for tourists visiting the city. A pleasant 15 min walk or approx 6Eu taxi ride gets you to the old town.The hotel is obviously new, the public areas are very pleasant and the hotel has a nice look to it. The guest rooms and the public areas are very clean. The breakfast was fine, a buffet with the usual hot and cold food. We ate in the restaurant twice in our stay, the food was reasonably priced and there was a choice of snacky foods (toasted sandwiches with fries) or more substantial 3 course meals. On both occassions our meal was good, well cooked, tasty and plenty of it.The staff were, without fail, friendly and helpful. Following a fall and a swollen ankle (watch out for the pavements in Nicosia) as we limped back into the hotel and explained our predicament the staff went to get some ice wrapped in a towel to use as a compress (and again the next day).The leisure facilities are limited to a gym and sauna. The gym looks brand new (unused brand new!) with a good range of equipment.The only thing that we weren't too keen on was the lighting in the rooms, corridors and stairwells. The corridors and stairwells used a motion detector to switch the lights on, so when you entered these areas they were initially very dark at night time. The lights came on quickly but it looked a bit unwelcoming. In the room the lights were LEDs. These are very directional so the rooms ended up feeling a bit gloomy without a wide spread of light. I don't think you get full spectrum light with these either but that's a minor gripe.The bathrooms were a little on the small side, but had all the toiletries that you would need. The shower was over a bath - but the bath didn't have any taps. Maybe you get these in an executive room !Overall a clean good quality hotel. A good base for the city whether for business or tourism with very helpful and friendly staff.",Semeli Hotel,Review 181 Similarity,0.492365964,Review 6 Similarity,0.450851181
50,"The staff is very kindLuxuries construction the room 204 was in front of the Hotel with enough space !Very nice gym that is remain open until 11 a.m.Breakfast is acceptableThere is extra charge for Cyprus coffee !The complementaries such as shave kit , Dentist kit is complete !Nice hotel !",Semeli Hotel,Review 57 Similarity,0.106600358,Review 121 Similarity,0.447914009
50,"My wife and I stayed at the Semeli hotel to celebrate our 25 wedding anniversary. The hotel and location was a perfect choice. The staff are very friendly and helpful. The room facilities be it bathroom or mini bar are very well equipped. Mini bar prices were also very competitive as was main bar prices. We had a lovely evening dinner in the restaurant and our fillet steaks were very tender and cooked to perfection, recommended. As it was a special anniversary, the hotel kindly paid for all our drinks.All in all, a very comfortable, clean and well looked after Hotel and would have no hesitation in staying again.Graham and Barbara",Semeli Hotel,Review 78 Similarity,0.116247639,Review 117 Similarity,0.433289122
40,"Semeli hotel is a nice hotel with friendly atmosphere. Rooms ok, clean and big enough, food also ok. City center on 20 minutes by walk. Breakfast room is rather small but this was not a problem during my stay.",Semeli Hotel,Review 112 Similarity,0.273861279,Review 58 Similarity,0.431516971
50,Hey you are in a capital city. !!! This hotel is easy to find. Just turn left before the Hilton off the A1. Ledra Street is a 25 minute walk away.Hotel receptionists extremely friendly and helpful.Our room was huge with a terrace.Breakfast was great and hot. Best ever toast I've had in a hotel.!!!,Semeli Hotel,Review 65 Similarity,0.091287093,Review 130 Similarity,0.431516971
40,"ProsExcellent hotelVery friendly personnel , especially Helen in the receptionCleanNice breakfastFast internetConsNoise from the road , when you stay in the first floorsAir condition was not working wellLimited space in the bathroom",Semeli Hotel,Review 155 Similarity,0,Review 160 Similarity,0.428845014
30,"Stayed here for a week with my job and could write a lot but will focus on the most relevant aspects. There are two main reasons why I rated this beautiful hotel as a 3 and not a 4:1. The lousy wi-fi.2. The bad sleep due to the thin walls.Wi-fi did not work very well in our rooms or in the conference area. It kept losing the connection.VERY thin walls! This means that it is very disturbing when staff and guests talk in the hallway or if a guest is watching TV or having a conversation. Even a small cough will make its way into your sleep. Bring earplugs or count on being woken up by people either out late or up early for breakfast/housekeeping.Other things worth mentioning: Bed is very comfortable and AC worked well. Most of the staff is super nice and helpful, especially Aliona (who is working in the restaurant) and Paola (front office manager). And room service was very quick.Breakfast is OK even for vegetarians/vegans but the hotel had a hard time ordering soy milk. But after a couple of days it finally turned up! :) The hotel also serve lunch and dinner, and have several vegetarian options on the menu.Quiet area, not many restaurants around the hotel apart from their own. Either walk 15-20 minutes or take a taxi to find more options.Conference venue is in the basement which means no windows. They actually moved us between different rooms from one day to another without informing us, which did not feel that great.",Semeli Hotel,Review 79 Similarity,0.23570226,Review 72 Similarity,0.427393758
50,Great hotel and an excellent service. We had a room with Jacuzzi and a welcome package. Highly recommend. WiFi connection was super. The Breakfast is sufficient enough to start your day. Thanks a lot for the hospitality!!!,Semeli Hotel,Review 99 Similarity,0.133630621,Review 108 Similarity,0.421117444
50,"After a not-so-great first night in one of the standard rooms, hotel staff put everything right with a move to a much bigger room for the next two nights. Very comfortable, very clean and efficient, helpful staff. Decent breakfast on offer in the morning although a freshly cooked breakfast will always beat eggs and bacon stewing in a server.Location is excellent.",Semeli Hotel,Review 26 Similarity,0.428746463,Review 21 Similarity,0.417814511
40,"A 3-night business trip. The location is slightly inconvenient if you want to do things downtown, but otherwise the hotel is fine. The two double beds in my room had a tendency to slide on the polished floors. The internet speed is glacial - there were numerous other guests who complained about that. It really only worked down in the lobby. Other than that, a nice place.",Semeli Hotel,Review 171 Similarity,0.144337567,Review 105 Similarity,0.415227399
40,I stayed at the executive room which was nice and spacious. Staff were very nice and breakfast was good.The towels were somehow old and little torn but at the overall I found it as good place and excellent value for money,Semeli Hotel,Review 40 Similarity,0.490290338,Review 8 Similarity,0.412020962
50,"Where do I begin, this is a fantastic hotel. From the time of checking to us checking out the hotel was a delight to stay in.Firstly this hotel is spotlessly clean and we had no issue with the décor the lounge was comfortable and there is plenty of parking under the hotel.All the staff were fantastic, helpful, friendly and so very polite. Paola on reception is delightful and was most helpful.The rooms are very comfortable, with every amenity possible. Safe, TV, coffee tray, slippers, dressing gown and complimentary shower gels. The beds were very comfortable and I experienced no difficulties with the heating/air conditioning. Complementary wine, fruit and water greets you which is an excellent touch.My mum had a slight drain smell coming from the bath in her room but a brief chat with reception and it was sorted by the time we arrived back at the hotel in the evening.I have travelled to many country’s and stayed in many good hotels and I can honestly say for me this room was by far the best equipped.We ate in the restaurant two evenings while we were there and we found the menu to be excellent and very reasonable prices. The food was lovely and delicious and the waitresses were very helpful and polite.The buffet breakfast offered was excellent: On offer there was toast, fresh rolls, rolls, croissants (choc and plain), fresh fruit, cheese, ham, tomato, cucumber, and a choice of two cereals (muesli and cornflakes). Hot food: Bacon, frankfurters, boiled eggs, scrambled eggs, beans, mushrooms and cooked tomatoes. Fresh juice, tea, my favourite was the decent coffee machine!!! What more could you possibly ask for to set you up for the day.The hotel is very convenient for Nicosia for business or other. This hotel is building up a fine reputation and it is well deserved.We had to fly to Cyprus for a family emergency and we had the choice of staying at the Hilton near by, but after reading reviews on trip advisor decided to stay here instead without the price tag of the Hilton. We are so glad we did and we are looking forward to staying again at this wonderfully run hotel on our planned return next month.",Semeli Hotel,Review 142 Similarity,0.166297526,Review 99 Similarity,0.401781204
50,"I 've stayed at the hotel for 2 weeks during February 2012 due to a business trip.The hotel offers 5* star hotel services, both concerning the room facilities as well as the food/beverage and the overall service. Great attention to detail ranging from anatomic pillows to massage shower facilities. Not to leave out the high standards of hygiene throughout the hotel.I would definetely recommend a stay at Semeli, Nicosia. Take this advice from a welll travelled person that loves confort, style and luxury...",Semeli Hotel,Review 179 Similarity,0,Review 164 Similarity,0.400596372
40,"Semeli is a nice and quiet hotel mostly visited for business. It was my 4th time at his hotel. This time I had a better room with a jacuzzi and a big bed but the previous times it was quite good as well. There was a small problem with the bathroom because of the water coming out at the floor after a bath. It is not very close to the historical city center of Nicosia. It is about 20minutes fast walking. I don't think that I would select it as a ""holidays"" hotel but it is really convenient for business visitors who have to be close to the Nicosia Center. The staff is friendly and kind. I was not really satisfied with the breakfast and especially with the scrambled eggs & coffee quality.",Semeli Hotel,Review 101 Similarity,0.193649167,Review 87 Similarity,0.400222408
40,"The Semeli hotel is a relatively new addition having been built in 2011, and a very positive newcomer to the Nicosia scene. The reception area is pleasant and comfortable, and there is a decent bar area and restaurant.The rooms are very clean and well maintained. Though the decor won't be too everyone's taste, the quite traditional furnishings and paintings make for a characterful and personal environment.The beds are comfortable, there is a very serviceable desk in the rooms and a balcony which gives a nice view over Nicosia from the higher floors. There is free Wifi in the rooms, which is of average speed, and a kettle with tea bags and instant coffee is provided. The highlight of the room is the great shower, which has multiple settings including massage and can also be used as a sauna. One weakness of the room is the limited space for the toilet in the bathroom, you are quite squashed between the shower and the wall, and if you are built large you are likely to find this a squeeze. The complementary water, wine and fruit on arrival is a nice touch.Breakfast was fine, a combination of hot items and a typically Greek selection of cold cuts, yogurt etc. Staff were pleasant.The hotel is not right in the centre of Nicosia, but the area is pleasant and it is easy enough to get around.",Semeli Hotel,Review 161 Similarity,0.269581933,Review 61 Similarity,0.39645583
50,"A perfect place to spend your nights after work! To begin with the matress which is perfect and after the pillows ( 2 of them ). You fill totally ready to begin again you day to work.The room was clean and very comfortable , the restaurant and the bar also amazing!!the was a buffet also on eof the nights i was there and it was amazing.The most amazing was the staff so helful and kind much better than a five star hotel.Thank you Semeli staff!!!",Semeli Hotel,Review 170 Similarity,0.106600358,Review 122 Similarity,0.391924758
50,"Fantastic hotel with homie atmosphere. All of personnel were polite and willing to help you all day long. Room was very clean and tidy. Althought is near the center of Nicosia is very quiet. For sure I will visit again Semeli Hotet, since it fulfills our personal criteria.",Semeli Hotel,Review 129 Similarity,0.158113883,Review 101 Similarity,0.379049022
40,"I am a Travel Agent, and I have visited the newly build hotel several times over the last week for inspection and introduction to prospective clients. The quality of the construction is very good. Air condition was everywhere - even gym room.Rooms were very comfortable, suitable for business people with wifi in the room and very modern furniture, good matress, clean with modern bathrooms some with jacuzi.Ok! the hotel has recently open its doors. But, I believe already Nicosia needed a new 3star hotel. And definately, it is a 3star +. After few months, the hotel will not be able to meet demand in rooms. This week I am aware the hotel was full the whole period.",Semeli Hotel,Review 186 Similarity,0.386510341,Review 36 Similarity,0.377009614
40,"A small, friendly, comfortable hotel some distance from the centre of town. It's a good 25 minute walk to Ledra Street, museum, art gallery etc but taxis are reasonably priced if you don't feel like walking. Room was very spacious and comfortable, but can't say I'm a fan of the overall brown colour. Makes the place look very dated. Hotel restaurant offers a reasonable selection of meals, but cheese and biscuits as an alternative to dessert can't be done - despite the fact they offer a cheese platter for two! Breakfast selection quite good and available until 10 am - they should say 9.45 as everything is cleared away very quickly when the clock strikes 10.",Semeli Hotel,Review 45 Similarity,0.441941738,Review 17 Similarity,0.371390676
30,"Nothing special to say . An ok hotel ,clean and ordinary. Bad led lighting messes up your mood but the beds and the pillows at least are very comfy . Reception feels worn out . Nice surprise that they serve you a welcoming drink (cumantaria) when you enter for the first time . Amenities of the bathroom are low quality and breakfast not something special. Internet connection ok and the entrance of the hotel full with leather old fashioned furniture . Personnel quite friendly and warm .",Semeli Hotel,Review 169 Similarity,0.23570226,Review 73 Similarity,0.371390676
50,"I was really happy with everything at the Semeli Hotel. My room (507) had a balcony facing the sun, which meant I could work there while enjoying the afternoon sun. The wifi service is extremely fast and reliable, which is something that's often lacking in many hotels today. I was able to watch online streams of live sports in HD without any glitches or stuttering. Breakfast was a nice wide selection of options with very fresh produce (I recommend the cucumber and local cheese).",Semeli Hotel,Review 5 Similarity,0.11785113,Review 115 Similarity,0.371390676
50,"We had a two night break at the Semeli with our 4 and 5 year old boys in between Xmas and New Year. From the moment we arrived, we were made to feel very welcome by all the staff, who were polite, friendly and attentive to our needs at all times. Our family room was perfectly adequate, and the boys were more than comfortable on their sofa bed. We stopped on a bed and breakfast basis. The selection and quality of food was as good as I've seen in more prestigious hotel chains. We didn't venture out too late in the evening, and took the opportunity to eat from the bar menu, which was very reasonably priced and was good quality. We managed to park our car in the underground car park, which was free. All in all, we had a very enjoyable short break, and if we were visiting Nicosia again, would have no concerns about revisiting the Semeli.",Semeli Hotel,Review 144 Similarity,0.428746463,Review 23 Similarity,0.360301879
50,"Great location to the city centre! Very comfortable with a great value-based price! The buffet breakfast is excellent with many choices! Bed was very comfortable, bathroom was great and staff helpful. Quiet room. We would definitely stay again!",Semeli Hotel,Review 63 Similarity,0.150755672,Review 104 Similarity,0.356313412
50,"This hotel was found out of desperation from having left another poor hotel in the city. This hotel was the epitome of helpful and eased our worries. They gave us the best room available, a complimentary drink while we waited and couldn't do enough for their guests. Clean, spacious and everything you want for a break in Nicosia. Visit there if you get he chance. We will be back having found this gem.",Semeli Hotel,Review 72 Similarity,0.094491118,Review 126 Similarity,0.347404167
50,"I stayed at Semeli for 3 nights in January for a business trip. The hotel was perfect; clean rooms, warm and very friendly staff. Breakfast was nice but there was some repetition in lunches and dinner. Highly recommended if you're in Nicosia",Semeli Hotel,Review 4 Similarity,0.319801075,Review 47 Similarity,0.335935507
40,"I had a chance to stay at Semeli for 2 weeks during a business visit. The hotel is cozy and the staff is extremely friendly and warm! Rooms are small yet cozy and the stay was comfortable. Only 1 feedback, lighting in the bathroom is poor in most rooms (you put the shower curtain and it gets reasonably dark)",Semeli Hotel,Review 113 Similarity,0.182574186,Review 90 Similarity,0.335624311
