r_points,r_text,place,,,,
50,"The hotel was just as expected. The bedroom was very comfortable. Yes - a little tired in places - but the service was 5 star. Had a problem with a slight leak in the bathroom, reported it to the wonderful George at reception. Had to move room and was compensated with a lovely suite. Could not have been more helpful. The main asset this hotel has are its staff. They are all polite and helpful. I asked for a mirror for the bedroom, (there is a large wall mirror and magnifying mirror in the bathroom but I prefer one in the bedroom area) Maria, the executive housekeeper was on to it straight away, a delightful lady. The dining room staff are attentive and quietly efficient. We stayed for 7nights, and loved it. The outdoor pool area was very inviting and a pleasant place to sit and relax. Would definitely return",The Landmark Nicosia,Review 29 Similarity,1,Review 1 Similarity,0.461690258
10,"This is a 5 Star hotel only in name. The service is apalling, staff in bars and restaurants are jsut not interested in their guests. I don't mind paying good money for service, food and drinks, however this place charges top rates and offers the service of a 3 star hotel.Rooms are dated, something out of the 1970's, brown carpets, torn curtaind and old fashioned bathrooms.Don't stay here.",The Landmark Nicosia,Review 296 Similarity,0.461690258,Review 108 Similarity,1
40,This hotel is a typical Hilton in many ways. The hotel is well built with good sized rooms and large reception areas with a coffee bar. There is a outside pool and an inside one as well as a car park albeit probably a little too small. The layout of the hotel is good with a variety of shops and the staff are extremely helpful both within the hotel and at reception.The downside is probably that there is only one restaurant which is primarily buffet but includes an al a carte option. The menu is very much a standard international menu and not particularly interesting. There is a bar which is segregated from the restaurant and the reception and includes tv screens covering sport but this is generally pretty empty.Generally a good hotel and a good choice when you are going to the business area of Nicosia.,The Landmark Nicosia,Review 432 Similarity,0.465130255,Review 102 Similarity,0.50902781
50,"Excellent Cyprus hotel in downtown Nicosia. Wonderful service. Lovely outdoor area. Very welcoming. The hotel is a bit dated, but his is a minor issue. If you have business in Nicosia, this is the place to stay.",The Landmark Nicosia,Review 459 Similarity,0.310086836,Review 489 Similarity,0.50902781
50,"Spacious rooms; old-style decoration of good taste; reliable wifi; the gym was of fair size and quality for a hotel (with indoor swimming pool); very helpful and friendly staff; EXCELLENT FOOD, both in quality and variety.",The Landmark Nicosia,Review 82 Similarity,0.494974747,Review 37 Similarity,0.507833375
50,"We stay in a lot of hotels, but I’ve rarely experienced such good customer service. From reception to concierge with a special mention for breakfast and executive lounge staff, every member of staff was thoughtful and caring. They smiled and always did their very best to help. The executive lounge itself is also worth the extras as it’s very comfortable and the evening canapés are delicious. My partner and I were impressed and would love to go back! Special thanks to Fontini Sanida who started each of our day with a smile, she’s a star!",The Landmark Nicosia,Review 136 Similarity,0.424264069,Review 205 Similarity,0.507833375
50,All employees were taking care with a superb service! Breakfast is stunning in quality and choice! Rooms tidy and nice ! The room service is lovely! Pool area super relaxing! I really enjoyed staying there!,The Landmark Nicosia,Review 242 Similarity,0.353553391,Review 388 Similarity,0.507833375
50,"Stayed over the weekend in this very nice hotel . Service was excellent . The lobby and seating area completely renewed since our last stay april 2011 . Brake fast different from other hotels , with good local specialities . We also had lunch and dinner . Take the buffet , very nice salads !Only point of critic is the internet , very slow !",The Landmark Nicosia,Review 1019 Similarity,0.282842712,Review 545 Similarity,0.507833375
40,"This was my first stay in a Hilton hotel and on the whole it lived up to all my expectations. The service was consistently excellent, from our arrival at 2.30am after a delayed flight and personal note from the manager checking we had arrived ok (in response to our email to Hilton informing them of our expected late arrival).I was staying at the Hilton for a conference at the University of Cyprus, and the proximity to the university could not have been better - a 5-10 minute walk. The distance to Nicosia however is a bit more - about a 30 minute walk. This is not a problem, as the hotel is located in a nice area, in the business district and the distance from the town means it is fairly quiet, with lots of space around the pool, and parking. It's an easy walk into town, but more than the advertised 15 minutes. There is no shortage of taxis in the town, and a taxi bell at the hotel, so it is easy and inexpensive to get to the centre.There is a good choice of restaraunts, a pool with loungers and towels, and the rooms are comfortable and clean. My only criticism would be the lack of free wifi, if not in the bedrooms then at least in the bar areas. For those of us who can't charge internet costs back to work, some free wifi access would have been appreciated!It's an ideal hotel for business, or for anyone attending the university and I'd happily stay again.",The Landmark Nicosia,Review 981 Similarity,0.395628284,Review 279 Similarity,0.507382569
50,"I stayed for four nights at the Hilton Cyprus Hotel. It was a business trip. The hotel is really very good, with smart, fully equipped rooms, great indoor and outdoor pools, rich breakfast, excellent service and very friendly and available staff. A bank and various shops (including a sport shop, a hairdresser / barber shop, an utilities shop) could be found in its premises. They could be very useful and they are very discreet.The executive lounge, accessible if you are booked in an executive room, is very pleasant. Please however note that, while drinks (both cold and hot) are available throughout the opening times (07.00-23.00), food is only available for breakfast and some snacks and salads are available in the evenings (until 20.00). There is no fresh food served for lunch or in the afternoon (apart from some fruit), which is a pity.Additional services are, however, quite expensive. One hour use of wi-fi costs 6 euro and a 50 cl bottle of mineral water costs 6 euros too. Food in the resturant is excellent and the buffet is rich but prices are also towards the higher end.In any case, it is really an excellent hotel - highly recommended.",The Landmark Nicosia,Review 994 Similarity,0.395628284,Review 280 Similarity,0.507382569
40,"It is situated very near the center of the capital, just 10 mins walking distance. Ideal for those who want to sight see around Nicosia and are not afraid to walk a bit. A hotel with lots of History behind which has always been the best Hotel of Nicosia. It is an old type Hilton, in a good sense. Traditional Hilton luxury (I have seen Hiltons who don't deserve to be having the name) kept and reserved over the decades even though ownership changed few years back.A big plus to this hotel is that many of the workers there are still Cypriots and their Hotel-pedia is far advanced form others. The touristic and hotel management schools of the island are of the best in Europe in my opinion and they do know better how to treat clients.The moment u get inside this hotel it makes you feel unique. The staff is more than happy to serve you and the facilities are excellent. Rooms, lobby, cafeterias, restaurants, gym, pools (external and heated internal) library, conference halls, shops... u name it.Anything is u need this hotel can provide. Businessman or honeymoon couple, solo or with friends, you can have some quality time in this hotel.",The Landmark Nicosia,Review 1023 Similarity,0.444478318,Review 173 Similarity,0.506694592
50,"This hotel caters to business travelers and is located about a 10 minute ride from the old city. The property was very clean. Housekeeping was good. There's a lovely outdoor pool. All the staff were friendly and went out of their way for us. The breakfast buffet was fantastic. The chef came around to the tables with fresh baked olive bread which was delicious. The executive lounge had cocktail hour from 5-7pm offering alcohol drinks, soft drinks, and light snacks. The only negative thing I can say about this hotel is that it's in serious need of an upgrade. The rooms look like they were designed in the 1970's. There are hardly any plugs in the rooms and no USB ports at all. The furniture and decor in the room as well as in the lounge and restaurant needs to be updated. It's so uncomfortable that you really don't want to sit and have a drink or a meal. Other than this, the hotel was great!",The Landmark Nicosia,Review 64 Similarity,0.491934955,Review 43 Similarity,0.504714615
50,"The Hilton at Nicosia truly lives up to it's reputation as the best place to stay in Nicosia, mainly because of it's great staff. They were really professional and very helpful and friendly, truly service with a smile. The hotel itself, while a little old, was really clean and the rooms were comfortable and had all that I needed as a business person. I highly recommend this hotel",The Landmark Nicosia,Review 420 Similarity,0.447213595,Review 150 Similarity,0.504714615
50,"I visited in the winter, so the hotel wasn't in full-swing (outdoor pool closed, outdoor restaurant closed), but it's a very good hotel. Service, in particular, is excellent. I loved the restaurant, both the buffet and the a la carte menu. Delicious. The decor throughout is out of date, but the hotel is very well maintained, and it doesn't show any major signs of wear and tear. I can't vouch for the location because I mostly worked or stayed at the hotel. However, it was a short cab ride to the area where the local banks have their head offices, and probably a 5 minute ride to the main restaurant area. It's about a 10 minute ride to the Mall of Cyprus. VERY good value in the winter.",The Landmark Nicosia,Review 183 Similarity,0.41576092,Review 237 Similarity,0.504118377
40,"The Hilton Cyprus is located some 5-10 min. drive from the city center, along the main road coming in from Larnaca airport. hence in the direct vicinity of the hotel there are not many sights, restaurants or shops. That said, there are not many quality hotels in the city center. But the hotel is nice: good rooms, swimming pool etc. The rooms are slightly tired but clean. The food in the restaurants is tasty but not the special quality you might expect in this level of hotel. The price of hotels in Nicosia is surprisingly high and the Hilton is no exception, but you can find good deals online sometimes.The biggest downside of the hotel is the ridiculously expensive price for internet access in the room, although it is free in the reception area.",The Landmark Nicosia,Review 936 Similarity,0.41576092,Review 239 Similarity,0.504118377
50,"I lived at this hotel back in the early seventies for about 2 years .. Well I lived just around the corner , my best friend Andrew lived there , his dad was the general manager , so we had the run of the place , especially the pool and bar area . Aahhh. Summer in Cyprus poolside at the Hilton as much food and soft drinks long tall glasses with ice and coke filled to the brim lolThe tennis courts were the nest in the world at the time I played with a lot of VIP's and British tv stars staying there , I remember one of the first ever Cyprus rally head quarters was based there at the Hilton big function room it was so much fun running around doing errands for the organizersAll in all though beautiful hotel still is the rooms were big and comfy service as good as it gets just fantastic Hilton hotel",The Landmark Nicosia,Review 821 Similarity,0.40824829,Review 249 Similarity,0.50262469
40,"I come periodically and stay for about three days. Now the improvements are finished- about- its much nicer updated than it was. The pool is great, good amenities and food and drinks, but this hotel is in the middle of Nicosia and not for relaxation with the family. The rooms are fresh and bathrooms great.The staff in the common parts are quick to take and make your fist order, then they sort of forget you. Parking cars here is not the best idea, its better to use taxis and fix their prices beforehand through the hotel. Dont be intimidated when the drivers ask for you to pay extra, or deliberately 'get lost' . Dont ask for directions, get people to come to you if possible. Smoking by the pool area is OK. Food and drinks are very good, but the restaurants out are all worth a visit for variety and good quality.",The Landmark Nicosia,Review 976 Similarity,0.326598632,Review 455 Similarity,0.50262469
50,The hotel is Best!!Service very good.Breakfast amazing!!! One of the best in Europa.Spa and all Swimming pool very cleans and very nice.If you want to enjoy go to Hilton Cyprus!!!Hotel staff very friendly.,The Landmark Nicosia,Review 446 Similarity,0.433860916,Review 195 Similarity,0.500773396
40,"Stayed here for two nights on business.Plus points are the eatery by the pool, it was good to eat out in Sept and the service was ok.Rooms look tired and I agree there is no need to be charging for wifi in the rooms, that is a complete rip off and I'm not bothered who is a member of what Hilton loyalty programme.Breakfast was very good and the staff were very helpful. I'll stay here again.",The Landmark Nicosia,Review 788 Similarity,0.379628301,Review 325 Similarity,0.500773396
50,"I chose this hotel due to the Hilton Brand and just as importantly its proximity to my meeting location.Breakfast location, overlooking the pool and the service from the staff was great.The pool and surrounding area was spacious and had shady areas for those looking to escape the midday sun.It wasn't far from old Nicosia and should you find yourself in Cyprus but away from a beach- this is as good a hotel as you'll find there.Would definitely return there...",The Landmark Nicosia,Review 499 Similarity,0.439155033,Review 181 Similarity,0.500626174
40,"Stayed here in November 2012. This is a pretty decent hotel, but I don't think it quite reaches the 5 star standards you might find elsewhere. Whilst the rooms are comfortable enough they really could do with some updating, particularly in the bathrooms. The foyer area is very nice.Breakfast was good with plenty of choice and generally service is also very good. I also ate in the lobby bar one evening, which was just ok and quite expensive. The location isn't all that inspiring or central but suited my purposes.All in all I would stay again but I reckon the Hilton Cyprus is closer to a good 4 star.",The Landmark Nicosia,Review 968 Similarity,0.243975018,Review 616 Similarity,0.500626174
50,"I stayed in this hotel several times for short business trips beginning in April 2016 and I was very happy with the ambience, amenities and service. It is ideal to rest after a hard day's work, has everything the business traveler needs and offers a truly excellent breakfast (don't miss it) with local products and yummy delights. It is also good for a drink late at night and an early swim in the lovely pool, especially when it is not yet high season and the hotel is not full. The staff is professional and ready to help. Nicosia has an interesting relaxed atmosphere and I enjoyed my trips there. I will certainly have to visit this hotel again for business purposes and I look forward to it.",The Landmark Nicosia,Review 237 Similarity,0.482381911,Review 63 Similarity,0.494913398
40,"we visited the hotel for 4 days in December 2013, a group of more than 60 persons coming for organising and participation to international conference, the hotel was very well located, close from the conference centre and other important facilities, the transport were easy from the hotel and to the hotel , the services including the business centre, breakfast, bar .... etc, were very good, the hotel staff were nice and friendly .",The Landmark Nicosia,Review 867 Similarity,0.481931597,Review 66 Similarity,0.494451386
