r_points,r_text,place
50,The Indian cuisine especially is delicious. Recommend the Chicken Jhalfrezi. One portion of pulao rice is more than enough for two. Have it combined with garlic nan.,East Asian Restaurant
50,"It was great to return to this restaurant after the coranavirus pandemic. We always there for the Indian food, we had some good starters onion banji, shrimp puri. We ordered for main dishes chicken tika masala, chicken mango, prawns korma, chicken bhuna , prawn jalfrezi and shrimp byriani. They were all great. In my opnion this the best Indian restaurant in Nicosia.",East Asian Restaurant
50,At east Asian restaurant I got best experience for Indian food. Dishes have their authentic taste. prices are reasonable for the quantity and quality. I prefer anyone who love to eat Indian and Chinese EAST is the best for their food.,East Asian Restaurant
50,"East became our favourite Asian food destination. Atmosphere is great, owners and staff are very friendly, polite and treat you well. Above all is that food is always above and beyond our highest expectations. It's that good!!!",East Asian Restaurant
10,"I am used ti very tasty and cheap Chinese restaurants and I chose this with a friend because of the good reviews that they had.We were shocked for the prices: 2,50 euro for one spring roll, 2,90 for some shrimp puffs that usually come for free at the beginning of the meal, 9,50 for some noodles...We were expecting at least a very good quality. But NO NO NO. The spring rolls were so oily and came with the wrong sauce, and the noodles were just boiled, nt even stir Fried.Such a disappointment. NEVER AGAINBut what can you expect for a restaurant that offers Chinese, Japanese and Indian",East Asian Restaurant
40,"we go there regularlly , we really enjoy the food, its excellent , great service, friendly staff and good prices. well done",East Asian Restaurant
50,"we revisited this restaurant and the quality of the food is always very consistent. We went for the Indian menu and we had some chicken, prawn and vegetarian dishes. The food arrived at our table at a reasonable time . The prices of the restaurant are very reasonable. If you are craving for some good quaity Indian food this is the plave to go in Nicosia.",East Asian Restaurant
50,"Class A++ food and service. Delicious food, kind and helpful people. I really recommend it to everyone who enjoys excellent asian and Indian food.",East Asian Restaurant
50,"My favorite Chinese and Indian food restaurant for 2019 and for sure will be for 2020.The best crispy beef with sweet chili, sweet and sour chicken, beef with black bean sauce, chicken korma chicken tikka.... All of my guests from the States, UK and Greece were excited with the food. Great effort Perseas and Maria. Keep on going. Thanks for having your restaurant here in NICOSIA.",East Asian Restaurant
50,We have been to East with family several times so far and i have to admit that quality is always top notch.Asian food is not the cheapest option but in my opinion at East you get the best for your money.Both of the cuisines offer huge selection and some of their dishes are very unique.Restaurant and waiting staff are very polite and attentive. Restaurant always very clean and deco is super.,East Asian Restaurant
10,"First time visited this restaurant with family and last! The buffet was very poor sweet and sour plates were sour only pieces of chicken and pork tiny lost in the terrible sauce. Spring rolls cut in half , no duck plates or chicken . Rice only steam choice and the prices outrageous. When order a meal out of the menu was awful, sour chicken , with no good taste or smell , never again going back . Prices on the menu are extremely high compared to better quality Chinese restaurants with much lower prices . I don’t understand how people review this and give false informations by rating this with 4 or 5 stars .",East Asian Restaurant
40,Very nice quality buffet on Thursdays! Went for a buffet on a Thursday and I was impressed by the quality cause usually on buffets the quality is not as good as the dishes themselves. The manager came to welcome us and asked if there was anything we didnt find on the buffet and we said 2 dishes. After 2 minutes he brought the dishes on our table for free. Amazing crispy honey chicken and naan bread,East Asian Restaurant
30,"Trying to cater for Indian and Chinese cuisines, but sadly turned out to be neither here nor there. My bench mark indian and chinese dishes did not make the grade taste wise. All tasted very sweet. Portions were reasonable, but pricey. Service was very friendly and attentive though.",East Asian Restaurant
50,"The food was delicious,fresh, well-cooked, tasty and service was perfect. The restaurant was very clean. We recommend:)",East Asian Restaurant
50,"East Asian is by far the best Indian/Chinese restaurant in Cyprus. Delicious food, great service, nicely decorated restaurant. Once you have been there you won't want to go anywhere else!",East Asian Restaurant
50,This was an unplanned visit to the restaurant so no previous reservation was made. Possibly that was the reason that it took them about an hour after we arrived to serve us. Under normal circumstances that would be a very big minus. But the food was excellent and prices better than average! The selection of food is very big and possibly unsustainable so in order to keep the freshness and excellence of their plates they may have to cut a big part of their menu! Definitely we will be returning to this restaurant not just for their excellent food but also to check that the delay in serving us was a one off,East Asian Restaurant
50,"Excellent place to be with surprisingly tasteful cuisines, friendly staff and very reasonably priced. Highly recommended!!!!!",East Asian Restaurant
50,"Everything was great, ezcellent food and aervice, very warm place. Amazing black bean sauce beef and crispy duck",East Asian Restaurant
50,"My favourite restaurant! Excellent food, service and atmosphere. The best maki in Cyprus and the best choice of Indian, Thai and Chinese cuisine. Value for money. A restaurant you have to visit. I definitely recommend it!!!",East Asian Restaurant
50,"Excellent food, value for money and great portions! Very positive experience, that it's going to be repeated!",East Asian Restaurant
50,"Excellent choice for Asian food lovers. You can choose either Japanese Chinese and Indian. Great food, service and atmosphere.",East Asian Restaurant
50,"We visited East Asian Restaurant on a Thursday, after hearing about their all you can eat buffet for €20. The buffet was very good, and contained several dishes from indian, chinese, thai and japanese cuisine. Food was excellent, tasted fresh and delicious. Service was very good as well! We would love to visit again!",East Asian Restaurant
50,"Excellent in terms of taste and the portion sizes won't let you down.. big portions and good value for money we loved it , Nicosia needed an Indian restaurant like this",East Asian Restaurant
50,"This was my first visit to this restaurant. The large variety in the menu as well as the fact that the restaurant serves both Indian and Chinese food caused my expectations to be somewhat low. However, all the appetizers and main courses were excellent. I found the price reasonable too.",East Asian Restaurant
50,"The atmosphere is very nicely decorated with ornaments from far east, subtle music and nice lighting.The food is great, try the crispy beef and the meat samosas. The Nan bread is original Indian made never had anything close to Cyprus.Perseas (owner) is very accommodating and friendly. Highly recommended",East Asian Restaurant
50,"Been several times so far and although the atmosphere is a bit sterile, the Indian food and the wine selection is excellent, and the service impeccable. I can't speak for the Chinese cuisine as we haven't tried it, and I'm not keen on this mixed kitchen approach, but the owners have run another two excellent Indian restaurants in the past and are very experienced.",East Asian Restaurant
50,"Excellent well cooked and tasty food, excellent service, very knowledgable and positive waites, outstanding atmosphere.",East Asian Restaurant
50,we order 6 plates and everything was amaizing.. We should visit again for sure... Atmosphere is amaizing. Personel...very helpfull,East Asian Restaurant
50,This was our fourth visit to East with family. This time went on Christmas Eve festive buffet and i must say this is the best food. So rich buffet with touch of asian turkey. Standard is always top notch. Bravo East.,East Asian Restaurant
50,Everything was incredible.The food was super delicious and the atmosphere very welcoming!! I’m willing to go again!!,East Asian Restaurant
50,Delicious food and drinks! Beautiful atmosphere and very good service!! I’m sure i will go again soon!!,East Asian Restaurant
50,We have been three times to East Asian Restaurant and we have noticed that standard varies. We have tried both of the cuisines Indian and Chinese and always the food was excellent. Staff were friendly and service very effective. Deco is modern and relaxing and environment cosy. Hope to keep it this way so we keep visiting.,East Asian Restaurant
50,The food was perfect place very nice prices was vfm and the service also excellent and especially the young man!!!!,East Asian Restaurant
50,"I Had The Best Chinese And Indian food in Nicosia in at this East Asian Restaurant.The food taste so amazing with the service matching.The Service Staff know what to recommend and how to serve every single dish, also they are very organized as they bring out the food in proper order. If you love Asian Food you will understand what this means.",East Asian Restaurant
10,"Never had dinner in but ordered delivery. The ''beef'' was like a cooked piece of pure nerves and still trying to identify what was the thing they sold as being the duck. Do not recommend. Very expensive too, 5 euros for a portion of rice?? Ridiculous .",East Asian Restaurant
