r_points,r_text,place
40,"The wall is well preserved and now they are creating new park and walking areas. It’s interesting to view also the gates Nicosia gates, Famagusta gates etc",Venetian Wall of Nicosia
40,"The longest preserved medieval walls in Europe, surrounding the entire old city. It has three gates and eleven bastions.Although in good condition, they can be seen only from the ouside of the walled city and around bastions. The fact that you walk upon them is impressive.",Venetian Wall of Nicosia
40,We enjoyed our little walk around old Nicosia. We stumbled by an outdoor market where farmers were hacking there produce that was situated by the wall. A soccer match was being on a field within the walls it was a cool find,Venetian Wall of Nicosia
30,"You can walk not quite near it because most of it is under construction, so let's say it is nice, but it isn't anything special. We walked for about an hour and finished it. Make sure it wasn't raining days before, because there is no trail on some parts, just grass. However, you can see also a part of the old town (just some ordinary streets but it looks nice). We ended it at Famagusta gate.",Venetian Wall of Nicosia
50,Well preserved ancient wall surrounding the old city. You can see it by naked eye. Interesting to be viewed mainly that it is renovated and compounded with new and old building surrounding the area,Venetian Wall of Nicosia
30,"To be honest, I was a bit disappointed with the Venetian walls of Lefkosia (Nicosia). On any map of the city, the circular but slightly odd star-like (or snowflake-like) shape of the wall lulls you into a sense of thinking that the walls something magical, a great stone construction that defines Nicosia and provides an amazing tourist attraction to its visitors.The walls form a border around Lefkosia’s Old City, and were built by the Venetians in the 16th century. They were built of mud brick, with only the lower part buttressed by stone. When the Ottomans occupied Lefkosia, they repaired the walls and covered the upper part with stones. The walls were fortified by eleven heart-shaped bastions and protected by an 80-metre wide moat. Five of the bastions, Tripoli, D’Avila, Constanza, Podocataro and Caraffa, are in the southern sector of Nicosia (Lefkosia). The Flatro Bastion on the eastern side of the Old City is occupied by Turkish, Greek Cypriot and UN military forces. The remaining bastions, Cevizli, Musalla, Cephane, Zahra and Kaytazağa, are in North Nicosia (Lefkoşa).The reality of the walls being a major feature of the city is somewhat overstated, from a tourist point of view. Whilst the walls are still largely intact (apparently), they are in places really difficult to see and appreciate, and carparks. the bus station, and various constructions seem to blot out the grandeur of this fortification, (or example the new modern entrance to Ledra Street at the D’Avila bastion where the Town Hall, and a curious glass sculpture, is located. You can’t walk around the walls in its entirety, as the Green Line and the eyesore that is the buffer zone prevent a complete circumnavigation of the wall. There are no crossings on the wall between Lefkosia and the Turkish-occupied north. The moat no longer exists, and is now used for playing fields and carparks.In Lekosia I followed the road on the top of the wall as far as I could, from the Pafos Gate in the west, to the Green Line in the east, just beyond the Caraffa bastion. The best spot to really see and appreciate the grandness of the construction was on the stretch between the Podocataro bastion and the Caraffa bastion, where you’ll find the Famagusta Gate. Here, the sheer height of the wall, and its solid construction, are clearly evident. Walk down Plateia Archiepiskopou Makariou, so you can look back up at the walls, as it’s a really good spot to appreciate the sheer strength and enormity of this Venetian construction. The walls seem to be really well preserved here. The two ‘gates’ which I’ve mentioned - the Pafos Gate beside the Kaytazağa Bastion, and the Famagusta Gate at the Caraffa bastion deserve more than a cursory glance, and I’ve reviewed them separately. The bastions are built upon, with public buildings, mosques, and the occasional grand statue (the Liberty Monument on the Podocataro bastion is interesting).In Lefkoşa (the occupied north) it was even more difficult to get decent views of the Venetian walls; I saw a stretch by the Kyrenia Gate which was nicely preserved.See what you can, and enjoy!",Venetian Wall of Nicosia
50,"They surround all of Old Town Nicosia, both on the South and North side. You can walk around the enjoy the views.",Venetian Wall of Nicosia
50,Very impressive medieval monument in both sides of NicosiaVisit the 3 gates and walk in the park of the moat in the south west part of the city,Venetian Wall of Nicosia
50,You can see them driving or walking in a long way all over across the old city and the city center of Nicosia.,Venetian Wall of Nicosia
40,"Interesting to see these historical walls that surround the main city. Must have been a lot of hard work for the people who built them many years ago, but I would imagine they did the job of keeping the city safe",Venetian Wall of Nicosia
