r_points,r_text,place
40,The best kept gate of the old Venitian wall. Unfortunatly the museum was closed when we were there at 3pm on a thuesday.,Famagusta Gate
50,"One of the three gates on medieval Venetian walls of the city, and the finest and most intesresting of them. Unfortunately, it was not possible to go through it.",Famagusta Gate
50,This monument has been converted into a cultural multipurpose hall with three long galleries and for this it also won the Europa Nostra award exactly different historical objects,Famagusta Gate
40,"this is an interesting site in a quaint little town suitable for sauntering and exploring. There are restaurants, shops galore and even turkish delight!",Famagusta Gate
20,"Took two minutes to view, luckily cafe Opposite, even parks leading to area very dry and not looked after",Famagusta Gate
40,Well worth a visit especially as the sun sets down in Nicosia and you are magically let to travel in medieval times . The quietness of the area as the sun disappears among the buildings of central Nicosia and the shadows appear on the Venetian walls you are easily let to dream of how it was at the time. Best time to visit just after the sun goes down and the different shops in the area close for the day and just before the night life of the area comes alive.,Famagusta Gate
40,"The Famagusta Gate is one of three entrances which were built into the historic Venetian walls which enclosed the old City of Nicosia The other two gates are the Paphos Gate at the western end of Lefkosia, and the Kyrenia Gate in Lefkoşa, at the northern end of the Turkish occupied part of Nicosia. I have reviewed each separately, as they all warrant a visit in their own right, for different reasons.It's certainly worth a visit if you are interested in architecture, and the history of Nicosia and its Venetian walls (as I am). It's a bit of a walk from Ledra Street, and is located in the east of the city next to the Caraffa bastion, not far from the Green Line where it crosses the Venetian walls in the east.It's a squat, solid stone gate, built in the 1560s, and is the largest of the three gates in the Venetian walls. It's also well preserved, being restored in 1981. It's so named because it opened onto the road which led to the important harbour town of Famagusta. I didn't think it's the most visually impressive of the gates; my choice there gores to the Kyrenia Gate in Lefkoşa in the Turkish occupied north. Apparently it's a copy of a gate in Heraklion in Crete.It consists of two gates which are connected by a vaulted tunnel passage. There's a domed room in the middle of the tunnel to let light in. During the Ottoman occupation its said that Turks / Muslims could ride on horseback through the gate, whilst everyone else had to walk.Today its used as a cultural venue, for concerts and venues. The door was open when I visited, so I got a good glimpse down the well-lit tunnel, but unfortunately it was soon closed by security. Nevertheless I was able to get a reasonably decent view and a good concept of the whole thing.I appreciated my visit, as brief as it was.",Famagusta Gate
40,"However, be prepared for a walk from the old town which in the heat seems quite a trek. Also,not quite as impressive as we were expecting.",Famagusta Gate
30,This old fortress is a market with souvenir shops and restaurants. If you want you want souvenir in a unique atmosphere pass by Famagusta Gate.,Famagusta Gate
40,Not as impressive as expected as it was not very high but the wooden door was most impressive. Lovely stones but sadly unable to enter for a closer look.,Famagusta Gate
40,"The place is a gate but is also an interesting stop to do, because it means that the divided city is there and remainds us about it.",Famagusta Gate
50,Famagusta gate is an interesting point where to stop. We made quick stop just to take a look at this amazing historical object in the town of the city,Famagusta Gate
30,"We entered Nicosia old town through this gate. It’s nice and impressive enough, but above all, impossible to miss if arriving with own transport. Also, there was plenty of free side roads parking close to the gate. We left the car there and explored Nicosia on foot.",Famagusta Gate
50,"A little out of the way. However, walking from city did take me past various other sites such as Statue of Liberty, St Johns Cathedral, other walls.Famagusta Gate is definitely worth a visit if you're interested in historic city landmarks.",Famagusta Gate
50,It is interesting how our predecessors have thought of placing such gates to control the crowds coming in Nicosia.The nearby restaurant is a must visit place as well.,Famagusta Gate
20,The photo here on Tripadvisor captures the whole Famagusta Gate experience. It's a gate (locked when I was there) in wall.,Famagusta Gate
40,Visited on a Segway tour. The gateway to Famagusta from the capital. Cooling inside away from the heat though we visited in spring when the weather was lovely outside too,Famagusta Gate
40,Nice place for cultural eventsThe area is interesting and relaxing to walk aroundIt’s a part of the old nicosia town with style,Famagusta Gate
20,"We went out of our way to see this gate as we expected it to be something worth seeing. Sadly even though the sign said it was open, it wasn't. A guard/staff member was inside we could see her sat down playing on her phone. She didn't even look up or pay any attention. From the outside and through the window it looked lovely.",Famagusta Gate
50,"Although it is located in the north, you would think it is the gate of the south and north, considering the political reality. The gate itself is beautiful.",Famagusta Gate
40,its one of the famous places in Cyprus if you dont go to this place just like you didnt gone to Cyprus or Nicosia,Famagusta Gate
40,"If you do a tour of the Old City of Nicosia, make sure to pass by the Famagusta Gate, one of the gates of the Venetian Walls still standing today. It has been transformed into a cultural center where you have events and exhibits. There were none when we visit it but the exterior of the building is the big deal. You can still see the souvenir of the fights Nicosia knew in its history (bullets inside the walls).",Famagusta Gate
40,The Famagusta Gate is the most significant of the gates of Venetian Walls of Nicosia and a landmark of the city.,Famagusta Gate
50,"Very well preserved, it gives you the idea of how it looked this city surrounded by walls and gates in medieval times. When in Lefkosia, Famagusta Gate is a must!",Famagusta Gate
50,"True , it is just a gate, but it is an integral part of the impressive Venetian walls that contain the old town. They can be best appreciated from a bird's eye view point.It is also a community and cultural center and events are organised there.",Famagusta Gate
40,Other than the history of the gate built by the British there is little around so it is really a photograph opportunity.,Famagusta Gate
50,"This seems like just a plain old gate, but it’s far from that. Do your research before you visit it in order to truly appreciate the site. It bears a lot of historical significance from the time!",Famagusta Gate
20,"Well it is part of the Venetian architecture of the city, but one can visit it just if passing by. Zero esthetical value.",Famagusta Gate
50,"This is one of gates of Nicosia when it was with in the Venetian walls. This was the gateway that lead to Famagusta town. Now is more like a place for events, like concerts or exhibitions.",Famagusta Gate
40,"Built in 1567 by the Venetians One of the three gates of the old walls of Nicosia, Famagusta Gate is the largest and undoubtedly the most impressive of the three. The others being Paphos Gate and Kyrenia Gate.Interestingly during the early Ottoman period, only Turks were allowed to pass through the gate on horseback, while Christians and other foreigners had to go through on foot. Now it's used as a cultural centre. Sadly it was late when I visited and the gates were closed.",Famagusta Gate
40,"The Famagusta Gate is a historic Gate within the Medival Walls. If you look at the top, you can see the Ottoman Sultan's tugra (signature) that was added after the conquest of Nicosia. Their part of Nicosia has many nice restaurants. The gate is lit at night as well.",Famagusta Gate
