r_points,r_text,place,,
50,"If you want romance, pleasant atmosphere ... Good view .. great and delicious cuisine ... Visit domus. The dishes are unadulterated, they are cooked willingly, the service will be good, candles, hearts and good music for a better mood. Your special occasion or day can be even more unique if you are welcomed at domus.Everyone will be sure your holiday is unforgettable. One of my favorite specialties is steak Diane.. prepared according to a special recipe..It is a must try",Domus Lounge Bar,Review 1 Similarity,1
50,"I agree with what people write about Domus. It was my first visit to the restaurant last month and I was impressed.Decor is beautiful and different from any other restaurant. I expected it to be crowded although a week day but it was not. Just very few tables. Lighting is very poor and this would be one thing to maybe find negative.Way too dark. I understand it adds to the atmosphere but it is way overdone. Food was excellent! We had sea bass and chicken al pesto which were super tasty in good portions! Timing was perfect! Dessert was delicious (we had the lava cake with ice cream). Portion is very big and surprisingly much bigger than other places I had this. Maybe dessert itself it was not 10 out of 10 but nearly there (I would give 8 to 9 which makes it almost excellent). I found that food in Domus beats the desserts at least for my opinion. I will agree that prices tend to be on the upper scale especially if you have a bottle of wine but worths it! It's a place for these different, special occasions! Don't miss it! Surely returning.",Domus Lounge Bar,Review 121 Similarity,0.5
50,Always tasty...I went several times and i am always surprised and pleased. The food is tasty and the presentation even better! very good service! must try!,Domus Lounge Bar,Review 52 Similarity,0.492365964
30,"Domus has managed to stay afloat for a long time so it's possible that our first visit there in nearly 8 years was perhaps a fluke. The food was certainly not bad, however since we had attempted to make reservations a few previous times we expected much more. The service is good, the place is nice although some of the decor is certainly kitsch. Its worth a visit for a romantic meal for couples.",Domus Lounge Bar,Review 154 Similarity,0.492365964
50,"I went to Domus a few of times, some on office outings (holiday parties, leaving-dos, etc.), some on dates others with friends. I was never disappointed, and Domus seemed to cater perfectly for each occasion. The interior feels very cosy and discreet at the same time. Combine that with perfect service and you feel that you're the only table in the restaurant (which is never the case - always book in advance!). In the summertime the outdoor seating is a bit of a aesthetic compromise (compared to the interior), but this is Cyprus after all and seating outside to eat in an old part of the city is still very enjoyable.Impeccable dishes (and we made sure to try all of them on the office functions!) I'm sure the menu changes from time to time but the dishes I remember mostly were the succulent lamb shank (no knife needed it was so soft and creamy!) and the best beef carpaccio I have ever had. The friendly owner is always around, making sure everyone is having a good time. This to me is the sign that this restaurant means something more than just 'running a business'. It is obvious the people at Domus are passionate and happy about what they do. It might be a bit pricey, but that never left a bad taste in mouth after the great experience and good food. Absolutely worth it.",Domus Lounge Bar,Review 147 Similarity,0.484200125
30,"The food is ok, with massive portions and good meat dishes. The pasta was a bit overcooked and the lamb was fantastic. The decor is a bit kitch in a good way, being in an old house. The bar is quite cool too.The big problem of the restaurant is its prices. 20€ for prosciutto with ""melon chaviar"" which came with 5 pieces of grapes instead was extreme, so as 18€ for a tiny fondue.",Domus Lounge Bar,Review 133 Similarity,0.483493778
50,"I have visited Domus restaurant recently to celebrate my girl freends' birthday. We love Domus for its modern cuisine and fresh food, for its stylish decoration and for the good variety of wines. The location of the restaurant is unique, as it is located in medieval center of Nicosia, in a close proximity to the Archibishob's residence, Pancyprion gymnasioum and Hadjigeorgaki's Cornesios residence- an area full of Cyprus' history. I' ve being in Domus for several occations, with friends and family, and I must state that the atmosphere, food and wine has always being a pleasant and enjoable experience for me!",Domus Lounge Bar,Review 111 Similarity,0.465242105
50,"Great food and a great atmosphere. A very pleasant experience. Service was good, and overall great restaurant",Domus Lounge Bar,Review 22 Similarity,0.455842306
40,"We have been to this restaurant with my wife last year we have enjoyed the food, the atmosphere and the people there. We have been looking for a romantic restaurant with good food and we had chosen Domus at that night. After being there we believe was a very good choice. The food was perfectly cooked, the materials fresh and the service was excellent. We will definitely be going back.",Domus Lounge Bar,Review 140 Similarity,0.454545455
50,"If i was to get married again, this would be a good place to propose. Very weird ambient, you feel like you are in a movie",Domus Lounge Bar,Review 35 Similarity,0.452267017
